dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,density,speedup
bauru5727,40367,145019,0.0217,0.0224,0.0226,0.0292,0.0259,0.0242,0.0234,0.0227,0.0234,0.0226,0,0.96
bbmat,38745,1771722,0.0572,0.1052,0.0586,0.0635,0.0611,0.0594,0.0626,0.0643,0.1012,0.1045,0,0.98
bcsstk17,10975,219812,0.0137,0.0175,0.0144,0.0136,0.0136,0.0143,0.0144,0.0128,0.0143,0.016,6,1.07
bcsstk18,11949,80519,0.0111,0.0102,0.012,0.0135,0.0128,0.0111,0.0103,0.0104,0.0104,0.0103,9,0.99
bcsstk25,15440,133840,0.012,0.0135,0.0128,0.0152,0.0159,0.0153,0.0143,0.0129,0.0127,0.013,0,0.94
bcsstk29,13993,316740,0.0156,0.0225,0.0161,0.0153,0.0161,0.016,0.0161,0.017,0.0186,0.021,2,1.02
bcsstk30,28925,1036208,0.0379,0.0641,0.0398,0.0357,0.0357,0.0356,0.0397,0.0463,0.0497,0.0553,4,1.06
bcsstk31,35589,608502,0.0289,0.0413,0.0299,0.0306,0.0349,0.0373,0.0381,0.0373,0.0374,0.0389,0,0.97
bcsstk32,44610,1029655,0.0396,0.0651,0.0414,0.0397,0.0405,0.043,0.0464,0.0496,0.0538,0.057,0,1.0
bcsstk35,30238,740200,0.0285,0.047,0.0308,0.0299,0.0308,0.0332,0.0299,0.034,0.0365,0.0405,0,0.95
bcsstk36,23053,583096,0.0226,0.038,0.0242,0.0233,0.0242,0.0259,0.0242,0.0258,0.0291,0.0308,0,0.97
bcsstk37,25504,583240,0.0216,0.038,0.0226,0.0226,0.0243,0.0234,0.0259,0.0275,0.03,0.0315,0,0.96
bcsstk39,46773,1068033,0.0397,0.0658,0.0405,0.0406,0.043,0.052,0.0569,0.0627,0.0635,0.0644,0,0.98
bcsstm36,23053,166389,0.0148,0.0143,0.016,0.016,0.0176,0.0152,0.0144,0.0144,0.0144,0.0144,9,0.99
belgium_osm,1441296,1549970,1.1478,1.9742,1.2477,1.9268,1.9711,1.976,1.9752,1.9747,1.9757,1.9753,0,0.92
BenElechi1,245875,6698185,0.2807,0.4308,0.2813,0.3704,0.37,0.5297,0.5283,0.6353,0.6342,0.7116,0,1.0
blockqp1,60013,340022,0.0318,0.0429,0.0324,0.0456,0.0455,0.0455,0.0455,0.0455,0.0455,0.0455,0,0.98
bloweya,30005,80005,0.021,0.0183,0.0217,0.0169,0.0185,0.0185,0.0185,0.0185,0.0186,0.0184,2,1.08
bloweybl,30004,70001,0.0188,0.0176,0.0217,0.0226,0.0228,0.0185,0.0184,0.0184,0.0186,0.0186,9,0.96
bmw3_2,227363,5757996,0.2806,0.4174,0.2865,0.3114,0.3877,0.4667,0.5104,0.5222,0.5451,0.5377,0,0.98
bmw7st_1,141348,3740507,0.1804,0.2571,0.1811,0.192,0.2114,0.2417,0.2799,0.3032,0.3343,0.3264,0,1.0
bmwcra_1,148771,5396386,0.2284,0.3249,0.23,0.2397,0.2842,0.3569,0.387,0.4064,0.4091,0.3806,0,0.99
bone010,986704,36326514,1.359,2.2378,1.3695,1.6596,2.2013,2.4069,2.8316,2.8175,2.8417,2.6043,0,0.99
