dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,ours_time,ours_gflops
memplus, 17758, 17758, 126150, 0.041267, 1565.136427, 0.043907, 1471.029765, 0.026720, 2417.245571
mip1, 66463, 66463, 5209641, 2.274678, 2330.282505, 1.911878, 2772.479328, 0.844877, 6273.865657
ML_Laplace, 377002, 377002, 27689972, 2.467315, 5746.029179, 4.896973, 2895.108194, 4.230550, 3351.163413
mouse_gene, 45101, 45101, 14506196, 6.114445, 2425.609134, 6.615552, 2241.876949, 6.593229, 2249.467323
msc10848, 10848, 10848, 620313, 0.136515, 4612.280064, 0.264294, 2382.367212, 0.102989, 6113.735817
msc23052, 23052, 23052, 588933, 0.130848, 4518.714516, 0.229683, 2574.262054, 0.139046, 4252.284058
msdoor, 415863, 415863, 10328399, 3.072307, 3373.151846, 4.124979, 2512.342165, 4.414464, 2347.591526
m_t1, 97578, 97578, 4925574, 1.041101, 4796.680491, 2.110771, 2365.878353, 1.134160, 4403.106842
mult_dcop_01, 25187, 25187, 193276, 0.430966, 229.617244, 0.067187, 1472.859549, 0.045773, 2161.923944
mult_dcop_02, 25187, 25187, 193276, 0.433802, 228.116520, 0.066867, 1479.908061, 0.045773, 2161.923944
mult_dcop_03, 25187, 25187, 193216, 0.444723, 222.445326, 0.067763, 1459.886720, 0.046285, 2137.345097
NACA0015, 1039183, 1039183, 3114818, 7.015334, 454.657396, 7.540224, 423.007826, 5.734809, 556.177783
nasasrb, 54870, 54870, 1366097, 0.421670, 3250.856411, 0.502272, 2729.178465, 0.460595, 2976.127306
nd12k, 36000, 36000, 7128473, 3.008205, 2420.421725, 3.043840, 2392.085092, 1.257062, 5792.173999
nd24k, 72000, 72000, 14393817, 6.104883, 2408.302361, 5.702954, 2578.033302, 2.520474, 5833.191109
nd6k, 18000, 18000, 3457658, 1.428582, 2471.979100, 1.473030, 2397.388301, 0.608352, 5804.905432
net100, 29920, 29920, 1031560, 0.294912, 3529.861058, 0.433459, 2401.606500, 0.303450, 3430.547861
net125, 36720, 36720, 1306960, 0.376934, 3500.679078, 0.555315, 2376.175512, 0.402022, 3282.221013
net150, 43520, 43520, 1582360, 0.458854, 3482.704835, 0.671619, 2379.405555, 0.510054, 3133.105817
net4-1, 88343, 88343, 1265035, 0.631725, 1978.969719, 0.665798, 1877.691904, 0.536781, 2329.003302
net50, 16320, 16320, 480760, 0.139571, 3467.351386, 0.205005, 2360.639231, 0.139872, 3459.894697
net75, 23120, 23120, 756160, 0.218317, 3492.495414, 0.318874, 2391.136830, 0.223411, 3412.856615
netherlands_osm, 2216688, 2216688, 2441238, 7.025539, 355.820040, 8.282646, 301.815103, 5.685120, 439.714150
nh2010, 48837, 48837, 117275, 0.118256, 1015.505373, 0.143149, 838.914450, 0.108646, 1105.325117
NLR, 4163763, 4163763, 12487976, 30.733414, 416.084186, 31.716934, 403.181699, 25.850983, 494.669297
NotreDame_www, 325729, 325729, 929849, 0.774349, 614.816861, 1.117082, 426.184327, 0.665395, 715.488599
nv2010, 84538, 84538, 208499, 0.212890, 1002.881194, 0.319693, 667.837919, 0.199037, 1072.680907
ohne2, 181343, 181343, 11063545, 2.057728, 2752.810395, 2.495488, 2269.910773, 2.178893, 2599.731056
oilpan, 73752, 73752, 1835470, 0.406723, 4528.289009, 0.736432, 2500.923786, 0.653491, 2818.339750
olafu, 16146, 16146, 515651, 0.167322, 3106.352536, 0.191763, 2710.425548, 0.104858, 4956.816419
onetone2, 36057, 36057, 227628, 0.065238, 1786.456121, 0.072061, 1617.322270, 0.045248, 2575.705866
OPF_10000, 43887, 43887, 255799, 0.113562, 2108.706144, 0.152269, 1572.666410, 0.099718, 2401.442835
opt1, 15449, 15449, 973052, 0.205414, 4812.201118, 0.398029, 2483.476957, 0.157763, 6265.690548
p2p-Gnutella31, 62586, 62586, 147892, 0.139571, 542.523837, 0.158416, 477.986475, 0.127795, 592.516046
parabolic_fem, 525825, 525825, 2100225, 2.834022, 663.864917, 4.212838, 446.589173, 3.226202, 583.165039
patents, 3774768, 3774768, 14970767, 19.707924, 388.931515, 21.334810, 359.273542, 14.814794, 517.390456
pattern1, 19242, 19242, 4671337, 1.475686, 3234.831815, 2.036634, 2343.866364, 2.064077, 2312.703274
pcrystk02, 13965, 13965, 491274, 0.095642, 5185.133774, 0.199376, 2487.332972, 0.095210, 5208.660719
pcrystk03, 24696, 24696, 887937, 0.167014, 5368.418271, 0.358195, 2503.113141, 0.168141, 5332.454173
pct20stif, 52329, 52329, 1375396, 0.384102, 3596.991542, 0.528694, 2613.254611, 0.428749, 3222.430153
pdb1HYS, 36417, 36417, 2190591, 0.625645, 3555.563403, 0.899478, 2473.121747, 0.396902, 5604.702093
pds10, 16558, 16558, 83108, 0.039754, 1927.495728, 0.044646, 1716.261460, 0.032691, 2343.899866
PFlow_742, 742793, 742793, 18940627, 6.485606, 2931.860324, 7.551898, 2517.895960, 7.298438, 2605.337107
pkustk01, 22044, 22044, 500712, 0.115488, 4341.944961, 0.187597, 2672.980379, 0.102502, 4892.007723
pkustk02, 10800, 10800, 410400, 0.072192, 5744.680744, 0.147149, 2818.371610, 0.070141, 5912.678257
pkustk03, 63336, 63336, 1596876, 0.319386, 5018.300736, 0.658432, 2434.227035, 0.498042, 3218.150953
pkustk04, 55590, 55590, 2137125, 0.502682, 4296.862998, 0.837872, 2577.904318, 0.456259, 4734.050088
pkustk05, 37164, 37164, 1121154, 0.217395, 5193.461837, 0.433766, 2602.861113, 0.272310, 4146.127830
pkustk06, 43164, 43164, 1307466, 0.254333, 5177.252764, 0.505984, 2602.345456, 0.351824, 3742.624794
