dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,ours_time,ours_gflops
vsp_finan512_scagr7-2c_rlfddd, 139752, 139752, 552020, 0.437443, 1292.209980, 0.571802, 988.574473, 0.433600, 1303.663479
vsp_mod2_pgp2_slptsk, 101364, 101364, 389368, 0.297574, 1339.876114, 0.415642, 959.270770, 0.262438, 1519.262590
vsp_model1_crew1_cr42_south31, 45101, 45101, 189976, 0.516198, 376.861736, 0.139946, 1390.078864, 0.109635, 1774.388402
vsp_msc10848_300sep_100in_1Kout, 21996, 21996, 1221028, 0.496518, 2518.199967, 0.553574, 2258.653271, 0.551424, 2267.461554
vsp_p0291_seymourl_iiasa, 10498, 10498, 53868, 0.036045, 1530.340897, 0.035776, 1541.838946, 0.024352, 2265.145800
vsp_sctap1-2b_and_seymourl, 40174, 40174, 140831, 0.120115, 1200.605319, 0.106374, 1355.692262, 0.080685, 1787.337217
vsp_south31_slptsk, 39668, 39668, 189914, 0.493978, 393.685742, 0.120013, 1620.426676, 0.079056, 2459.926309
vsp_vibrobox_scagr7-2c_rlfddd, 77328, 77328, 435586, 0.252006, 1769.955222, 0.331354, 1346.115067, 0.246170, 1811.921864
vt2010, 32580, 32580, 77799, 0.050995, 1562.228889, 0.063488, 1254.822568, 0.038298, 2080.187190
wathen100, 30401, 30401, 251001, 0.084378, 2861.656595, 0.105677, 2284.888694, 0.061315, 3938.007237
wathen120, 36441, 36441, 301101, 0.099738, 2904.317176, 0.128288, 2257.963672, 0.076301, 3796.416716
web-Google, 916428, 916428, 5105039, 3.222938, 810.992998, 4.851415, 538.766575, 3.253965, 803.260108
web-NotreDame, 325729, 325729, 1497134, 0.971456, 789.055442, 1.142067, 671.179927, 0.849715, 902.105292
wikipedia-20051105, 1634989, 1634989, 19753078, 9.343792, 1082.384537, 11.421287, 885.502320, 8.506493, 1188.924319
wikipedia-20060925, 2983494, 2983494, 37269096, 20.567348, 927.770436, 24.699455, 772.558623, 18.844131, 1012.611124
wikipedia-20061104, 3148440, 3148440, 39383235, 21.993673, 916.818927, 26.340454, 765.522729, 20.155392, 1000.437792
wikipedia-20070206, 3566907, 3566907, 45030389, 25.773056, 894.560550, 30.696243, 751.087322, 23.644938, 975.073820
wiki-Talk, 2394385, 2394385, 5021410, 9.140944, 281.257816, 7.149773, 359.586528, 6.276582, 409.611757
windscreen, 22692, 22692, 752541, 0.134349, 5649.352227, 0.309965, 2448.612489, 0.159027, 4772.665959
wing_nodal, 10937, 10937, 75488, 0.039453, 1959.295961, 0.050960, 1516.870378, 0.036659, 2108.603410
wy2010, 86204, 86204, 213793, 0.217072, 1008.531832, 0.327571, 668.325027, 0.203059, 1078.129116
x104, 108384, 108384, 5138004, 1.104966, 4711.295930, 2.174669, 2393.846496, 1.209216, 4305.122816
Zd_Jac2, 22835, 22835, 1642833, 0.225587, 3728.626854, 0.340918, 2467.248764, 0.206438, 4074.486639
Zd_Jac3, 22835, 22835, 1916152, 0.246045, 3987.362518, 0.392806, 2497.591172, 0.249034, 3939.507950
Zd_Jac6, 22835, 22835, 1711983, 0.227738, 3848.882751, 0.353680, 2478.328769, 0.214528, 4085.878502
