dataSet,num_nodes,num_edges,dtc
144,144650,1074393,1.1928608417510986
2D_27628_bjtcai,27629,442898,0.15769599378108978
2D_54019_highK,54020,996414,0.37705281376838684
333SP,3712816,11108633,28.279409408569336
3D_28984_Tetra,28985,599170,0.1687552034854889
3D_51448_3D,51449,1056610,0.3639295995235443
3Dspectralwave,680944,17165766,5.974323272705078
3Dspectralwave2,292009,7307376,2.519484758377075
3dtube,45331,1629474,0.3261280059814453
598a,110972,741934,0.8757568597793579
a0nsdsil,80017,200021,0.46585598587989807
a2nnsnsl,80017,196115,0.46510082483291626
a5esindl,60009,145004,0.35123199224472046
adaptive,6815745,13624320,47.049320220947266
af_0_k101,503626,9027150,3.80079984664917
af_1_k101,503626,9027150,3.8020927906036377
af_2_k101,503626,9027150,3.799248218536377
af_3_k101,503626,9027150,3.7987327575683594
af_4_k101,503626,9027150,3.7943649291992188
af_5_k101,503626,9027150,3.7955551147460938
af_shell1,504856,9046865,3.7568511962890625
af_shell10,1508066,27090195,11.710122108459473
af_shell2,504856,9046865,3.763184070587158
af_shell3,504856,9046865,3.7609469890594482
af_shell4,504856,9046865,3.7611517906188965
af_shell5,504856,9046865,3.7510368824005127
af_shell6,504856,9046865,3.7624831199645996
af_shell7,504856,9046865,3.7595455646514893
af_shell8,504856,9046865,3.752431869506836
af_shell9,504856,9046865,3.7615294456481934
ak2010,45293,108549,0.29573121666908264
Andrews,60001,410077,0.45203518867492676
AS365,3799276,11368076,29.949405670166016
as-caida,31380,106762,0.16374079883098602
as-Skitter,1696416,11095298,12.310015678405762
astro-ph,16707,121251,0.10700800269842148
audikw_1,943696,39297771,8.622079849243164
auto,448696,3314611,3.7217280864715576
barrier2-1,113077,3805068,1.2538751363754272
barrier2-10,115626,3897557,1.3092095851898193
barrier2-11,115626,3897557,1.3050591945648193
barrier2-12,115626,3897557,1.3048832416534424
barrier2-2,113077,3805068,1.254092812538147
barrier2-3,113077,3805068,1.2534784078598022
barrier2-4,113077,3805068,1.256345510482788
barrier2-9,115626,3897557,1.342339277267456
bauru5727,40367,145019,0.2600671947002411
bbmat,38745,1771722,0.313753604888916
bcsstk17,10975,219812,0.07915519922971725
bcsstk18,11949,80519,0.08304639905691147
bcsstk25,15440,133840,0.09256960451602936
bcsstk29,13993,316740,0.08775679767131805
bcsstk30,28925,1036208,0.1859584003686905
bcsstk31,35589,608502,0.20398080348968506
bcsstk32,44610,1029655,0.3051519989967346
bcsstk35,30238,740200,0.17479678988456726
bcsstk36,23053,583096,0.1338368058204651
bcsstk37,25504,583240,0.14499840140342712
bcsstk39,46773,1068033,0.33351677656173706
bcsstm36,23053,166389,0.12257280200719833
belgium_osm,1441296,1549970,9.441075325012207
BenElechi1,245875,6698185,1.881292700767517
blockqp1,60013,340022,0.3908384144306183
bloweya,30005,80005,0.1528960019350052
bloweybl,30004,70001,0.15308800339698792
bmw3_2,227363,5757996,1.826495885848999
bmw7st_1,141348,3740507,1.1132928133010864
bmwcra_1,148771,5396386,1.2340255975723267
bone010,986704,36326514,8.090144157409668
boneS01,127225,3421188,1.052672028541565
boneS10,914899,28191660,7.377120018005371
boyd1,93280,652246,0.6785024404525757
boyd2,466317,890091,3.189868688583374
brack2,62632,366559,0.4695040285587311
