dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,density,speedup
rajat30,643995,6175377,1.3435,1.9282,1.3534,2.7788,3.1015,3.1559,3.1228,3.0062,2.7724,2.3229,0,0.99
ramage02,16831,1441591,0.0467,0.142,0.0482,0.0523,0.058,0.0678,0.085,0.099,0.1393,0.1457,0,0.97
Reuters911,13333,148038,0.0219,0.0233,0.0236,0.0367,0.031,0.0278,0.0272,0.0269,0.027,0.0269,0,0.93
rgg_n_2_15_s0,32769,160240,0.0239,0.0364,0.0264,0.0592,0.0417,0.0384,0.0376,0.0376,0.0376,0.0375,0,0.91
rgg_n_2_22_s0,4194305,30359198,5.519,7.5025,5.5838,8.7355,7.5229,7.5057,7.5042,7.504,7.5056,7.5039,0,0.99
ri2010,25182,62875,0.0136,0.0191,0.0155,0.0326,0.0236,0.0216,0.0219,0.0211,0.0213,0.0204,0,0.88
rim,22561,1014951,0.0351,0.106,0.0376,0.0408,0.0507,0.0613,0.0703,0.076,0.0835,0.09,0,0.93
RM07R,381690,37464962,1.3683,4.3119,1.373,1.6683,1.7805,2.0965,2.5924,3.9342,4.317,4.3204,0,1.0
rma10,46836,2374001,0.0661,0.2388,0.0678,0.0719,0.0793,0.1071,0.1317,0.1637,0.212,0.2301,0,0.97
roadNet-CA,1971282,2766607,2.1995,3.8286,2.2528,6.6004,4.7083,3.8725,3.8312,3.8306,3.8286,3.8284,0,0.98
roadNet-PA,1090921,1541898,1.2192,2.1357,1.2509,3.6735,2.6244,2.1644,2.1395,2.141,2.1376,2.1364,0,0.97
roadNet-TX,1393384,1921660,1.552,2.6786,1.5913,4.6212,3.2292,2.7064,2.6807,2.6802,2.6785,2.679,0,0.98
s3dkq4m2,90450,2455670,0.1251,0.2806,0.129,0.1794,0.1964,0.2349,0.2821,0.3238,0.3529,0.3595,0,0.97
s3dkt3m2,90450,1921955,0.1177,0.2271,0.1216,0.1768,0.1925,0.2195,0.2788,0.3203,0.3453,0.3046,0,0.97
s4dkt3m2,90450,1921955,0.1179,0.2268,0.1213,0.1764,0.1919,0.2193,0.2789,0.3197,0.3443,0.3044,0,0.97
Serena,1391350,32961525,2.276,4.0816,2.2846,4.0889,4.7438,5.6745,5.5534,5.203,4.823,4.8063,0,1.0
shermanACb,18511,145149,0.0183,0.0306,0.0204,0.0457,0.0441,0.0435,0.0433,0.0417,0.04,0.0384,0,0.9
ship_001,34921,2339575,0.0562,0.2405,0.0588,0.067,0.0842,0.0916,0.117,0.1252,0.1678,0.1719,0,0.96
