dataSet,num_nodes1,num_edges1,time
delaunay_n17,131073,393176,0.0113
delaunay_n18,262145,786396,0.0209
delaunay_n19,524289,1572823,0.1514
delaunay_n20,1048577,3145686,0.312
delaunay_n21,2097153,6291408,0.635
delaunay_n22,4194305,12582869,1.2693
denormal,89401,622812,0.0134
dictionary28,52653,89038,0.0049
dielFilterV2clx,607233,12958252,0.3468
dielFilterV2real,1157457,24848204,0.6683
dielFilterV3clx,420409,16653308,0.4238
Dubcova1,16130,134569,0.0045
Dubcova3,146690,1891669,0.0297
e40r0100,17282,553562,0.0133
EAT_RS,23220,325592,0.0115
ecology1,1000001,2998000,0.3124
ecology2,1000000,2997995,0.3128
email-Enron,36693,183831,0.0062
Emilia_923,923137,20964171,0.5248
engine,143572,2424822,0.0457
enron,69245,276143,0.0097
eu-2005,862665,19235140,0.5125
ex11,16615,1096948,0.026
ex19,12006,259879,0.0076
F1,343792,13590452,0.3315
F2,71506,2682895,0.0569
Fault_639,638803,14626683,0.3653
fcondp2,201823,5748069,0.1321
fem_hifreq_circuit,491101,20239237,0.5306
filter3D,106438,1406808,0.028
finance256,37377,167936,0.0062
Flan_1565,1564795,59485419,1.2409
flickr,820879,9837214,0.3903
foldoc,13357,120238,0.0044
Freescale1,3428756,18920347,2.1149
fullb,199188,5953632,0.1334
FullChip,2987013,26621990,2.19
fxm4_6,18893,258368,0.0062
G2_circuit,150103,438388,0.0145
G3_circuit,1585479,4623152,0.5148
Ga10As10H30,113082,3114357,0.0727
Ga19As19H42,133124,4508981,0.1194
Ga3As3H12,61350,3016148,0.0719
Ga41As41H72,268097,9378286,0.2529
GaAsH6,61350,1721579,0.0385
gas_sensor,66918,885141,0.0171
Ge87H76,112986,4002590,0.1
Ge99H100,112986,4282190,0.1083
gearbox,153747,4617075,0.1045
Geo_1438,1437961,32297325,0.8115
gridgena,48963,280523,0.0069
gsm_106857,589447,11174185,0.4072
gupta1,31803,1098006,0.0195
gupta2,62065,2155175,0.0329
gupta3,16784,4670105,0.119
gyro,17362,519260,0.0103
gyro_k,17362,519260,0.0103
gyro_m,17362,178896,0.006
H2O,67025,1141880,0.0283
halfb,224618,6306219,0.1466
Hamrle3,1447361,5514242,0.6664
hangGlider_4,15562,79088,0.0039
hangGlider_5,16012,82070,0.0041
helm2d03,392258,1567096,0.1247
helm3d01,32227,230335,0.0071
hi2010,25017,62063,0.0041
hollywood-2009,1139906,57515616,1.6321
hood,220543,5494489,0.1321
Hook_1498,1498024,31207734,0.8127
HTC_336_4438,226341,565431,0.0219
HTC_336_9129,226341,554881,0.0218
hugetric-00000,5824555,8733523,1.6832
human_gene1,22284,12345963,0.3292
human_gene2,14341,9041364,0.2303
HV15R,2017170,283073458,7.4797
ibm_matrix_2,51449,1056610,0.0184
igbt3,10939,234006,0.0069
in-2004,1382909,16917053,0.58
inlet,11731,328323,0.0073
inline_1,503713,18660027,0.438
ins2,309413,1530448,0.0911
italy_osm,6686494,7013978,1.8855
jan99jac120sc,41375,260202,0.0078
juba40k,40338,144945,0.0056
k3plates,11108,378927,0.0079
kim1,38416,933195,0.0165
kkt_power,2063495,8130343,0.8438
kron_g500-logn16,65537,2456398,0.0603
kron_g500-logn17,131073,5114375,0.1424
kron_g500-logn18,262145,10583222,0.2958
kron_g500-logn19,524289,21781478,0.6266
kron_g500-logn20,1048577,44620272,1.3682
laminar_duct3D,67174,3833077,0.0951
language,399131,1216334,0.1224
largebasis,440021,5560100,0.2398
ldoor,952204,23737339,0.5891
lhr34,35153,764014,0.0209
lhr34c,35153,764014,0.0209
lhr71,70305,1528092,0.0371
lhr71c,70305,1528092,0.037
li,22696,1350309,0.0328
ljournal-2008,5363261,79023142,4.1151
Long_Coup_dt0,1470153,44279572,0.9865
Long_Coup_dt6,1470153,44279572,0.9848
lowThrust_10,18261,116074,0.0046
lowThrust_11,18369,117002,0.0047
lowThrust_12,18459,117423,0.0047
lowThrust_13,18477,117580,0.0047
lowThrust_4,13563,84240,0.0039
lowThrust_5,16263,103701,0.0045
lowThrust_6,16929,108376,0.0045
lowThrust_7,17379,110607,0.0046
lowThrust_8,17703,113139,0.0047
lowThrust_9,18045,114806,0.0046
lp1,534389,1088904,0.1609
luxembourg_osm,114600,119666,0.0081
m14b,214766,1679018,0.0435
mario001,38435,114643,0.0055
mario002,389875,1167685,0.0708
mark3jac040sc,18290,113435,0.0047
mark3jac060sc,27450,170695,0.006
me2010,69519,167738,0.0077
memplus,17759,126150,0.0048
mip1,66464,5209641,0.0958
ML_Laplace,377003,27689972,0.7142
mouse_gene,45102,14506196,0.3962
msc10848,10849,620313,0.0167
msc23052,23053,588933,0.0121
msdoor,415864,10328399,0.2521
m_t1,97579,4925574,0.1128
mult_dcop_01,25188,193276,0.0067
mult_dcop_02,25188,193276,0.0067
mult_dcop_03,25188,193216,0.0067
NACA0015,1039184,3114818,0.3824
nasasrb,54871,1366097,0.0215
nd12k,36001,7128473,0.1816
nd24k,72001,14393817,0.3772
nd6k,18001,3457658,0.0827
net100,29921,1031560,0.0255
net125,36721,1306960,0.0309
net150,43521,1582360,0.0344
net4-1,88344,1265035,0.0361
net50,16321,480760,0.0128
net75,23121,756160,0.0193
netherlands_osm,2216689,2441238,0.5717
nh2010,48838,117275,0.006
NLR,4163764,12487976,1.9848
NotreDame_www,325730,929849,0.0212
nv2010,84539,208499,0.0092
ohne2,181344,11063545,0.2948
oilpan,73753,1835470,0.0281
olafu,16147,515651,0.0101
onetone2,36058,227628,0.0068
OPF_10000,43888,255799,0.0068
opt1,15450,973052,0.0237
p2p-Gnutella31,62587,147892,0.0066
parabolic_fem,525826,2100225,0.1957
patents,3774769,14970767,1.688
pattern1,19243,4671337,0.1137
pcrystk02,13966,491274,0.0096
pcrystk03,24697,887937,0.0159
pct20stif,52330,1375396,0.022
pdb1HYS,36418,2190591,0.0465
pds10,16559,83108,0.0043
PFlow_742,742794,18940627,0.4503
pkustk01,22045,500712,0.0107
pkustk02,10801,410400,0.0109
pkustk03,63337,1596876,0.0253
pkustk04,55591,2137125,0.0473
pkustk05,37165,1121154,0.0251
pkustk06,43165,1307466,0.0282
pkustk07,16861,1217832,0.031
pkustk08,22210,1624440,0.0385
pkustk09,33961,808800,0.0148
pkustk10,80677,2194830,0.035
pkustk11,87805,2652858,0.0533
pkustk12,94654,3803485,0.0834
pkustk13,94894,3355860,0.0718
pkustk14,151927,7494215,0.1794
pli,22696,686502,0.016
PR02R,161071,8185136,0.2063
Pres_Poisson,14823,365313,0.0079
pwtk,217919,5926171,0.1386
qa8fk,66128,863353,0.0159
qa8fm,66128,863353,0.0159
raefsky3,21201,1488768,0.0335
raefsky4,19780,674195,0.013
rajat15,37262,443573,0.0117
rajat22,39900,197264,0.0061
rajat26,51033,249302,0.0073
rajat29,643995,4866270,0.3096
rajat30,643995,6175377,0.3257
ramage02,16831,1441591,0.0334
Reuters911,13333,148038,0.0058
rgg_n_2_15_s0,32769,160240,0.0065
rgg_n_2_22_s0,4194305,30359198,1.5359
ri2010,25182,62875,0.0041
rim,22561,1014951,0.0234
RM07R,381690,37464962,0.9891
rma10,46836,2374001,0.0496
roadNet-CA,1971282,2766607,0.4892
roadNet-PA,1090921,1541898,0.2709
roadNet-TX,1393384,1921660,0.3406
s3dkq4m2,90450,2455670,0.0373
s3dkt3m2,90450,1921955,0.0293
s4dkt3m2,90450,1921955,0.0293
Serena,1391350,32961525,0.8083
shermanACb,18511,145149,0.0054
ship_001,34921,2339575,0.0541
ship_003,121729,4103881,0.0798
shipsec1,140875,3977139,0.0854
shipsec5,179861,5146478,0.1185
shipsec8,114920,3384159,0.052
Si10H16,17078,446500,0.0127
Si34H36,97570,2626974,0.062
Si41Ge41H72,185640,7598452,0.2069
Si5H12,19897,379247,0.0109
Si87H76,240370,5451000,0.1485
sinc15,11533,568526,0.0157
SiO,33402,675528,0.0181
SiO2,155332,5719417,0.1538
skirt,12599,104559,0.0038
smallworld,100001,499998,0.0116
sme3Dc,42931,3148656,0.0844
smt,25711,1889447,0.0424
soc-LiveJournal1,4847572,68993773,4.9631
soc-sign-Slashdot090221,82145,549202,0.0182
sparsine,50001,799494,0.0256
srb1,54925,1508538,0.0235
Stanford,281904,2312497,0.0791
std1_Jac2,21983,1248731,0.0301
std1_Jac3,21983,1455848,0.0328
stokes128,49667,295938,0.0077
stokes64,12547,74242,0.0034
struct3,53571,613632,0.0115
t2dah,11446,93781,0.0034
t2dah_a,11446,93781,0.0035
t2dah_e,11446,93781,0.0035
t3dh,79172,2215638,0.0374
t3dh_a,79172,2215638,0.0375
t3dh_e,79172,2215638,0.0373
t3dl,20361,265113,0.0071
t3dl_a,20361,265113,0.0071
tandem_vtx,18455,135902,0.0046
ted_A,10606,424587,0.0124
ted_AB,10606,522387,0.0159
ted_AB_unscaled,10606,522387,0.0159
ted_A_unscaled,10606,424587,0.0124
ted_B_unscaled,10606,77592,0.0034
thread,29737,2249892,0.0504
tmt_sym,726714,2903837,0.2369
torso1,116159,8516500,0.2279
transient,178867,961790,0.0247
trdheim,22099,978711,0.0193
Trefethen_20000,20001,287233,0.0092
Trefethen_20000b,20000,287217,0.0092
troll,213454,6099282,0.1397
TSOPF_FS_b162_c1,10799,305732,0.0073
TSOPF_FS_b162_c3,30799,904612,0.0181
TSOPF_FS_b162_c4,40799,1204322,0.0234
TSOPF_FS_b300,29215,2203949,0.0347
TSOPF_FS_b300_c1,29215,2203949,0.0347
TSOPF_FS_b300_c2,56815,4391071,0.0691
TSOPF_FS_b300_c3,84415,6578753,0.1177
TSOPF_FS_b39_c19,76217,998359,0.0185
TSOPF_FS_b39_c30,120217,1575639,0.0257
TSOPF_FS_b39_c7,28217,368599,0.0081
TSOPF_FS_b9_c6,14455,75801,0.0033
TSOPF_RS_b162_c3,15375,610299,0.0132
TSOPF_RS_b162_c4,20375,812749,0.0167
TSOPF_RS_b2052_c1,25627,6761100,0.1143
TSOPF_RS_b2383,38121,16171169,0.3009
TSOPF_RS_b2383_c1,38121,16171169,0.3078
TSOPF_RS_b300_c1,14539,1474325,0.0244
TSOPF_RS_b300_c2,28339,2943887,0.0467
TSOPF_RS_b300_c3,42139,4413449,0.0691
TSOPF_RS_b39_c19,38099,684206,0.0138
TSOPF_RS_b39_c30,60099,1079986,0.0204
TSOPF_RS_b39_c7,14099,252446,0.0067
TSOPF_RS_b678_c1,18697,4396289,0.0664
TSOPF_RS_b678_c2,35697,8781949,0.1517
tsyl201,20686,1237821,0.03
tube1,21499,459277,0.0091
tube2,21499,459277,0.0091
turon_m,189925,912345,0.0216
usroads,129165,165435,0.0095
usroads-48,126147,161950,0.0093
vanbody,47073,1191985,0.0206
venturiLevel3,4026820,8054237,1.2027
vibrobox,12329,177578,0.0059
viscorocks,37763,1162244,0.0201
vsp_barth5_1Ksep_50in_5Kout,32213,101805,0.0055
vsp_bcsstk30_500sep_10in_1Kout,58349,2016578,0.0556
vsp_befref_fxm_2_4_air02,14110,98224,0.0043
vsp_bump2_e18_aa01_model1_crew1,56439,300801,0.0093
vsp_c-30_data_data,11024,62184,0.0031
vsp_c-60_data_cti_cs4,85831,241080,0.0082
vsp_finan512_scagr7-2c_rlfddd,139753,552020,0.015
vsp_mod2_pgp2_slptsk,101365,389368,0.0126
vsp_model1_crew1_cr42_south31,45102,189976,0.0062
vsp_msc10848_300sep_100in_1Kout,21997,1221028,0.0367
vsp_p0291_seymourl_iiasa,10499,53868,0.0035
vsp_sctap1-2b_and_seymourl,40175,140831,0.0059
vsp_south31_slptsk,39669,189914,0.0063
vsp_vibrobox_scagr7-2c_rlfddd,77329,435586,0.0115
vt2010,32581,77799,0.0046
wathen100,30402,251001,0.0061
wathen120,36442,301101,0.0069
web-Google,916429,5105039,0.3008
web-NotreDame,325730,1497134,0.0448
wikipedia-20051105,1634990,19753078,0.9169
wikipedia-20060925,2983495,37269096,2.0836
wikipedia-20061104,3148441,39383235,2.2384
wikipedia-20070206,3566908,45030389,2.6418
wiki-Talk,2394386,5021410,0.4982
windscreen,22693,752541,0.0138
wing_nodal,10938,75488,0.0043
wy2010,86205,213793,0.0093
x104,108385,5138004,0.1117
Zd_Jac2,22836,1642833,0.0326
Zd_Jac3,22836,1916152,0.0409
Zd_Jac6,22836,1711983,0.0372
