dataSet,num_nodes1,num_edges1,time
delaunay_n20,1048577,3145686,1.1463
delaunay_n21,2097153,6291408,2.3006
delaunay_n22,4194305,12582869,4.5912
denormal,89401,622812,0.1075
dictionary28,52653,89038,0.0141
dielFilterV2clx,607233,12958252,1.3316
dielFilterV2real,1157457,24848204,2.5877
dielFilterV3clx,420409,16653308,1.7595
Dubcova1,16130,134569,0.0141
Dubcova3,146690,1891669,0.2258
e40r0100,17282,553562,0.0576
EAT_RS,23220,325592,0.0412
ecology1,1000001,2998000,1.1331
ecology2,1000000,2997995,1.1332
email-Enron,36693,183831,0.0212
Emilia_923,923137,20964171,1.9839
engine,143572,2424822,0.2616
enron,69245,276143,0.0333
eu-2005,862665,19235140,1.8471
ex11,16615,1096948,0.1134
ex19,12006,259879,0.0292
F1,343792,13590452,1.4823
F2,71506,2682895,0.2864
Fault_639,638803,14626683,1.3712
fcondp2,201823,5748069,0.5609
fem_hifreq_circuit,491101,20239237,2.2204
filter3D,106438,1406808,0.1424
finance256,37377,167936,0.0205
Flan_1565,1564795,59485419,6.1996
flickr,820879,9837214,1.6205
foldoc,13357,120238,0.0128
Freescale1,3428756,18920347,8.0842
fullb,199188,5953632,0.5965
FullChip,2987013,26621990,7.8226
fxm4_6,18893,258368,0.0251
G2_circuit,150103,438388,0.1735
G3_circuit,1585479,4623152,2.0226
Ga10As10H30,113082,3114357,0.3382
Ga19As19H42,133124,4508981,0.4857
Ga3As3H12,61350,3016148,0.3241
Ga41As41H72,268097,9378286,0.9934
GaAsH6,61350,1721579,0.1892
gas_sensor,66918,885141,0.08
Ge87H76,112986,4002590,0.4306
Ge99H100,112986,4282190,0.4589
gearbox,153747,4617075,0.4508
Geo_1438,1437961,32297325,3.0435
gridgena,48963,280523,0.024
gsm_106857,589447,11174185,3.1187
gupta1,31803,1098006,0.0815
gupta2,62065,2155175,0.1625
gupta3,16784,4670105,0.4904
gyro,17362,519260,0.0522
gyro_k,17362,519260,0.0522
gyro_m,17362,178896,0.0222
H2O,67025,1141880,0.1177
halfb,224618,6306219,0.6178
Hamrle3,1447361,5514242,2.4456
hangGlider_4,15562,79088,0.0099
hangGlider_5,16012,82070,0.0101
helm2d03,392258,1567096,0.5072
helm3d01,32227,230335,0.0253
hi2010,25017,62063,0.0107
hollywood-2009,1139906,57515616,6.4366
hood,220543,5494489,0.5566
Hook_1498,1498024,31207734,2.8879
HTC_336_4438,226341,565431,0.3398
HTC_336_9129,226341,554881,0.3396
hugetric-00000,5824555,8733523,6.8908
human_gene1,22284,12345963,1.3832
human_gene2,14341,9041364,0.9752
HV15R,2017170,283073458,29.5179
ibm_matrix_2,51449,1056610,0.0951
igbt3,10939,234006,0.0255
in-2004,1382909,16917053,1.942
inlet,11731,328323,0.0338
inline_1,503713,18660027,1.9442
ins2,309413,1530448,0.8183
italy_osm,6686494,7013978,7.2341
jan99jac120sc,41375,260202,0.027
juba40k,40338,144945,0.0172
k3plates,11108,378927,0.0406
kim1,38416,933195,0.0889
kkt_power,2063495,8130343,3.0581
kron_g500-logn16,65537,2456398,0.2756
kron_g500-logn17,131073,5114375,0.5988
kron_g500-logn18,262145,10583222,1.206
kron_g500-logn19,524289,21781478,2.5185
kron_g500-logn20,1048577,44620272,5.389
laminar_duct3D,67174,3833077,0.4096
language,399131,1216334,0.5768
largebasis,440021,5560100,1.0313
ldoor,952204,23737339,2.42
lhr34,35153,764014,0.0822
lhr34c,35153,764014,0.0823
lhr71,70305,1528092,0.1678
lhr71c,70305,1528092,0.1681
li,22696,1350309,0.1442
ljournal-2008,5363261,79023142,16.1832
Long_Coup_dt0,1470153,44279572,4.516
Long_Coup_dt6,1470153,44279572,4.5102
lowThrust_10,18261,116074,0.0137
lowThrust_11,18369,117002,0.0137
lowThrust_12,18459,117423,0.0138
lowThrust_13,18477,117580,0.0138
lowThrust_4,13563,84240,0.0106
lowThrust_5,16263,103701,0.0125
lowThrust_6,16929,108376,0.0129
lowThrust_7,17379,110607,0.0132
lowThrust_8,17703,113139,0.0134
lowThrust_9,18045,114806,0.0135
lp1,534389,1088904,0.6041
luxembourg_osm,114600,119666,0.1203
m14b,214766,1679018,0.2757
mario001,38435,114643,0.0164
mario002,389875,1167685,0.598
mark3jac040sc,18290,113435,0.0139
mark3jac060sc,27450,170695,0.0198
me2010,69519,167738,0.0247
memplus,17759,126150,0.0144
mip1,66464,5209641,0.4348
ML_Laplace,377003,27689972,2.8651
mouse_gene,45102,14506196,1.6143
msc10848,10849,620313,0.0688
msc23052,23053,588933,0.0626
msdoor,415864,10328399,1.0384
m_t1,97579,4925574,0.5036
mult_dcop_01,25188,193276,0.0231
mult_dcop_02,25188,193276,0.0225
mult_dcop_03,25188,193216,0.0232
NACA0015,1039184,3114818,1.7824
nasasrb,54871,1366097,0.1319
nd12k,36001,7128473,0.7254
nd24k,72001,14393817,1.4813
nd6k,18001,3457658,0.3506
net100,29921,1031560,0.1089
net125,36721,1306960,0.1351
net150,43521,1582360,0.1604
net4-1,88344,1265035,0.1681
net50,16321,480760,0.0535
net75,23121,756160,0.0824
netherlands_osm,2216689,2441238,2.188
nh2010,48838,117275,0.0182
NLR,4163764,12487976,7.7029
NotreDame_www,325730,929849,0.2247
nv2010,84539,208499,0.0317
ohne2,181344,11063545,1.1981
oilpan,73753,1835470,0.1739
olafu,16147,515651,0.0538
onetone2,36058,227628,0.0242
OPF_10000,43888,255799,0.0246
opt1,15450,973052,0.1001
p2p-Gnutella31,62587,147892,0.0204
parabolic_fem,525826,2100225,1.0392
patents,3774769,14970767,8.1091
pattern1,19243,4671337,0.496
pcrystk02,13966,491274,0.0515
pcrystk03,24697,887937,0.0924
pct20stif,52330,1375396,0.1347
pdb1HYS,36418,2190591,0.2218
pds10,16559,83108,0.0121
PFlow_742,742794,18940627,1.8975
pkustk01,22045,500712,0.0506
pkustk02,10801,410400,0.0427
pkustk03,63337,1596876,0.1615
pkustk04,55591,2137125,0.2187
pkustk05,37165,1121154,0.1141
pkustk06,43165,1307466,0.1328
pkustk07,16861,1217832,0.129
pkustk08,22210,1624440,0.1715
pkustk09,33961,808800,0.0816
pkustk10,80677,2194830,0.2229
pkustk11,87805,2652858,0.2699
pkustk12,94654,3803485,0.3827
pkustk13,94894,3355860,0.3414
pkustk14,151927,7494215,0.7537
pli,22696,686502,0.0728
PR02R,161071,8185136,0.8681
Pres_Poisson,14823,365313,0.0375
pwtk,217919,5926171,0.5607
qa8fk,66128,863353,0.0752
qa8fm,66128,863353,0.0751
raefsky3,21201,1488768,0.1567
raefsky4,19780,674195,0.0693
rajat15,37262,443573,0.0473
rajat22,39900,197264,0.0202
rajat26,51033,249302,0.0252
rajat29,643995,4866270,1.2572
rajat30,643995,6175377,1.331
ramage02,16831,1441591,0.1468
Reuters911,13333,148038,0.0187
rgg_n_2_15_s0,32769,160240,0.0216
rgg_n_2_22_s0,4194305,30359198,4.9646
ri2010,25182,62875,0.0108
rim,22561,1014951,0.101
RM07R,381690,37464962,3.9186
rma10,46836,2374001,0.2434
roadNet-CA,1971282,2766607,1.8356
roadNet-PA,1090921,1541898,1.0139
roadNet-TX,1393384,1921660,1.2752
s3dkq4m2,90450,2455670,0.2356
s3dkt3m2,90450,1921955,0.1697
s4dkt3m2,90450,1921955,0.1699
Serena,1391350,32961525,3.217
shermanACb,18511,145149,0.0164
ship_001,34921,2339575,0.2485
ship_003,121729,4103881,0.4156
shipsec1,140875,3977139,0.3919
shipsec5,179861,5146478,0.5034
shipsec8,114920,3384159,0.3356
Si10H16,17078,446500,0.0494
Si34H36,97570,2626974,0.2871
Si41Ge41H72,185640,7598452,0.8021
Si5H12,19897,379247,0.0402
Si87H76,240370,5451000,0.5688
sinc15,11533,568526,0.0626
SiO,33402,675528,0.0729
SiO2,155332,5719417,0.618
skirt,12599,104559,0.0106
smallworld,100001,499998,0.1056
sme3Dc,42931,3148656,0.349
smt,25711,1889447,0.1934
soc-LiveJournal1,4847572,68993773,21.5757
soc-sign-Slashdot090221,82145,549202,0.0687
sparsine,50001,799494,0.0953
srb1,54925,1508538,0.1466
Stanford,281904,2312497,0.5962
std1_Jac2,21983,1248731,0.1338
std1_Jac3,21983,1455848,0.1495
stokes128,49667,295938,0.0269
stokes64,12547,74242,0.0084
struct3,53571,613632,0.0534
t2dah,11446,93781,0.0088
t2dah_a,11446,93781,0.0088
t2dah_e,11446,93781,0.0089
t3dh,79172,2215638,0.2258
t3dh_a,79172,2215638,0.2262
t3dh_e,79172,2215638,0.2261
t3dl,20361,265113,0.0264
t3dl_a,20361,265113,0.0264
tandem_vtx,18455,135902,0.0147
ted_A,10606,424587,0.0457
ted_AB,10606,522387,0.0563
ted_AB_unscaled,10606,522387,0.0566
ted_A_unscaled,10606,424587,0.0458
ted_B_unscaled,10606,77592,0.0092
thread,29737,2249892,0.2324
tmt_sym,726714,2903837,0.8332
torso1,116159,8516500,0.8962
transient,178867,961790,0.2988
trdheim,22099,978711,0.0983
Trefethen_20000,20001,287233,0.0326
Trefethen_20000b,20000,287217,0.0326
troll,213454,6099282,0.58
TSOPF_FS_b162_c1,10799,305732,0.0258
TSOPF_FS_b162_c3,30799,904612,0.0716
TSOPF_FS_b162_c4,40799,1204322,0.0943
TSOPF_FS_b300,29215,2203949,0.1653
TSOPF_FS_b300_c1,29215,2203949,0.1654
TSOPF_FS_b300_c2,56815,4391071,0.3287
TSOPF_FS_b300_c3,84415,6578753,0.5019
TSOPF_FS_b39_c19,76217,998359,0.0827
TSOPF_FS_b39_c30,120217,1575639,0.1418
TSOPF_FS_b39_c7,28217,368599,0.0323
TSOPF_FS_b9_c6,14455,75801,0.0078
TSOPF_RS_b162_c3,15375,610299,0.0502
TSOPF_RS_b162_c4,20375,812749,0.0661
TSOPF_RS_b2052_c1,25627,6761100,0.6084
TSOPF_RS_b2383,38121,16171169,1.5773
TSOPF_RS_b2383_c1,38121,16171169,1.5835
TSOPF_RS_b300_c1,14539,1474325,0.1126
TSOPF_RS_b300_c2,28339,2943887,0.2221
TSOPF_RS_b300_c3,42139,4413449,0.3379
TSOPF_RS_b39_c19,38099,684206,0.0599
TSOPF_RS_b39_c30,60099,1079986,0.0938
TSOPF_RS_b39_c7,14099,252446,0.0227
TSOPF_RS_b678_c1,18697,4396289,0.3723
TSOPF_RS_b678_c2,35697,8781949,0.7549
tsyl201,20686,1237821,0.1288
tube1,21499,459277,0.0415
tube2,21499,459277,0.0443
turon_m,189925,912345,0.2622
usroads,129165,165435,0.1388
usroads-48,126147,161950,0.1358
vanbody,47073,1191985,0.1141
venturiLevel3,4026820,8054237,4.6722
vibrobox,12329,177578,0.0207
viscorocks,37763,1162244,0.1158
vsp_barth5_1Ksep_50in_5Kout,32213,101805,0.0164
vsp_bcsstk30_500sep_10in_1Kout,58349,2016578,0.2319
vsp_befref_fxm_2_4_air02,14110,98224,0.0101
vsp_bump2_e18_aa01_model1_crew1,56439,300801,0.0323
vsp_c-30_data_data,11024,62184,0.0069
vsp_c-60_data_cti_cs4,85831,241080,0.0291
vsp_finan512_scagr7-2c_rlfddd,139753,552020,0.1188
vsp_mod2_pgp2_slptsk,101365,389368,0.0463
vsp_model1_crew1_cr42_south31,45102,189976,0.0186
vsp_msc10848_300sep_100in_1Kout,21997,1221028,0.1397
vsp_p0291_seymourl_iiasa,10499,53868,0.0086
vsp_sctap1-2b_and_seymourl,40175,140831,0.0196
vsp_south31_slptsk,39669,189914,0.0176
vsp_vibrobox_scagr7-2c_rlfddd,77329,435586,0.0443
vt2010,32581,77799,0.0128
wathen100,30402,251001,0.0205
wathen120,36442,301101,0.0242
web-Google,916429,5105039,1.7565
web-NotreDame,325730,1497134,0.3176
wikipedia-20051105,1634990,19753078,4.5434
wikipedia-20060925,2983495,37269096,10.1545
wikipedia-20061104,3148441,39383235,10.8771
wikipedia-20070206,3566908,45030389,12.7498
wiki-Talk,2394386,5021410,2.1052
windscreen,22693,752541,0.0797
wing_nodal,10938,75488,0.0115
wy2010,86205,213793,0.0324
x104,108385,5138004,0.5303
Zd_Jac2,22836,1642833,0.1736
Zd_Jac3,22836,1916152,0.196
Zd_Jac6,22836,1711983,0.1779
