dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,dur,density,speedup
144,144650,1074393,0.1472,0.1932,0.1481,0.2724,0.208,0.1971,0.1935,0.1938,0.1937,0.1935,0.1321,0,0.99
2D_27628_bjtcai,27629,442898,0.0171,0.0381,0.0178,0.0219,0.0309,0.053,0.0514,0.0472,0.0407,0.0391,0.0241,0,0.96
2D_54019_highK,54020,996414,0.0306,0.0735,0.0316,0.039,0.0604,0.0972,0.0989,0.0964,0.0891,0.0817,0.0531,0,0.97
333SP,3712816,11108633,4.1935,6.0271,4.1882,11.8299,6.8763,6.0491,6.0282,6.0266,6.0269,6.0274,1.6848,1,1.0
3D_28984_Tetra,28985,599170,0.0197,0.0421,0.0203,0.0276,0.0358,0.0562,0.0554,0.0527,0.0424,0.0423,0.0313,0,0.97
3D_51448_3D,51449,1056610,0.0313,0.07,0.0349,0.0472,0.0661,0.107,0.1046,0.0997,0.0767,0.0768,0.0564,0,0.9
3Dspectralwave,680944,17165766,0.875,1.2761,0.8758,2.2569,2.4536,2.386,1.8342,1.4714,1.3612,1.3411,1.6274,0,1.0
3Dspectralwave2,292009,7307376,0.375,0.544,0.376,0.9595,1.04,1.0129,0.7827,0.616,0.5768,0.5665,0.6871,0,1.0
3dtube,45331,1629474,0.0344,0.1101,0.0358,0.0578,0.0694,0.0923,0.1037,0.1103,0.1128,0.1128,0.0772,0,0.96
598a,110972,741934,0.1007,0.1303,0.1014,0.1724,0.1302,0.1307,0.1293,0.131,0.1307,0.1294,0.0963,0,0.99
a0nsdsil,80017,200021,0.0261,0.0635,0.0268,0.0817,0.0818,0.0817,0.0817,0.0816,0.0816,0.0817,0.0261,0,0.97
a2nnsnsl,80017,196115,0.0258,0.0635,0.0267,0.0817,0.0817,0.0817,0.0817,0.08,0.0776,0.0752,0.0266,0,0.97
a5esindl,60009,145004,0.0205,0.0479,0.0213,0.0612,0.0611,0.0611,0.0611,0.0611,0.0611,0.0612,0.019,0,0.96
adaptive,6815745,13624320,6.8375,9.9567,6.8419,21.3829,12.6455,9.9585,9.9594,9.9638,9.9586,9.9592,2.3062,0,1.0
af_0_k101,503626,9027150,0.479,0.8064,0.4799,0.9802,1.1917,1.3787,1.5859,1.7353,1.7516,1.5101,0.3307,0,1.0
af_1_k101,503626,9027150,0.4786,0.8067,0.4804,0.9809,1.1905,1.3797,1.585,1.7326,1.7517,1.5088,0.3325,0,1.0
af_2_k101,503626,9027150,0.4787,0.8071,0.4798,0.9799,1.191,1.3784,1.5875,1.7341,1.7497,1.5091,0.3301,0,1.0
af_3_k101,503626,9027150,0.4788,0.8068,0.4806,0.9822,1.192,1.38,1.5848,1.7339,1.7487,1.5088,0.3338,0,1.0
af_4_k101,503626,9027150,0.4789,0.8065,0.48,0.9809,1.1903,1.3789,1.5854,1.7343,1.7502,1.5082,0.3356,0,1.0
af_5_k101,503626,9027150,0.479,0.8065,0.4796,0.9798,1.1879,1.3786,1.5837,1.7343,1.7502,1.5097,0.3311,0,1.0
af_shell1,504856,9046865,0.4875,0.7998,0.4883,0.9794,1.1788,1.3789,1.5774,1.7438,1.7422,1.5176,0.3394,0,1.0
af_shell10,1508066,27090195,1.4492,2.369,1.4506,2.9654,3.5367,4.1218,4.7365,5.2425,5.2448,4.559,1.0346,0,1.0
af_shell2,504856,9046865,0.4875,0.7998,0.4885,0.9797,1.1785,1.3782,1.5781,1.7437,1.7402,1.5193,0.339,0,1.0
af_shell3,504856,9046865,0.4875,0.8002,0.489,0.9802,1.1753,1.3787,1.5776,1.7442,1.7447,1.5186,0.3386,0,1.0
af_shell4,504856,9046865,0.4874,0.7995,0.4885,0.9751,1.1792,1.3785,1.5762,1.7429,1.7425,1.5192,0.3394,0,1.0
af_shell5,504856,9046865,0.4876,0.7997,0.4884,0.9803,1.1787,1.3785,1.5757,1.7438,1.7434,1.5173,0.3388,0,1.0
af_shell6,504856,9046865,0.4877,0.7995,0.4883,0.98,1.1786,1.3774,1.5774,1.7439,1.744,1.518,0.338,0,1.0
af_shell7,504856,9046865,0.4873,0.7994,0.4887,0.9788,1.1792,1.3778,1.5783,1.7429,1.7438,1.5189,0.3396,0,1.0
af_shell8,504856,9046865,0.4874,0.7997,0.4884,0.9802,1.1785,1.3791,1.579,1.7437,1.7454,1.5192,0.3381,0,1.0
af_shell9,504856,9046865,0.4873,0.7997,0.4887,0.9798,1.178,1.3792,1.5776,1.7433,1.7441,1.5212,0.3407,0,1.0
ak2010,45293,108549,0.0182,0.0339,0.0194,0.0504,0.0373,0.0349,0.034,0.0341,0.0341,0.034,0.0198,0,0.94
Andrews,60001,410077,0.0379,0.0634,0.0381,0.0676,0.0635,0.0635,0.0635,0.0636,0.0635,0.0636,0.0548,0,0.99
AS365,3799276,11368076,4.8768,6.5824,4.8787,11.8571,6.9754,6.6051,6.5808,6.5813,6.5814,6.5812,1.8232,0,1.0
as-caida,31380,106762,0.0145,0.0257,0.0152,0.0373,0.0291,0.0267,0.0259,0.0259,0.0258,0.0259,0.0176,0,0.95
ASIC_680k,682863,3871773,0.8885,1.5854,0.8895,2.7734,2.7932,2.754,2.7405,2.7433,2.7407,2.7391,0.4532,0,1.0
as-Skitter,1696416,11095298,1.6699,2.5639,1.6705,4.3899,4.4622,4.3476,4.2031,4.0982,4.0292,3.9845,1.2629,0,1.0
astro-ph,16707,121251,0.0095,0.0167,0.0103,0.0226,0.0209,0.0186,0.0168,0.017,0.0169,0.0169,0.0126,0,0.92
audikw_1,943696,39297771,1.1928,2.7914,1.1935,2.2658,2.7442,3.5504,3.6535,3.7498,3.7726,3.7169,2.3749,0,1.0
auto,448696,3314611,0.46,0.6304,0.4646,0.9476,0.7867,0.6768,0.6563,0.6383,0.6316,0.6312,0.4094,0,0.99
barrier2-1,113077,3805068,0.1783,0.2702,0.1789,0.3561,0.3985,0.2994,0.2816,0.2738,0.2714,0.2704,0.4056,0,1.0
barrier2-10,115626,3897557,0.1827,0.2766,0.1836,0.3664,0.4082,0.3099,0.2909,0.2813,0.2776,0.2766,0.4101,0,1.0
barrier2-11,115626,3897557,0.1827,0.2768,0.1838,0.366,0.4072,0.3078,0.2917,0.2811,0.2781,0.2773,0.4108,0,0.99
barrier2-12,115626,3897557,0.183,0.2767,0.1844,0.3663,0.4075,0.308,0.2912,0.2813,0.278,0.277,0.4327,0,0.99
barrier2-2,113077,3805068,0.178,0.2698,0.1791,0.3557,0.3977,0.2997,0.2818,0.2743,0.2702,0.2705,0.404,0,0.99
barrier2-3,113077,3805068,0.1783,0.2702,0.1788,0.3559,0.398,0.2995,0.2816,0.2741,0.2703,0.2706,0.4026,0,1.0
barrier2-4,113077,3805068,0.1783,0.2705,0.1789,0.356,0.3979,0.3002,0.2818,0.274,0.2705,0.2704,0.4025,0,1.0
barrier2-9,115626,3897557,0.1828,0.2768,0.1833,0.3664,0.4078,0.3102,0.2918,0.2811,0.2776,0.2773,0.4145,0,1.0
bauru5727,40367,145019,0.0168,0.039,0.0178,0.0547,0.0505,0.0415,0.0391,0.0392,0.0391,0.0391,0.018,0,0.94
bbmat,38745,1771722,0.0342,0.1086,0.0349,0.0848,0.085,0.0849,0.0866,0.0784,0.1161,0.1202,0.0907,0,0.98
bcsstk17,10975,219812,0.0081,0.0184,0.0088,0.0153,0.0178,0.0194,0.0202,0.0211,0.0218,0.021,0.0109,0,0.92
bcsstk18,11949,80519,0.0075,0.0151,0.0088,0.0194,0.021,0.0178,0.0171,0.0153,0.0154,0.0154,0.0086,0,0.85
bcsstk25,15440,133840,0.0088,0.0201,0.0097,0.0235,0.0276,0.0267,0.0242,0.0227,0.0214,0.0202,0.0111,0,0.91
bcsstk29,13993,316740,0.0099,0.0233,0.0113,0.0178,0.0203,0.0234,0.026,0.0252,0.026,0.0268,0.0152,0,0.88
bcsstk30,28925,1036208,0.0214,0.07,0.0226,0.0374,0.0431,0.0506,0.0563,0.0636,0.0669,0.0702,0.0526,0,0.95
bcsstk31,35589,608502,0.0196,0.0499,0.0203,0.0432,0.0578,0.0628,0.0604,0.0555,0.053,0.0537,0.0371,0,0.97
bcsstk32,44610,1029655,0.0249,0.0708,0.0259,0.0498,0.0613,0.0711,0.0776,0.08,0.0809,0.0801,0.0482,0,0.96
bcsstk35,30238,740200,0.0172,0.0503,0.0177,0.0333,0.0382,0.0465,0.0505,0.0555,0.0579,0.058,0.032,0,0.97
bcsstk36,23053,583096,0.014,0.0388,0.0145,0.0267,0.0308,0.0341,0.0391,0.0431,0.0448,0.0447,0.0243,0,0.97
bcsstk37,25504,583240,0.0145,0.0405,0.0153,0.0283,0.0334,0.039,0.0433,0.0464,0.0473,0.0472,0.0247,0,0.95
bcsstk39,46773,1068033,0.0259,0.0693,0.0275,0.0546,0.0685,0.0792,0.0824,0.0727,0.072,0.0721,0.0421,0,0.94
bcsstm36,23053,166389,0.0108,0.0184,0.012,0.0235,0.0267,0.0251,0.0226,0.0194,0.0186,0.0186,0.0102,0,0.9
belgium_osm,1441296,1549970,1.2517,1.9514,1.2537,2.3387,1.9644,1.957,1.9519,1.9572,1.9566,1.9526,0.3708,0,1.0
BenElechi1,245875,6698185,0.2413,0.4221,0.2436,0.4757,0.5325,0.6687,0.7275,0.8327,0.849,0.8574,0.2021,0,0.99
blockqp1,60013,340022,0.0266,0.0766,0.0275,0.1129,0.0931,0.0931,0.0931,0.0932,0.093,0.0931,0.0242,0,0.97
bloweya,30005,80005,0.0128,0.0318,0.0138,0.0399,0.0456,0.0325,0.0317,0.0317,0.0317,0.0317,0.0093,0,0.93
bloweybl,30004,70001,0.0126,0.0315,0.0138,0.0399,0.0399,0.0316,0.0318,0.0316,0.0317,0.0317,0.0096,0,0.91
bmw3_2,227363,5757996,0.2333,0.4413,0.234,0.455,0.5611,0.6513,0.6979,0.6917,0.6727,0.6452,0.2886,0,1.0
bmw7st_1,141348,3740507,0.1447,0.2763,0.1452,0.2594,0.3051,0.3583,0.4015,0.4203,0.422,0.404,0.1828,0,1.0
bmwcra_1,148771,5396386,0.168,0.3692,0.169,0.2897,0.3526,0.4535,0.514,0.5147,0.502,0.4652,0.3075,0,0.99
bone010,986704,36326514,1.0492,2.7252,1.05,2.0969,2.481,2.9237,3.5092,3.4077,3.3575,3.2075,1.6736,0,1.0
boneS01,127225,3421188,0.1323,0.2467,0.1336,0.2319,0.2733,0.3384,0.4069,0.3988,0.3489,0.2997,0.1842,0,0.99
boneS10,914899,28191660,0.9527,2.1054,0.9533,1.9618,2.3437,2.7375,3.1528,2.9964,2.7675,2.5556,1.5347,0,1.0
boyd1,93280,652246,0.0731,0.3436,0.0737,0.1136,0.1885,0.2222,0.2868,0.339,0.3442,0.3701,0.0658,0,0.99
boyd2,466317,890091,0.4644,0.71,0.4653,1.0414,1.0409,1.0424,1.0412,1.0422,1.0421,1.0413,0.131,0,1.0
brack2,62632,366559,0.028,0.0634,0.0292,0.0906,0.1029,0.0924,0.0817,0.0694,0.0652,0.0636,0.0408,0,0.96
brainpc2,27608,96601,0.0112,0.0257,0.012,0.0374,0.0366,0.0375,0.0374,0.0374,0.0373,0.0375,0.009,0,0.93
bratu3d,27793,88627,0.0106,0.0187,0.0113,0.0259,0.026,0.0194,0.0195,0.0193,0.0194,0.0189,0.009,0,0.94
Bump_2911,2911420,65320659,2.9628,4.7767,2.9643,6.1691,7.4138,9.1553,9.9202,9.313,5.846,5.4773,3.467,0,1.0
bundle1,10582,390741,0.0089,0.02,0.0095,0.0161,0.0186,0.0218,0.0209,0.021,0.021,0.021,0.0151,0,0.94
