dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,dur,density,speedup
bundle_adj,513352,10360701,0.4977,0.8231,0.4991,1.2051,1.4876,1.7262,1.7357,1.7494,1.7527,1.7573,0.433,0,1.0
c-42,10472,60378,0.0085,0.0119,0.0096,0.0153,0.0144,0.0145,0.0145,0.0137,0.0136,0.0129,0.0055,0,0.89
c-43,11126,67400,0.0086,0.0119,0.0096,0.0161,0.0161,0.0153,0.0153,0.0153,0.0152,0.0153,0.0055,0,0.9
c-45,13207,93829,0.0075,0.0135,0.0087,0.0194,0.0194,0.0185,0.0178,0.0178,0.0177,0.0177,0.0062,0,0.86
c-46,14914,72655,0.0092,0.0143,0.0097,0.0209,0.0202,0.0201,0.0185,0.0186,0.0185,0.0177,0.0069,0,0.95
c-47,15344,113372,0.013,0.0175,0.0136,0.0217,0.021,0.0209,0.021,0.0202,0.0201,0.0202,0.0143,0,0.96
c-48,18355,92217,0.0114,0.0184,0.0119,0.0242,0.0235,0.0235,0.0217,0.0218,0.0209,0.021,0.0096,0,0.96
c-49,21133,89087,0.0125,0.0209,0.0136,0.0267,0.0245,0.0243,0.0234,0.0226,0.0226,0.0217,0.0105,0,0.92
c-50,22402,108013,0.0128,0.0224,0.0136,0.0283,0.0275,0.0275,0.0259,0.0259,0.0251,0.025,0.0115,0,0.94
c-51,23197,113123,0.0132,0.0225,0.0143,0.0291,0.0283,0.0275,0.0267,0.0259,0.0258,0.0251,0.0123,0,0.92
c-52,23949,113332,0.0133,0.0233,0.0143,0.03,0.0294,0.0291,0.0267,0.0268,0.0259,0.0258,0.0118,0,0.93
c-53,30236,201224,0.0151,0.029,0.016,0.0406,0.0399,0.0397,0.0389,0.0373,0.0381,0.0365,0.0152,0,0.94
c-54,31794,211743,0.0161,0.0323,0.0168,0.0415,0.0416,0.0414,0.0398,0.039,0.0381,0.0382,0.0169,0,0.96
c-55,32781,218115,0.0185,0.0347,0.0193,0.0414,0.0414,0.0415,0.0381,0.0382,0.0365,0.0365,0.0232,0,0.96
c-56,35911,208405,0.0175,0.0356,0.0184,0.0471,0.0456,0.0455,0.0438,0.0422,0.0422,0.0406,0.0194,0,0.95
c-57,37834,221515,0.0163,0.0348,0.0169,0.0504,0.0497,0.0496,0.0488,0.0481,0.0479,0.0472,0.0179,0,0.96
c-58,37596,295076,0.0248,0.0446,0.0258,0.0525,0.0497,0.0504,0.0472,0.0471,0.0472,0.0472,0.0362,0,0.96
c-59,41283,260909,0.0219,0.0438,0.0225,0.0529,0.0512,0.0513,0.0488,0.0471,0.0471,0.0464,0.0293,0,0.97
c-60,43641,171109,0.0198,0.0413,0.0201,0.0553,0.053,0.0523,0.0488,0.0489,0.0471,0.0463,0.0198,0,0.99
c-61,43619,176817,0.0204,0.0414,0.0209,0.0544,0.0513,0.0504,0.0471,0.057,0.0447,0.0438,0.021,0,0.98
c-62,41732,300537,0.0233,0.0471,0.0242,0.0553,0.0545,0.0545,0.0497,0.0504,0.0496,0.0496,0.0339,0,0.96
c-62ghs,41732,300537,0.0237,0.047,0.0242,0.0553,0.0545,0.0545,0.0504,0.0504,0.0496,0.0497,0.0357,0,0.98
c-63,44235,239469,0.0216,0.0446,0.0225,0.0554,0.0533,0.0537,0.0496,0.0496,0.0479,0.048,0.0247,0,0.96
c-64,51036,384438,0.0224,0.0478,0.0234,0.0671,0.0654,0.0643,0.0635,0.0618,0.0619,0.0602,0.0271,0,0.96
c-64b,51036,384438,0.0224,0.0478,0.0234,0.0671,0.0652,0.0643,0.0635,0.0626,0.0619,0.0602,0.027,0,0.96
c-65,48067,204297,0.0218,0.0465,0.0229,0.0598,0.0554,0.0553,0.0521,0.0513,0.0496,0.0496,0.0232,0,0.95
c-66,49990,274498,0.0222,0.0495,0.0234,0.0635,0.0619,0.0618,0.0594,0.0578,0.0578,0.0561,0.0269,0,0.95
c-66b,49990,274498,0.0223,0.0497,0.0234,0.0635,0.0618,0.062,0.0595,0.0578,0.0577,0.0561,0.0271,0,0.95
c-67b,57976,294955,0.024,0.0544,0.025,0.075,0.0742,0.0742,0.0726,0.0725,0.07,0.0701,0.0255,0,0.96
c-68,64811,315408,0.0293,0.0634,0.0299,0.0832,0.0807,0.0799,0.0742,0.0741,0.0701,0.0701,0.0367,0,0.98
c-69,67459,345714,0.0299,0.0666,0.0307,0.0849,0.0824,0.0816,0.0774,0.0767,0.0725,0.0726,0.0363,0,0.97
c-70,68925,363955,0.0309,0.0683,0.0315,0.0864,0.084,0.0833,0.0783,0.0783,0.0758,0.0758,0.0378,0,0.98
c-71,76639,468096,0.0363,0.0806,0.0372,0.0971,0.0948,0.0947,0.0882,0.0881,0.0849,0.0848,0.0509,0,0.98
c-73,169423,724348,0.1748,0.2465,0.1759,0.3274,0.3223,0.3196,0.3166,0.3119,0.3114,0.3106,0.0767,0,0.99
c-73b,169423,724348,0.1754,0.2464,0.1764,0.3279,0.3223,0.3196,0.3169,0.3114,0.3111,0.3107,0.0769,0,0.99
ca-AstroPh,18773,198110,0.0195,0.0232,0.0202,0.0275,0.0235,0.0234,0.0234,0.0234,0.0233,0.0234,0.0274,0,0.97
ca-CondMat,23134,93497,0.0146,0.02,0.0152,0.0225,0.0201,0.0201,0.0201,0.0201,0.0201,0.0202,0.0141,0,0.96
cage14,1505786,27130349,2.7813,3.2486,2.7824,5.9231,4.6421,3.4373,3.2454,3.2453,3.2451,3.2444,3.0888,0,1.0
cage15,5154860,99199551,11.6092,13.1707,11.6092,21.9104,17.7548,13.8262,13.1799,13.1731,13.1723,13.1818,11.45,0,1.0
ca-HepPh,12009,118521,0.012,0.015,0.0128,0.0168,0.0152,0.0151,0.0152,0.0153,0.0152,0.0151,0.0165,0,0.94
caidaRouterLevel,192245,609066,0.1563,0.2382,0.1575,0.3883,0.2633,0.2465,0.2437,0.24,0.241,0.2413,0.0989,0,0.99
cant,62452,2034917,0.0405,0.1396,0.0414,0.0799,0.0958,0.1146,0.1269,0.1275,0.1306,0.1471,0.1045,0,0.98
case39,40217,526139,0.0159,0.0453,0.0169,0.0389,0.0415,0.0431,0.0447,0.0463,0.0472,0.0479,0.0235,0,0.94
case9,14455,75801,0.0066,0.0135,0.008,0.0168,0.0169,0.0177,0.0176,0.0177,0.0177,0.0176,0.0055,0,0.82
c-big,345242,1343126,0.3762,0.5501,0.3769,0.7187,0.708,0.7151,0.6794,0.6448,0.6298,0.6032,0.155,0,1.0
cbuckle,13682,345098,0.0111,0.0233,0.012,0.0169,0.0197,0.0211,0.0249,0.0266,0.0275,0.029,0.0138,0,0.93
ccc,49153,73728,0.0163,0.0438,0.0172,0.045,0.0447,0.0442,0.0447,0.0447,0.0447,0.0447,0.0129,0,0.95
cfd1,70657,949510,0.0405,0.0871,0.0414,0.1004,0.1356,0.1044,0.0971,0.093,0.0898,0.0889,0.0717,0,0.98
Chebyshev4,68122,5377761,0.1621,0.9041,0.162,0.2166,0.3956,0.4392,0.8764,0.8954,0.9053,0.9051,0.3682,1,1.0
circuit_4,80210,307604,0.0325,0.0789,0.0332,0.1299,0.1381,0.1389,0.1175,0.0865,0.0851,0.084,0.037,0,0.98
circuit5M,5558327,59524291,10.5312,17.3848,10.5436,23.782,26.6771,26.7475,26.762,26.8118,26.7823,26.8011,5.7862,0,1.0
circuit5M_dc,3523318,19194193,4.6739,6.4269,4.6758,10.5269,9.2503,6.6797,6.4747,6.4551,6.4456,6.4368,1.9526,0,1.0
citationCiteseer,268496,1156647,0.2515,0.318,0.252,0.3264,0.3201,0.3206,0.3205,0.3207,0.3207,0.3209,0.1765,0,1.0
cit-Patents,3774769,16518948,4.9257,5.7356,4.9251,6.2626,5.761,5.7395,5.7376,5.7376,5.7373,5.7361,2.4062,1,1.0
ckt11752_dc_1,49703,333029,0.0212,0.0486,0.0226,0.0741,0.0751,0.0668,0.0635,0.0619,0.0612,0.0603,0.0311,0,0.94
ckt11752_tr_0,49703,333029,0.0212,0.0486,0.0226,0.0742,0.075,0.0676,0.0635,0.0618,0.0668,0.066,0.0313,0,0.94
cnr-2000,325558,3216152,0.289,0.4615,0.2895,0.6954,0.7086,0.696,0.6701,0.6527,0.6374,0.6065,0.2067,0,1.0
CO,221120,3943588,0.2681,0.3548,0.2694,0.7675,0.7743,0.771,0.7615,0.7344,0.7048,0.3549,0.3343,0,1.0
coAuthorsCiteseer,227321,814134,0.1851,0.2956,0.1857,0.5546,0.5566,0.4739,0.4013,0.359,0.3368,0.3235,0.0993,0,1.0
coAuthorsDBLP,299068,977676,0.2457,0.393,0.2468,0.7608,0.7469,0.6335,0.537,0.4803,0.4512,0.4289,0.1353,0,1.0
cond-mat-2003,31164,120029,0.0139,0.029,0.0152,0.0439,0.0381,0.0325,0.0307,0.0299,0.0291,0.0292,0.0159,0,0.91
cond-mat-2005,40422,175693,0.0182,0.038,0.0191,0.0587,0.0512,0.0431,0.0397,0.0389,0.0389,0.0381,0.0231,0,0.95
conf5_4-8x8-05,49153,1916928,0.0465,0.1379,0.0471,0.0529,0.0757,0.1225,0.1307,0.1331,0.1381,0.1381,0.0939,0,0.99
conf5_4-8x8-10,49153,1916928,0.0462,0.1379,0.0472,0.0529,0.0758,0.1225,0.1307,0.1332,0.1381,0.1381,0.0936,0,0.98
conf5_4-8x8-15,49153,1916928,0.0463,0.1379,0.0472,0.0537,0.0758,0.1226,0.1307,0.1331,0.1381,0.1381,0.0934,0,0.98
conf5_4-8x8-20,49153,1916928,0.0463,0.1379,0.0471,0.0537,0.0758,0.1225,0.1307,0.1324,0.1381,0.1381,0.0933,0,0.98
conf6_0-8x8-20,49153,1916928,0.0462,0.138,0.0472,0.0528,0.0757,0.1225,0.1307,0.1324,0.138,0.138,0.0932,0,0.98
conf6_0-8x8-30,49153,1916928,0.0463,0.1379,0.0472,0.0536,0.0758,0.1225,0.1307,0.1332,0.1381,0.138,0.0939,0,0.98
conf6_0-8x8-80,49153,1916928,0.0462,0.138,0.0471,0.0529,0.0758,0.1226,0.13,0.1332,0.1381,0.1381,0.0934,0,0.98
consph,83335,3046907,0.0749,0.2261,0.0756,0.1194,0.1346,0.1574,0.1864,0.1868,0.1962,0.2087,0.1301,0,0.99
cont-201,80596,239596,0.0288,0.0716,0.03,0.1054,0.1053,0.0725,0.0718,0.0725,0.0726,0.0717,0.0266,0,0.96
cont-300,180896,539396,0.1453,0.2297,0.146,0.3416,0.3454,0.2293,0.2296,0.2267,0.2273,0.2292,0.0597,0,1.0
coPapersCiteseer,434103,16036720,0.5043,1.1707,0.506,1.0531,1.2124,1.2934,1.3052,1.3065,1.3171,1.3494,0.8465,0,1.0
coPapersDBLP,540487,15245729,0.6202,1.239,0.6216,1.3806,1.5599,1.6276,1.6209,1.5941,1.5787,1.5867,0.9201,0,1.0
copter1,17223,114143,0.0101,0.0208,0.0112,0.0258,0.0324,0.0209,0.021,0.021,0.021,0.0209,0.0089,0,0.9
CoupCons3D,416801,22322336,0.6634,1.4836,0.6643,1.036,1.0377,1.431,1.6424,1.7212,1.7221,1.8612,1.0757,0,1.0
crankseg_1,52805,5333507,0.0894,0.317,0.0897,0.1079,0.1267,0.166,0.1873,0.2192,0.2519,0.2683,0.2835,0,1.0
crankseg_2,63839,7106348,0.1231,0.4238,0.1236,0.145,0.1664,0.2169,0.2464,0.2907,0.3377,0.3608,0.3756,0,1.0
crplat2,18011,489478,0.011,0.0332,0.012,0.0208,0.0234,0.0267,0.0292,0.034,0.0357,0.0364,0.0173,0,0.92
crystk02,13966,491274,0.0117,0.0347,0.0128,0.0193,0.021,0.0234,0.0291,0.0292,0.0299,0.0341,0.02,0,0.91
crystk03,24697,887937,0.0182,0.0609,0.0193,0.0308,0.0348,0.0415,0.0512,0.0512,0.0519,0.0553,0.0358,0,0.94
crystm02,13966,168435,0.0109,0.0199,0.012,0.0242,0.0267,0.0201,0.0202,0.0201,0.0202,0.0201,0.0115,0,0.91
crystm03,24697,304233,0.017,0.0322,0.0176,0.0414,0.0463,0.0324,0.0332,0.0324,0.0332,0.0324,0.0196,0,0.97
ct2010,67579,168176,0.0255,0.0519,0.0266,0.0816,0.0561,0.0528,0.052,0.052,0.0524,0.052,0.0282,0,0.96
ct20stif,52330,1375396,0.0303,0.0961,0.0315,0.0594,0.0717,0.0873,0.0954,0.1021,0.1052,0.1045,0.0686,0,0.96
Cube_Coup_dt0,2164761,64685452,2.3278,4.4766,2.3303,5.0616,5.6625,6.249,7.2194,7.1461,7.0901,4.9525,3.1979,0,1.0
Cube_Coup_dt6,2164761,64685452,2.3284,4.4704,2.33,5.0596,5.671,6.2412,7.2172,7.1489,7.1461,4.9876,3.1468,0,1.0
CurlCurl_0,11084,62213,0.0058,0.0126,0.007,0.0144,0.0176,0.014,0.0136,0.0129,0.0128,0.0127,0.0054,0,0.83
CurlCurl_4,2380516,14448191,2.2678,3.6989,2.2693,5.8068,7.666,3.8264,3.7207,3.7004,3.7003,3.7,1.0928,0,1.0
cvxqp3,17501,69981,0.009,0.0158,0.0095,0.0168,0.0168,0.0161,0.016,0.0168,0.0161,0.0168,0.0095,0,0.95
cyl6,13682,363961,0.0098,0.0216,0.0104,0.0152,0.0168,0.0193,0.0209,0.0234,0.0243,0.0258,0.0112,0,0.94
darcy003,389875,1167685,0.4318,0.6157,0.4325,1.0877,0.908,0.6362,0.617,0.6162,0.6163,0.6157,0.1738,0,1.0
dawson5,51538,531157,0.0255,0.0601,0.0267,0.0692,0.0906,0.0833,0.0774,0.0685,0.0635,0.0626,0.041,0,0.96
dblp-2010,326187,807700,0.2701,0.367,0.2708,0.6811,0.6547,0.5436,0.4496,0.4066,0.3857,0.3751,0.1143,0,1.0
dc3,116836,766396,0.1096,0.244,0.1104,0.3792,0.4173,0.428,0.4274,0.4287,0.4211,0.4171,0.0845,0,0.99
de2010,24116,58028,0.0109,0.0192,0.0119,0.0284,0.0202,0.0193,0.0193,0.0193,0.0193,0.0194,0.0101,0,0.92
debr,1048577,2097149,1.0606,1.6114,1.0626,2.8695,1.6122,1.6117,1.6123,1.6125,1.6116,1.6118,0.3068,0,1.0
delaunay_n15,32769,98274,0.013,0.0273,0.0135,0.0414,0.0456,0.0389,0.0291,0.0267,0.0266,0.0266,0.014,0,0.96
delaunay_n16,65537,196575,0.022,0.052,0.0234,0.0815,0.0889,0.075,0.0562,0.0529,0.052,0.052,0.0268,0,0.94
delaunay_n17,131073,393176,0.1134,0.1502,0.1142,0.2766,0.273,0.209,0.1564,0.1514,0.1483,0.1506,0.0539,0,0.99
delaunay_n18,262145,786396,0.2331,0.3579,0.2335,0.663,0.6996,0.5506,0.3884,0.3617,0.3585,0.3582,0.1095,0,1.0
delaunay_n19,524289,1572823,0.4732,0.7361,0.4741,1.3436,1.4324,1.1816,0.8375,0.752,0.7385,0.7368,0.2206,0,1.0
delaunay_n20,1048577,3145686,0.9459,1.4818,0.9471,2.7046,2.8448,2.3183,1.6679,1.504,1.4808,1.4821,0.4471,0,1.0
delaunay_n21,2097153,6291408,1.8938,3.0015,1.8942,5.4083,5.7427,4.7701,3.4235,3.0562,3.0033,3.0003,0.901,0,1.0
delaunay_n22,4194305,12582869,3.7832,5.949,3.7847,10.7415,11.4303,9.2825,6.7267,6.0421,5.9567,5.95,1.8098,0,1.0
denormal,89401,622812,0.0555,0.0899,0.0564,0.1573,0.165,0.0901,0.0899,0.0902,0.09,0.0903,0.0418,0,0.98
dictionary28,52653,89038,0.0165,0.0282,0.0177,0.0487,0.0373,0.0324,0.0315,0.0308,0.0308,0.0308,0.0159,0,0.93
dielFilterV2clx,607233,12958252,0.7092,1.0553,0.7098,1.8184,2.0898,2.1203,1.9822,1.8044,1.6378,1.4888,1.1118,0,1.0
dielFilterV2real,1157457,24848204,1.3523,2.0208,1.3538,3.5008,3.9929,4.019,3.7296,3.3542,3.0273,2.7234,2.1151,0,1.0
dielFilterV3clx,420409,16653308,0.5831,1.1587,0.5842,1.2048,1.4275,1.5497,1.5811,1.5632,1.5231,1.4755,1.2869,0,1.0
Dubcova1,16130,134569,0.0095,0.02,0.0104,0.0259,0.0291,0.0283,0.0242,0.0243,0.0234,0.0217,0.0126,0,0.91
