dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,rode,ours_gflops
c-49, 21132, 21132, 89087, 0.043520, 923.776458, 0.031309, 1284.071955, 0.023731, 1694.088429
c-50, 22401, 22401, 108013, 0.053043, 934.483616, 0.033690, 1471.314580, 0.025498, 1944.026071
c-51, 23196, 23196, 113123, 0.048122, 1080.196805, 0.034986, 1485.777051, 0.027408, 1896.555693
c-52, 23948, 23948, 113332, 0.050256, 1032.618871, 0.033792, 1535.727227, 0.026192, 1981.341440
c-53, 30235, 30235, 201224, 0.110797, 860.011574, 0.048845, 1950.801911, 0.036150, 2635.836146
c-54, 31793, 31793, 211743, 0.061747, 1623.934513, 0.053248, 1883.139418, 0.036352, 2758.401436
c-55, 32780, 32780, 218115, 0.087450, 1181.059742, 0.057232, 1804.640809, 0.044339, 2329.387946
c-56, 35910, 35910, 208405, 0.058368, 1670.614109, 0.052531, 1856.237794, 0.036762, 2652.506980
c-57, 37833, 37833, 221515, 0.273510, 379.255885, 0.054579, 1900.548838, 0.039526, 2624.332904
c-58, 37595, 37595, 295076, 0.126669, 1116.727980, 0.078950, 1791.689384, 0.052224, 2708.612833
c-59, 41282, 41282, 260909, 0.094822, 1297.343401, 0.065952, 1865.253844, 0.048826, 2519.522835
c-60, 43640, 43640, 171109, 0.066237, 1153.980386, 0.050074, 1526.472398, 0.034698, 2202.917935
c-61, 43618, 43618, 176817, 0.077210, 1027.904538, 0.050790, 1562.580666, 0.037546, 2113.805476
c-62, 41731, 41731, 300537, 0.142720, 1003.305858, 0.074957, 1910.324490, 0.051712, 2769.024733
c-62ghs, 41731, 41731, 300537, 0.140253, 1020.955041, 0.075059, 1907.718298, 0.057958, 2470.596279
c-63, 44234, 44234, 239469, 0.093661, 1188.162198, 0.062346, 1784.957138, 0.045875, 2425.803538
c-64, 51035, 51035, 384438, 0.282326, 650.903718, 0.082944, 2215.558648, 0.064000, 2871.364064
c-64b, 51035, 51035, 384438, 0.278010, 661.010600, 0.083046, 2212.826743, 0.062874, 2922.805286
c-65, 48066, 48066, 204297, 0.091261, 1011.334168, 0.056397, 1636.531994, 0.042310, 2181.382605
c-66, 49989, 49989, 274498, 0.133910, 953.964641, 0.069837, 1829.204512, 0.049536, 2578.847613
c-66b, 49989, 49989, 274498, 0.135370, 943.681543, 0.069008, 1851.173696, 0.049459, 2582.851910
c-67b, 57975, 57975, 294955, 0.099085, 1374.331475, 0.070861, 1921.730568, 0.048029, 2835.285502
c-68, 64810, 64810, 315408, 0.098797, 1466.621712, 0.083558, 1734.087041, 0.056934, 2544.991078
c-69, 67458, 67458, 345714, 0.130240, 1226.476665, 0.089901, 1776.806483, 0.062566, 2553.068757
c-70, 68924, 68924, 363955, 0.134330, 1255.869217, 0.095437, 1767.666318, 0.067856, 2486.153198
c-71, 76638, 76638, 468096, 0.210432, 1045.686107, 0.133325, 1650.449285, 0.086630, 2540.053249
c-73, 169422, 169422, 724348, 1.170262, 279.846755, 0.451674, 725.068151, 0.295834, 1107.021418
c-73b, 169422, 169422, 724348, 1.170125, 279.879667, 0.450845, 726.401048, 0.296243, 1105.490874
ca-AstroPh, 18772, 18772, 198110, 0.051946, 1952.368523, 0.063795, 1589.727053, 0.052739, 1922.990001
ca-CondMat, 23133, 23133, 93497, 0.028867, 1657.785167, 0.038707, 1236.349216, 0.025293, 1892.064861
cage14, 1505785, 1505785, 27130349, 7.293645, 952.249474, 5.818061, 1193.760210, 3.950154, 1758.252922
cage15, 5154859, 5154859, 99199551, 33.668167, 754.275841, 24.498585, 1036.593931, 18.079060, 1404.668533
ca-HepPh, 12008, 12008, 118521, 0.028058, 2162.500072, 0.041267, 1470.285313, 0.031642, 1917.556662
caidaRouterLevel, 192244, 192244, 609066, 0.285696, 1091.516107, 0.448707, 694.978357, 0.274227, 1137.165837
cant, 62451, 62451, 2034917, 0.385843, 2658.826263, 0.354714, 2892.164350, 0.288256, 3558.954689
case39, 40216, 40216, 526139, 0.433555, 615.360966, 0.103936, 2566.896437, 0.091107, 2928.341068
case9, 14454, 14454, 75801, 0.144282, 262.547903, 0.026947, 1405.742770, 0.023722, 1596.891975
c-big, 345241, 345241, 1343126, 1.077350, 556.271016, 1.005568, 595.980381, 0.706253, 848.561315
cbuckle, 13681, 13681, 345098, 0.059587, 2906.460521, 0.064307, 2693.132924, 0.048538, 3568.117086
ccc, 49152, 49152, 73728, 0.029286, 1288.951072, 0.044202, 854.012876, 0.020685, 1824.950535
cfd1, 70656, 70656, 949510, 0.144589, 3237.188290, 0.183085, 2556.526754, 0.141898, 3298.584336
Chebyshev4, 68121, 68121, 5377761, 1.837875, 749.075255, 0.642150, 2143.900886, 0.459552, 2995.758500
circuit_4, 80209, 80209, 307604, 0.212051, 371.356652, 0.096973, 812.048580, 0.084032, 937.102828
circuit5M, 5558326, 5558326, 59524291, 59.193245, 257.431721, 22.577049, 674.942873, 19.317642, 788.823932
circuit5M_dc, 3523317, 3523317, 19194193, 10.369811, 473.847912, 9.475261, 518.583440, 7.029443, 699.018849
citationCiteseer, 268495, 268495, 1156647, 0.514970, 1149.977161, 0.782227, 757.073236, 0.488102, 1213.276718
cit-Patents, 3774768, 3774768, 16518948, 10.142924, 416.926172, 11.296013, 374.366667, 7.830119, 540.074924
ckt11752_dc_1, 49702, 49702, 333029, 0.094710, 900.169633, 0.051280, 1662.547340, 0.039562, 2155.004476
ckt11752_tr_0, 49702, 49702, 333029, 0.093389, 912.908425, 0.051411, 1658.304508, 0.039424, 2162.526018
cnr-2000, 325557, 325557, 3216152, 0.534733, 1539.712700, 0.623309, 1320.910133, 0.544154, 1513.056092
CO, 221119, 221119, 3943588, 0.785997, 2496.842921, 0.886272, 2214.343559, 1.016115, 1931.385943
coAuthorsCiteseer, 227320, 227320, 814134, 0.379664, 1097.909248, 0.532461, 782.849404, 0.348877, 1194.795974
coAuthorsDBLP, 299067, 299067, 977676, 0.547840, 913.715849, 0.709206, 705.817261, 0.492237, 1016.929468
