dataSet,rows_,columns_,nonzeros_,Sputnik_time,sputnik_gflops,ours_time,ours_gflops
dielFilterV2real, 1157456, 1157456, 24848204, 4756.838379, 2.612233, 3.822720,3250.557681
dielFilterV3clx, 420408, 420408, 16653308, 630.601807, 13.350531, 2.377184,3541.530463
Dubcova1, 16129, 16129, 134569, 1.025843, 63.138598, 0.021402,3026.423369
Dubcova3, 146689, 146689, 1891669, 78.008217, 11.934412, 0.271651,3427.123297
e40r0100, 17281, 17281, 553562, 1.199923, 118.100782, 0.035430,3999.725593
EAT_RS, 23219, 23219, 325592, 2.108006, 39.540463, 0.038278,2177.508727
ecology1, 1000000, 1000000, 2998000, 3545.008545, 0.360782, 0.619622,2064.121562
ecology2, 999999, 999999, 2997995, 3543.740723, 0.360911, 0.619818,2063.467890
email-Enron, 36692, 36692, 183831, 5.228749, 18.000764, 0.039219,2399.882469
Emilia_923, 923136, 923136, 20964171, 3024.013184, 3.471325, 2.058135,5100.411532
engine, 143571, 143571, 2424822, 74.269386, 16.221417, 0.271642,4435.089251
enron, 69244, 69244, 276143, 18.516253, 3.817868, 0.033587,2104.748510
eu-2005, 862664, 862664, 19235140, 2638.839355, 1.866046, 1.308877,3762.153809
ex11, 16614, 16614, 1096948, 1.149645, 244.265619, 0.050790,5528.971849
ex19, 12005, 12005, 259879, 0.576819, 115.337746, 0.018739,3550.259631
F1, 343791, 343791, 13590452, 422.224792, 16.271666, 1.940880,3539.786532
F2, 71505, 71505, 2682895, 20.068419, 67.535812, 0.320102,4234.073023
Fault_639, 638802, 638802, 14626683, 1449.750000, 5.052822, 1.391312,5265.050716
fcondp2, 201822, 201822, 5748069, 146.209274, 19.775386, 0.444416,6505.942419
fem_hifreq_circuit, 491100, 491100, 20239237, 857.367554, 6.043201, 1.690611,3064.716752
filter3D, 106437, 106437, 1406808, 42.503883, 16.305282, 0.232336,2982.911964
finance256, 37376, 37376, 167936, 5.420851, 14.096490, 0.029072,2628.473435
Flan_1565, 1564794, 1564794, 59485419, 8683.170898, 3.461402, 5.575066,5391.137854
flickr, 820878, 820878, 9837214, 2390.865479, 1.053312, 1.815552,1387.086052
foldoc, 13356, 13356, 120238, 0.702461, 43.818712, 0.013309,2312.825326
Freescale1, 3428755, 3428755, 18920347, 0.000138, 35200645.577202, 6.213530,779.526156
fullb, 199187, 199187, 5953632, 142.307434, 21.061919, 0.534938,5603.022855
FullChip, 2987012, 2987012, 26621990, 0.000198, 34350955.303365, 6.366208,1070.532028
fxm4_6, 18892, 18892, 258368, 1.419571, 89.779268, 0.029184,4367.052826
G2_circuit, 150102, 150102, 438388, 81.918259, 2.270904, 0.080064,2323.498039
G3_circuit, 1585478, 1585478, 4623152, 8908.625000, 0.220143, 1.433565,1368.038273
Ga10As10H30, 113081, 113081, 3114357, 46.975994, 33.327704, 0.556032,2815.669019
Ga19As19H42, 133123, 133123, 4508981, 64.149467, 35.456549, 0.805888,2822.375846
Ga3As3H12, 61349, 61349, 3016148, 14.765175, 103.524845, 0.635392,2405.699845
Ga41As41H72, 268096, 268096, 9378286, 256.998596, 18.416636, 1.677722,2821.117561
GaAsH6, 61349, 61349, 1721579, 14.718695, 58.819284, 0.333824,2593.411881
gas_sensor, 66917, 66917, 885141, 17.401684, 25.058578, 0.112230,3885.412994
Ge87H76, 112985, 112985, 4002590, 46.896538, 43.082114, 0.687510,2938.721995
Ge99H100, 112985, 112985, 4282190, 47.668335, 45.387722, 0.727347,2974.586511
gearbox, 153746, 153746, 4617075, 85.582664, 27.161849, 0.419226,5544.946297
Geo_1438, 1437960, 1437960, 32297325, 7333.274902, 2.204760, 3.139699,5149.573812
gridgena, 48962, 48962, 280523, 9.294643, 14.104199, 0.029894,4385.219491
