dataSet,num_nodes,num_edges,flash
hugetric-00000,5824555,8733523,1.2731
human_gene1,22284,12345963,0.5685
human_gene2,14341,9041364,0.3939
HV15R,2017170,283073458,9.6258
ibm_matrix_2,51449,1056610,0.0463
igbt3,10939,234006,0.0145
in-2004,1382909,16917053,1.124
inlet,11731,328323,0.0196
inline_1,503713,18660027,0.7823
ins2,309413,1530448,0.2291
italy_osm,6686494,7013978,1.1331
jan99jac120sc,41375,260202,0.0216
juba40k,40338,144945,0.0153
k3plates,11108,378927,0.0229
kim1,38416,933195,0.0401
kkt_power,2063495,8130343,0.7916
kron_g500-logn16,65537,2456398,0.1608
kron_g500-logn17,131073,5114375,0.3336
kron_g500-logn18,262145,10583222,0.7048
kron_g500-logn19,524289,21781478,1.4518
kron_g500-logn20,1048577,44620272,2.9911
laminar_duct3D,67174,3833077,0.1389
language,399131,1216334,0.2268
largebasis,440021,5560100,0.2377
ldoor,952204,23737339,0.8307
lhr34,35153,764014,0.0359
lhr34c,35153,764014,0.0362
lhr71,70305,1528092,0.0638
lhr71c,70305,1528092,0.0639
li,22696,1350309,0.0551
ljournal-2008,5363261,79023142,6.5581
Long_Coup_dt0,1470153,44279572,1.6579
Long_Coup_dt6,1470153,44279572,1.6585
lowThrust_10,18261,116074,0.0134
lowThrust_11,18369,117002,0.0138
lowThrust_12,18459,117423,0.0138
lowThrust_13,18477,117580,0.0134
lowThrust_4,13563,84240,0.0118
lowThrust_5,16263,103701,0.0134
lowThrust_6,16929,108376,0.0131
lowThrust_7,17379,110607,0.0131
lowThrust_8,17703,113139,0.014
lowThrust_9,18045,114806,0.0133
lp1,534389,1088904,0.109
luxembourg_osm,114600,119666,0.016
m14b,214766,1679018,0.0986
mario001,38435,114643,0.012
mario002,389875,1167685,0.0731
mark3jac040sc,18290,113435,0.0117
mark3jac060sc,27450,170695,0.0148
me2010,69519,167738,0.0193
memplus,17759,126150,0.0167
mip1,66464,5209641,0.1797
ML_Laplace,377003,27689972,0.9528
mouse_gene,45102,14506196,0.7889
msc10848,10849,620313,0.0332
msc23052,23053,588933,0.0324
msdoor,415864,10328399,0.4013
m_t1,97579,4925574,0.178
mult_dcop_01,25188,193276,0.0221
mult_dcop_02,25188,193276,0.0216
mult_dcop_03,25188,193216,0.0215
NACA0015,1039184,3114818,0.348
nasasrb,54871,1366097,0.0575
nd12k,36001,7128473,0.2416
nd24k,72001,14393817,0.483
nd6k,18001,3457658,0.1229
net100,29921,1031560,0.0556
net125,36721,1306960,0.0692
net150,43521,1582360,0.0776
net4-1,88344,1265035,0.0932
net50,16321,480760,0.0358
net75,23121,756160,0.0462
netherlands_osm,2216689,2441238,0.3881
nh2010,48838,117275,0.0136
NLR,4163764,12487976,2.3796
NotreDame_www,325730,929849,0.0654
nv2010,84539,208499,0.0226
ohne2,181344,11063545,0.4661
oilpan,73753,1835470,0.0705
olafu,16147,515651,0.0286
onetone2,36058,227628,0.0175
OPF_10000,43888,255799,0.0199
opt1,15450,973052,0.0436
p2p-Gnutella31,62587,147892,0.015
parabolic_fem,525826,2100225,0.1479
patents,3774769,14970767,2.6331
pattern1,19243,4671337,0.27
pcrystk02,13966,491274,0.0251
pcrystk03,24697,887937,0.0384
pct20stif,52330,1375396,0.0591
pdb1HYS,36418,2190591,0.0825
pds10,16559,83108,0.0111
PFlow_742,742794,18940627,0.6737
pkustk01,22045,500712,0.0287
pkustk02,10801,410400,0.0253
pkustk03,63337,1596876,0.0668
pkustk04,55591,2137125,0.0906
pkustk05,37165,1121154,0.0501
pkustk06,43165,1307466,0.0569
pkustk07,16861,1217832,0.0557
pkustk08,22210,1624440,0.0695
pkustk09,33961,808800,0.0393
pkustk10,80677,2194830,0.0867
pkustk11,87805,2652858,0.1053
pkustk12,94654,3803485,0.1544
pkustk13,94894,3355860,0.1362
pkustk14,151927,7494215,0.2983
pli,22696,686502,0.0317
PR02R,161071,8185136,0.2966
Pres_Poisson,14823,365313,0.0232
pwtk,217919,5926171,0.2156
qa8fk,66128,863353,0.0403
qa8fm,66128,863353,0.0403
raefsky3,21201,1488768,0.0574
raefsky4,19780,674195,0.0308
rajat15,37262,443573,0.0312
rajat22,39900,197264,0.0269
rajat26,51033,249302,0.0329
rajat29,643995,4866270,0.5518
rajat30,643995,6175377,0.5913
ramage02,16831,1441591,0.0603
Reuters911,13333,148038,0.0163
rgg_n_2_15_s0,32769,160240,0.0153
rgg_n_2_22_s0,4194305,30359198,1.992
ri2010,25182,62875,0.0091
rim,22561,1014951,0.047
RM07R,381690,37464962,1.334
rma10,46836,2374001,0.0892
roadNet-CA,1971282,2766607,0.4384
roadNet-PA,1090921,1541898,0.2445
roadNet-TX,1393384,1921660,0.3064
s3dkq4m2,90450,2455670,0.089
s3dkt3m2,90450,1921955,0.0707
s4dkt3m2,90450,1921955,0.0708
Serena,1391350,32961525,1.3539
shermanACb,18511,145149,0.0169
ship_001,34921,2339575,0.0871
ship_003,121729,4103881,0.1449
shipsec1,140875,3977139,0.1513
shipsec5,179861,5146478,0.1874
shipsec8,114920,3384159,0.1257
Si10H16,17078,446500,0.0288
Si34H36,97570,2626974,0.1245
Si41Ge41H72,185640,7598452,0.3433
Si5H12,19897,379247,0.0257
Si87H76,240370,5451000,0.2788
sinc15,11533,568526,0.0403
SiO,33402,675528,0.041
SiO2,155332,5719417,0.2516
skirt,12599,104559,0.0109
smallworld,100001,499998,0.0301
sme3Dc,42931,3148656,0.1882
smt,25711,1889447,0.0754
soc-LiveJournal1,4847572,68993773,7.636
soc-sign-Slashdot090221,82145,549202,0.0559
sparsine,50001,799494,0.0505
srb1,54925,1508538,0.0592
Stanford,281904,2312497,0.1809
std1_Jac2,21983,1248731,0.0531
std1_Jac3,21983,1455848,0.0589
stokes128,49667,295938,0.0196
stokes64,12547,74242,0.0095
struct3,53571,613632,0.028
t2dah,11446,93781,0.0088
t2dah_a,11446,93781,0.009
t2dah_e,11446,93781,0.0089
t3dh,79172,2215638,0.0862
t3dh_a,79172,2215638,0.0947
t3dh_e,79172,2215638,0.0944
t3dl,20361,265113,0.0177
t3dl_a,20361,265113,0.0181
tandem_vtx,18455,135902,0.0117
ted_A,10606,424587,0.0238
ted_AB,10606,522387,0.0266
ted_AB_unscaled,10606,522387,0.0273
ted_A_unscaled,10606,424587,0.0238
ted_B_unscaled,10606,77592,0.0115
thread,29737,2249892,0.0869
tmt_sym,726714,2903837,0.1966
torso1,116159,8516500,0.3046
transient,178867,961790,0.1144
trdheim,22099,978711,0.0418
Trefethen_20000,20001,287233,0.0196
Trefethen_20000b,20000,287217,0.0199
troll,213454,6099282,0.2363
TSOPF_FS_b162_c1,10799,305732,0.0199
TSOPF_FS_b162_c3,30799,904612,0.0403
TSOPF_FS_b162_c4,40799,1204322,0.0505
TSOPF_FS_b300,29215,2203949,0.0806
TSOPF_FS_b300_c1,29215,2203949,0.0809
TSOPF_FS_b300_c2,56815,4391071,0.1493
TSOPF_FS_b300_c3,84415,6578753,0.2163
TSOPF_FS_b39_c19,76217,998359,0.0464
TSOPF_FS_b39_c30,120217,1575639,0.068
TSOPF_FS_b39_c7,28217,368599,0.0232
TSOPF_FS_b9_c6,14455,75801,0.0106
TSOPF_RS_b162_c3,15375,610299,0.0313
TSOPF_RS_b162_c4,20375,812749,0.0373
TSOPF_RS_b2052_c1,25627,6761100,0.2338
TSOPF_RS_b2383,38121,16171169,0.5221
TSOPF_RS_b2383_c1,38121,16171169,0.5222
TSOPF_RS_b300_c1,14539,1474325,0.0588
TSOPF_RS_b300_c2,28339,2943887,0.1045
TSOPF_RS_b300_c3,42139,4413449,0.1517
TSOPF_RS_b39_c19,38099,684206,0.0343
TSOPF_RS_b39_c30,60099,1079986,0.0488
TSOPF_RS_b39_c7,14099,252446,0.0185
TSOPF_RS_b678_c1,18697,4396289,0.1536
TSOPF_RS_b678_c2,35697,8781949,0.2973
tsyl201,20686,1237821,0.0527
tube1,21499,459277,0.0241
tube2,21499,459277,0.0241
turon_m,189925,912345,0.0509
usroads,129165,165435,0.0188
usroads-48,126147,161950,0.0186
vanbody,47073,1191985,0.0514
venturiLevel3,4026820,8054237,0.7968
vibrobox,12329,177578,0.0144
viscorocks,37763,1162244,0.0477
vsp_barth5_1Ksep_50in_5Kout,32213,101805,0.0119
vsp_bcsstk30_500sep_10in_1Kout,58349,2016578,0.1351
vsp_befref_fxm_2_4_air02,14110,98224,0.0112
vsp_bump2_e18_aa01_model1_crew1,56439,300801,0.0229
vsp_c-30_data_data,11024,62184,0.0137
vsp_c-60_data_cti_cs4,85831,241080,0.0384
vsp_finan512_scagr7-2c_rlfddd,139753,552020,0.0521
vsp_mod2_pgp2_slptsk,101365,389368,0.0577
vsp_model1_crew1_cr42_south31,45102,189976,0.0183
vsp_msc10848_300sep_100in_1Kout,21997,1221028,0.0815
vsp_p0291_seymourl_iiasa,10499,53868,0.0115
vsp_sctap1-2b_and_seymourl,40175,140831,0.0296
vsp_south31_slptsk,39669,189914,0.0187
vsp_vibrobox_scagr7-2c_rlfddd,77329,435586,0.0348
vt2010,32581,77799,0.0106
wathen100,30402,251001,0.0167
wathen120,36442,301101,0.0197
web-Google,916429,5105039,0.6392
web-NotreDame,325730,1497134,0.1238
wikipedia-20051105,1634990,19753078,1.7519
wikipedia-20060925,2983495,37269096,3.5702
wikipedia-20061104,3148441,39383235,3.8188
wikipedia-20070206,3566908,45030389,4.4486
wiki-Talk,2394386,5021410,0.9547
windscreen,22693,752541,0.0305
wing_nodal,10938,75488,0.0084
wy2010,86205,213793,0.0201
x104,108385,5138004,0.1855
Zd_Jac2,22836,1642833,0.0717
Zd_Jac3,22836,1916152,0.0816
Zd_Jac6,22836,1711983,0.0746
