dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,density,speedup
barrier2-9,115626,3897557,0.3835,0.433,0.3849,0.4813,0.5046,0.4374,0.4388,0.4358,0.4349,0.4346,0,1.0
bauru5727,40367,145019,0.0214,0.0242,0.0236,0.0328,0.0302,0.0261,0.0253,0.0253,0.0252,0.0253,0,0.91
bbmat,38745,1771722,0.0704,0.1708,0.072,0.0761,0.0736,0.0754,0.0868,0.0926,0.1646,0.1729,0,0.98
bcsstk17,10975,219812,0.0128,0.0216,0.0148,0.0147,0.0155,0.0171,0.018,0.0172,0.0197,0.022,0,0.87
bcsstk18,11949,80519,0.0108,0.0135,0.0122,0.0139,0.0138,0.0131,0.0132,0.0131,0.0131,0.0132,0,0.89
bcsstk25,15440,133840,0.0122,0.0175,0.014,0.0171,0.018,0.0171,0.0172,0.018,0.018,0.018,0,0.87
bcsstk29,13993,316740,0.0159,0.0297,0.0171,0.0172,0.0187,0.0188,0.0196,0.022,0.0238,0.0278,0,0.93
bcsstk30,28925,1036208,0.0375,0.1026,0.0392,0.0401,0.0425,0.0491,0.0549,0.0679,0.0763,0.0859,0,0.96
bcsstk31,35589,608502,0.0308,0.061,0.0326,0.0368,0.0421,0.0467,0.0499,0.0524,0.0549,0.0582,0,0.94
bcsstk32,44610,1029655,0.0395,0.0946,0.0417,0.0442,0.0492,0.054,0.0597,0.0654,0.0729,0.0779,0,0.95
bcsstk35,30238,740200,0.0281,0.0675,0.0296,0.0318,0.0335,0.0369,0.0385,0.0459,0.0491,0.0557,0,0.95
bcsstk36,23053,583096,0.0226,0.0535,0.0246,0.0254,0.027,0.0294,0.0318,0.0336,0.0376,0.0409,0,0.92
bcsstk37,25504,583240,0.0223,0.0544,0.0245,0.0255,0.0279,0.0286,0.0321,0.0352,0.0384,0.0425,0,0.91
bcsstk39,46773,1068033,0.0435,0.0995,0.0458,0.0491,0.054,0.0671,0.0745,0.0909,0.0941,0.0958,0,0.95
bcsstm36,23053,166389,0.0146,0.0192,0.0164,0.018,0.0195,0.018,0.018,0.0197,0.0196,0.0197,0,0.89
belgium_osm,1441296,1549970,1.4587,2.3195,1.6063,2.5134,2.3214,2.3205,2.3206,2.32,2.3205,2.3197,0,0.91
BenElechi1,245875,6698185,0.3286,0.5621,0.3287,0.4888,0.4895,0.7152,0.7158,0.8106,0.8103,0.8537,0,1.0
blockqp1,60013,340022,0.0353,0.0445,0.0367,0.0565,0.0491,0.0491,0.0491,0.0491,0.0491,0.0491,0,0.96
bloweya,30005,80005,0.016,0.0183,0.0171,0.0228,0.0245,0.0196,0.0197,0.0195,0.0196,0.0196,0,0.94
bloweybl,30004,70001,0.0145,0.0191,0.0171,0.0226,0.0229,0.0196,0.0196,0.0197,0.0197,0.0196,0,0.85
bmw3_2,227363,5757996,0.3165,0.5868,0.3227,0.4108,0.5614,0.65,0.6907,0.6871,0.6778,0.6699,0,0.98
bmw7st_1,141348,3740507,0.199,0.3722,0.2017,0.233,0.3114,0.3648,0.404,0.4138,0.4227,0.4177,0,0.99
bmwcra_1,148771,5396386,0.2457,0.556,0.2474,0.3085,0.3936,0.4642,0.4947,0.515,0.5574,0.5702,0,0.99
bone010,986704,36326514,1.4954,3.8028,1.5236,2.0796,2.8006,3.0526,3.4866,3.4252,3.5897,3.8058,0,0.98
boneS01,127225,3421188,0.1794,0.3266,0.1812,0.2312,0.3137,0.3633,0.3994,0.402,0.3772,0.362,0,0.99
boneS10,914899,28191660,1.3235,2.7738,1.3289,1.9177,2.5269,2.8132,3.1033,3.029,3.0046,3.0309,0,1.0
boyd1,93280,652246,0.1175,0.2077,0.1226,0.1577,0.1695,0.1776,0.1933,0.2038,0.2085,0.2076,0,0.96
boyd2,466317,890091,0.5529,0.8835,0.6303,1.0878,1.0821,1.0816,1.0827,1.0818,1.0821,1.082,0,0.88
brack2,62632,366559,0.0372,0.0445,0.0392,0.0532,0.0571,0.0555,0.0515,0.0473,0.0461,0.0457,0,0.95
brainpc2,27608,96601,0.0119,0.0158,0.013,0.0202,0.0203,0.0203,0.0204,0.0203,0.0204,0.0204,0,0.92
bratu3d,27793,88627,0.0132,0.0134,0.0146,0.0154,0.0154,0.0139,0.0138,0.0137,0.0138,0.0138,0,0.96
Bump_2911,2911420,65320659,3.8707,6.0851,3.935,5.7581,7.9243,9.2882,9.5183,9.3822,6.6871,6.5239,0,0.98
bundle1,10582,390741,0.0129,0.024,0.0147,0.0154,0.0163,0.017,0.0171,0.0171,0.017,0.0161,0,0.88
bundle_adj,513352,10360701,0.6407,0.9502,0.6631,1.0586,1.2954,1.4435,1.4537,1.4661,1.4726,1.4761,0,0.97
c-42,10472,60378,0.0108,0.0101,0.0122,0.0097,0.0098,0.0097,0.0089,0.009,0.0089,0.009,5,1.13
c-43,11126,67400,0.0094,0.0093,0.0114,0.0105,0.0098,0.0097,0.0098,0.0097,0.0097,0.0098,9,0.96
