dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,rode,ours_gflops
SiO, 33401, 33401, 675528, 0.083149, 2079.827553, 0.438989, 393.939835, 0.075059, 2303.983649
SiO2, 155331, 155331, 5719417, 0.442778, 3306.786067, 0.876032, 1671.366800, 0.439194, 3333.770825
skirt, 12598, 12598, 104559, 0.054374, 492.273986, 0.407654, 65.661269, 0.028365, 943.673238
smallworld, 100000, 100000, 499998, 0.146944, 871.076665, 0.562586, 227.520025, 0.135578, 944.105018
sme3Dc, 42930, 42930, 3148656, 0.370176, 2177.493744, 0.535142, 1506.245633, 0.369357, 2182.323265
smt, 25710, 25710, 1889447, 0.237158, 2039.558559, 0.351539, 1375.944484, 0.116122, 4165.447457
soc-LiveJournal1, 4847571, 4847571, 68993773, 29.950464, 589.720612, 25.213032, 700.526878, 22.208307, 795.306278
soc-sign-Slashdot090221, 82144, 82144, 549202, 0.111616, 1259.637575, 0.469299, 299.586502, 0.086323, 1628.712899
sparsine, 50000, 50000, 799494, 0.126464, 1618.408941, 0.407757, 501.942485, 0.114381, 1789.377786
srb1, 54924, 54924, 1508538, 0.194150, 1989.106011, 0.283648, 1361.496437, 0.097792, 3949.052373
Stanford, 281903, 281903, 2312497, 1.620787, 365.254129, 0.984678, 601.210765, 0.515072, 1149.352359
std1_Jac2, 21982, 21982, 1248731, 0.134451, 2377.629500, 0.324301, 985.736532, 0.108134, 2956.276019
std1_Jac3, 21982, 21982, 1455848, 0.146022, 2552.328134, 0.331366, 1124.728073, 0.120422, 3094.914991
stokes128, 49666, 49666, 295938, 0.062362, 1214.852255, 0.430490, 175.985971, 0.043315, 1749.042593
stokes64, 12546, 12546, 74242, 0.050893, 373.450704, 0.411955, 46.135967, 0.026726, 711.130246
struct3, 53570, 53570, 613632, 0.097280, 1614.821025, 0.438477, 358.262493, 0.057242, 2744.329123
t2dah, 11445, 11445, 93781, 0.052019, 461.520645, 0.422912, 56.768163, 0.030208, 794.754223
t2dah_a, 11445, 11445, 93781, 0.057549, 417.175288, 0.449843, 53.369563, 0.031744, 756.298380
t2dah_e, 11445, 11445, 93781, 0.055501, 432.569193, 0.428749, 55.995343, 0.029389, 816.907658
t3dh, 79171, 79171, 2215638, 0.295731, 1917.969113, 0.381747, 1485.808752, 0.212480, 2669.443415
t3dh_a, 79171, 79171, 2215638, 0.297472, 1906.745266, 0.378880, 1497.052702, 0.214835, 2640.178855
t3dh_e, 79171, 79171, 2215638, 0.282726, 2006.191547, 0.376730, 1505.597958, 0.210125, 2699.364002
t3dl, 20360, 20360, 265113, 0.054170, 1252.896948, 0.415744, 163.246914, 0.043520, 1559.488215
t3dl_a, 20360, 20360, 265113, 0.054374, 1248.177903, 0.413389, 164.176997, 0.042394, 1600.923878
tandem_vtx, 18454, 18454, 135902, 0.047616, 730.655930, 0.412467, 84.348313, 0.033075, 1051.873112
ted_A, 10605, 10605, 424587, 0.052122, 2085.397938, 0.432128, 251.532583, 0.049664, 2188.592798
ted_AB, 10605, 10605, 522387, 0.058470, 2287.158565, 0.436941, 306.062213, 0.051405, 2601.528984
ted_AB_unscaled, 10605, 10605, 522387, 0.064614, 2069.679168, 0.447283, 298.985220, 0.052531, 2545.745583
ted_A_unscaled, 10605, 10605, 424587, 0.056627, 1919.470998, 0.439501, 247.313019, 0.051507, 2110.273409
ted_B_unscaled, 10605, 10605, 77592, 0.052326, 379.608617, 0.415846, 47.766560, 0.032256, 615.809500
thread, 29736, 29736, 2249892, 0.266035, 2165.023101, 0.387686, 1485.665627, 0.124314, 4633.220578
tmt_sym, 726713, 726713, 2903837, 1.505792, 493.681896, 1.458176, 509.802830, 0.911258, 815.776253
torso1, 116158, 116158, 8516500, 0.449843, 4846.630832, 1.357619, 1605.917194, 0.785715, 2774.827322
transient, 178866, 178866, 961790, 2.084454, 118.121196, 0.726426, 338.944883, 0.303206, 812.048305
trdheim, 22098, 22098, 978711, 0.135168, 1853.619263, 0.357990, 699.879132, 0.072806, 3441.318563
Trefethen_20000, 20000, 20000, 287233, 0.057549, 1277.726932, 0.407450, 180.468092, 0.048845, 1505.414065
Trefethen_20000b, 19999, 19999, 287217, 0.060006, 1225.328540, 0.422093, 174.197590, 0.049459, 1486.630402
troll, 213453, 213453, 6099282, 0.771584, 2023.650335, 0.732160, 2132.616095, 0.599962, 2602.526818
TSOPF_FS_b162_c1, 10798, 10798, 305732, 0.037888, 2065.756789, 0.515789, 151.743103, 0.038400, 2038.213316
TSOPF_FS_b162_c3, 30798, 30798, 904612, 0.067174, 3447.454325, 0.642970, 360.173590, 0.065536, 3533.640714
TSOPF_FS_b162_c4, 40798, 40798, 1204322, 0.079462, 3879.903492, 0.664474, 463.985989, 0.080998, 3806.327300
TSOPF_FS_b300, 29214, 29214, 2203949, 0.105370, 5354.589223, 0.527974, 1068.633116, 0.087245, 6466.986301
TSOPF_FS_b300_c1, 29214, 29214, 2203949, 0.105472, 5349.390553, 0.523162, 1078.463981, 0.088166, 6399.387499
TSOPF_FS_b300_c2, 56814, 56814, 4391071, 0.183808, 6115.697610, 0.941568, 1193.874669, 0.155238, 7241.211983
TSOPF_FS_b300_c3, 84414, 84414, 6578753, 0.311603, 5404.825207, 1.333965, 1262.522622, 0.281088, 5991.578440
TSOPF_FS_b39_c19, 76216, 76216, 998359, 0.088371, 2892.117634, 1.161830, 219.980385, 0.087142, 2932.899465
TSOPF_FS_b39_c30, 120216, 120216, 1575639, 0.164557, 2451.211866, 0.368333, 1095.106364, 0.158515, 2544.636580
TSOPF_FS_b39_c7, 28216, 28216, 368599, 0.055194, 1709.642948, 0.736666, 128.092511, 0.100762, 936.481159
TSOPF_FS_b9_c6, 14454, 14454, 75801, 0.048435, 400.639541, 0.582349, 33.322049, 0.027034, 717.812494
TSOPF_RS_b162_c3, 15374, 15374, 610299, 0.045670, 3420.958590, 0.423219, 369.162227, 0.045978, 3398.101232
TSOPF_RS_b162_c4, 20374, 20374, 812749, 0.057754, 3602.610897, 0.345498, 602.214716, 0.057651, 3609.009900
TSOPF_RS_b2052_c1, 25626, 25626, 6761100, 0.197325, 8771.536045, 0.781005, 2216.172778, 0.257946, 6710.102979
TSOPF_RS_b2383, 38120, 38120, 16171169, 0.495923, 8347.702601, 1.961779, 2110.237093, 0.483942, 8554.363391
TSOPF_RS_b2383_c1, 38120, 38120, 16171169, 0.498995, 8296.310649, 1.960038, 2112.111332, 0.495411, 8356.329489
TSOPF_RS_b300_c1, 14538, 14538, 1474325, 0.067584, 5584.564227, 0.296653, 1272.286012, 0.064614, 5841.224492
TSOPF_RS_b300_c2, 28338, 28338, 2943887, 0.105984, 7110.838406, 0.408371, 1845.465727, 0.158515, 4754.339380
TSOPF_RS_b300_c3, 42138, 42138, 4413449, 0.149402, 7562.455189, 0.541389, 2086.934471, 0.150938, 7485.496704
TSOPF_RS_b39_c19, 38098, 38098, 684206, 0.059904, 2923.957402, 0.418611, 418.423442, 0.068301, 2564.490198
TSOPF_RS_b39_c30, 60098, 60098, 1079986, 0.079770, 3465.937123, 0.369766, 747.705617, 0.127693, 2165.168492
TSOPF_RS_b39_c7, 14098, 14098, 252446, 0.036045, 1792.940327, 0.394650, 163.755838, 0.038502, 1678.497292
TSOPF_RS_b678_c1, 18696, 18696, 4396289, 0.134656, 8357.963870, 0.533504, 2109.543629, 0.120013, 9377.749892
TSOPF_RS_b678_c2, 35696, 35696, 8781949, 0.288870, 7782.655807, 1.156608, 1943.769130, 0.249037, 9027.497317
tsyl201, 20685, 20685, 1237821, 0.158208, 2002.946594, 0.296550, 1068.560971, 0.076083, 4164.942735
tube1, 21498, 21498, 459277, 0.079770, 1473.931333, 0.397824, 295.545044, 0.043213, 2720.835231
tube2, 21498, 21498, 459277, 0.078336, 1500.905220, 0.398746, 294.861961, 0.045875, 2562.929652
turon_m, 189924, 189924, 912345, 0.269414, 866.918469, 0.678912, 344.021483, 0.262758, 888.878611
usroads, 129164, 129164, 165435, 0.168550, 251.268232, 0.602317, 70.314093, 0.168858, 250.811100
usroads-48, 126146, 126146, 161950, 0.167424, 247.629970, 0.624230, 66.416504, 0.167014, 248.237283
vanbody, 47072, 47072, 1191985, 0.165376, 1845.178067, 0.272691, 1119.024587, 0.079770, 3825.369090
venturiLevel3, 4026819, 4026819, 8054237, 6.691533, 308.133383, 7.410995, 278.219664, 5.027020, 410.160375
vibrobox, 12328, 12328, 177578, 0.049869, 911.591353, 0.409907, 110.903073, 0.039526, 1150.116581
viscorocks, 37762, 37762, 1162244, 0.103526, 2873.996001, 0.270950, 1098.114179, 0.080486, 3696.704884
vsp_barth5_1Ksep_50in_5Kout, 32212, 32212, 101805, 0.057651, 452.064848, 0.429466, 60.684910, 0.035021, 744.188566
vsp_bcsstk30_500sep_10in_1Kout, 58348, 58348, 2016578, 0.267059, 1933.069351, 0.417587, 1236.254336, 0.258765, 1995.031724
vsp_befref_fxm_2_4_air02, 14109, 14109, 98224, 0.050995, 493.092361, 0.416461, 60.378657, 0.029901, 840.958871
vsp_bump2_e18_aa01_model1_crew1, 56438, 56438, 300801, 0.073626, 1045.900552, 0.429158, 179.432712, 0.053453, 1440.617770
