dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,4,8,14,18,22,30,38,50,density,speedup
barrier2-4,113077,3805068,0.1229,0.7208,0.1281,0.1362,0.1444,0.2428,0.2484,0.2673,0.459,0.6121,0,0.96
barrier2-9,115626,3897557,0.1248,0.7403,0.1305,0.1395,0.1477,0.2469,0.2526,0.2723,0.4705,0.6277,0,0.96
bauru5727,40367,145019,0.0096,0.0301,0.0093,0.0093,0.0101,0.0142,0.0224,0.0257,0.0306,0.0305,4,1.03
bbmat,38745,1771722,0.0249,0.3927,0.0248,0.0273,0.0298,0.0388,0.0412,0.0421,0.0428,0.047,4,1.0
bcsstk17,10975,219812,0.0067,0.0282,0.0068,0.0068,0.0068,0.0117,0.0117,0.0126,0.0141,0.0158,0,0.99
bcsstk18,11949,80519,0.0059,0.0147,0.0059,0.0061,0.0069,0.0093,0.0102,0.011,0.0118,0.0134,0,1.0
bcsstk25,15440,133840,0.0069,0.0173,0.006,0.006,0.0069,0.0094,0.0094,0.0118,0.0127,0.0142,4,1.15
bcsstk29,13993,316740,0.0074,0.039,0.0077,0.0077,0.0077,0.0126,0.0126,0.0142,0.0143,0.0167,0,0.96
bcsstk30,28925,1036208,0.0157,0.2158,0.0158,0.0159,0.0159,0.0191,0.02,0.0224,0.0315,0.0445,0,0.99
bcsstk31,35589,608502,0.0133,0.07,0.0134,0.0134,0.0135,0.0175,0.0208,0.0232,0.029,0.0347,0,0.99
bcsstk32,44610,1029655,0.0169,0.121,0.0167,0.0167,0.0166,0.02,0.0216,0.0249,0.0299,0.0372,14,1.02
bcsstk35,30238,740200,0.0124,0.0926,0.0126,0.0126,0.0126,0.0175,0.0167,0.0183,0.0216,0.0257,0,0.98
bcsstk36,23053,583096,0.0099,0.0665,0.0094,0.0101,0.0102,0.015,0.0158,0.0176,0.0192,0.0215,4,1.05
bcsstk37,25504,583240,0.0105,0.062,0.0101,0.0102,0.0101,0.0159,0.0167,0.0183,0.0199,0.0217,4,1.04
bcsstk39,46773,1068033,0.0179,0.0891,0.0174,0.0183,0.0192,0.0199,0.02,0.02,0.0256,0.0347,4,1.03
bcsstm36,23053,166389,0.0066,0.0238,0.0069,0.0069,0.0069,0.0118,0.0117,0.0126,0.0134,0.0167,0,0.96
belgium_osm,1441296,1549970,0.2318,0.8494,0.2313,0.279,0.8465,0.8491,0.8493,0.8496,0.849,0.8497,4,1.0
BenElechi1,245875,6698185,0.0699,0.5034,0.0723,0.0723,0.074,0.0781,0.0969,0.1272,0.1282,0.1288,0,0.97
blockqp1,60013,340022,0.0374,0.0522,0.0372,0.038,0.0429,0.0446,0.0445,0.0445,0.0446,0.0445,4,1.01
bloweya,30005,80005,0.0194,0.0225,0.0199,0.0199,0.0191,0.0224,0.0224,0.0224,0.0232,0.0232,14,1.02
bloweybl,30004,70001,0.0201,0.0224,0.0199,0.0207,0.0191,0.0225,0.0224,0.0224,0.0233,0.0233,14,1.05
bmw3_2,227363,5757996,0.1158,0.94,0.1182,0.1085,0.1158,0.1314,0.1396,0.1552,0.1617,0.2027,8,1.07
bmw7st_1,141348,3740507,0.082,0.6146,0.083,0.0855,0.0895,0.0806,0.0862,0.0953,0.1159,0.1445,18,1.02
bmwcra_1,148771,5396386,0.0767,1.1069,0.0764,0.079,0.0814,0.0929,0.0985,0.1068,0.1355,0.201,4,1.0
bone010,986704,36326514,0.4589,8.1233,0.484,0.5278,0.6022,0.7151,0.7237,0.751,0.7902,1.1228,0,0.95
boneS01,127225,3421188,0.0453,0.6695,0.0462,0.0494,0.0535,0.0585,0.0623,0.0683,0.0798,0.1002,0,0.98
boneS10,914899,28191660,0.379,5.545,0.3815,0.4273,0.4891,0.5744,0.5921,0.6474,0.7433,0.9509,0,0.99
boyd1,93280,652246,0.0656,0.2265,0.0659,0.0658,0.0651,0.0691,0.0683,0.0685,0.1273,0.1601,14,1.01
boyd2,466317,890091,0.2645,0.2502,0.2746,0.2746,0.2574,0.2607,0.2608,0.2419,0.2508,0.2509,30,1.03
brack2,62632,366559,0.0174,0.0464,0.0174,0.0183,0.0232,0.0257,0.0281,0.0341,0.0399,0.047,0,1.0
brainpc2,27608,96601,0.0063,0.0182,0.007,0.0085,0.0134,0.0143,0.0134,0.0142,0.0167,0.0167,0,0.9
bratu3d,27793,88627,0.0072,0.0137,0.0069,0.0069,0.0117,0.0126,0.0126,0.0134,0.0143,0.0143,4,1.04
Bump_2911,2911420,65320659,1.0134,5.54,1.0768,1.1528,1.3233,1.4199,1.4944,1.9297,2.5886,2.9576,0,0.94
bundle1,10582,390741,0.0077,0.0697,0.0067,0.0077,0.0076,0.0118,0.0126,0.0126,0.0137,0.0175,4,1.15
bundle_adj,513352,10360701,0.1809,1.2402,0.1957,0.2221,0.2458,0.2691,0.2852,0.3463,0.3935,0.4972,0,0.92
c-42,10472,60378,0.0092,0.0164,0.0093,0.0093,0.0086,0.015,0.0151,0.015,0.015,0.015,14,1.07
c-43,11126,67400,0.0068,0.0159,0.0061,0.0061,0.0085,0.0146,0.0143,0.0143,0.0143,0.0151,4,1.11
c-45,13207,93829,0.0052,0.0145,0.006,0.0061,0.0086,0.0118,0.0118,0.0142,0.0134,0.0134,0,0.87
c-46,14914,72655,0.0059,0.0175,0.0061,0.006,0.0085,0.0167,0.0167,0.0167,0.0167,0.0167,0,0.98
c-47,15344,113372,0.0144,0.0314,0.0142,0.0143,0.0126,0.0298,0.029,0.0298,0.0298,0.0314,14,1.14
c-48,18355,92217,0.0136,0.0225,0.0134,0.0134,0.0134,0.0183,0.0183,0.0191,0.0199,0.02,4,1.01
c-49,21133,89087,0.0149,0.0236,0.015,0.015,0.015,0.0208,0.0207,0.0215,0.0217,0.0224,0,0.99
c-50,22402,108013,0.0161,0.0267,0.0159,0.0159,0.0158,0.0216,0.0208,0.0216,0.0216,0.0225,14,1.02
c-51,23197,113123,0.0167,0.0261,0.0167,0.0166,0.0159,0.0216,0.0216,0.0224,0.0224,0.0232,14,1.05
c-52,23949,113332,0.0167,0.0264,0.0166,0.0167,0.0166,0.0224,0.0223,0.0224,0.0233,0.0241,4,1.01
c-53,30236,201224,0.0166,0.0299,0.0167,0.0167,0.0183,0.025,0.025,0.0257,0.0257,0.0265,0,0.99
c-54,31794,211743,0.0212,0.0359,0.0209,0.0216,0.0217,0.0257,0.0265,0.0273,0.0273,0.0282,4,1.01
c-55,32781,218115,0.0224,0.0495,0.0225,0.0224,0.0216,0.0306,0.0314,0.0314,0.0347,0.0372,14,1.04
c-56,35911,208405,0.0232,0.0383,0.0232,0.024,0.0241,0.0282,0.0281,0.0298,0.0306,0.0315,0,1.0
c-57,37834,221515,0.011,0.0358,0.011,0.0109,0.02,0.0273,0.0273,0.0281,0.0282,0.0282,8,1.01
c-58,37596,295076,0.0288,0.0715,0.0297,0.029,0.029,0.0551,0.0551,0.0568,0.0609,0.0659,0,0.99
c-59,41283,260909,0.0275,0.0588,0.0273,0.0273,0.0272,0.0347,0.0348,0.0354,0.0388,0.0429,14,1.01
c-60,43641,171109,0.0272,0.0399,0.0273,0.029,0.0289,0.0314,0.0314,0.0331,0.0347,0.0363,0,1.0
c-61,43619,176817,0.0272,0.0406,0.0281,0.0281,0.0282,0.0323,0.0331,0.0339,0.0355,0.0371,0,0.97
c-62,41732,300537,0.0289,0.0688,0.029,0.0298,0.0281,0.0404,0.0413,0.0421,0.0487,0.0527,14,1.03
c-62ghs,41732,300537,0.0289,0.0691,0.029,0.0297,0.0281,0.0404,0.0413,0.042,0.0495,0.052,14,1.03
c-63,44235,239469,0.0282,0.0501,0.0282,0.0289,0.029,0.0347,0.0339,0.0355,0.0364,0.0388,0,1.0
c-64,51036,384438,0.0197,0.0471,0.02,0.0208,0.0281,0.0347,0.0346,0.0362,0.0372,0.0388,0,0.98
c-64b,51036,384438,0.0195,0.0472,0.0199,0.0208,0.0281,0.0348,0.0347,0.0363,0.0372,0.0388,0,0.98
c-65,48067,204297,0.0304,0.044,0.0306,0.0313,0.0314,0.0355,0.0355,0.0363,0.0372,0.0396,0,0.99
c-66,49990,274498,0.031,0.0527,0.0314,0.0315,0.0323,0.0347,0.0355,0.0363,0.0388,0.0412,0,0.99
c-66b,49990,274498,0.0311,0.0528,0.0314,0.0314,0.0323,0.0346,0.0347,0.0364,0.0387,0.0412,0,0.99
c-67b,57976,294955,0.0356,0.0504,0.0355,0.0372,0.038,0.0356,0.0355,0.0372,0.0397,0.042,4,1.0
c-68,64811,315408,0.0398,0.065,0.0397,0.0404,0.0421,0.047,0.0478,0.0479,0.0536,0.0569,4,1.0
c-69,67459,345714,0.0405,0.067,0.0413,0.0421,0.0437,0.0461,0.047,0.0478,0.0511,0.0535,0,0.98
c-70,68925,363955,0.0419,0.0732,0.042,0.0428,0.0439,0.0481,0.0486,0.0494,0.0527,0.0576,0,1.0
c-71,76639,468096,0.0482,0.0965,0.0486,0.0486,0.0486,0.0594,0.0601,0.0617,0.0683,0.074,0,0.99
c-73,169423,724348,0.0329,0.1052,0.0338,0.0338,0.0789,0.0887,0.0887,0.0961,0.0969,0.0993,0,0.97
c-73b,169423,724348,0.0328,0.1052,0.0338,0.0338,0.079,0.0888,0.0887,0.0961,0.0969,0.0994,0,0.97
ca-AstroPh,18773,198110,0.0166,0.0439,0.0167,0.0167,0.0167,0.0405,0.042,0.0428,0.0437,0.0438,0,0.99
ca-CondMat,23134,93497,0.0122,0.0219,0.0117,0.0118,0.0126,0.0224,0.0224,0.0224,0.0224,0.0224,4,1.04
cage14,1505786,27130349,1.1955,2.7151,1.3178,1.4293,1.6391,2.3957,2.4319,2.5253,2.67,2.7059,0,0.91
cage15,5154860,99199551,4.5481,9.8845,5.1997,5.5528,5.9601,8.8033,8.8597,9.1659,9.6745,9.845,0,0.87
ca-HepPh,12009,118521,0.0108,0.0295,0.0101,0.0101,0.01,0.0265,0.0273,0.0282,0.0297,0.0297,14,1.08
caidaRouterLevel,192245,609066,0.0682,0.1019,0.0698,0.0756,0.0879,0.0904,0.0986,0.101,0.1018,0.1018,0,0.98
cant,62452,2034917,0.0265,0.3975,0.0273,0.0273,0.0355,0.0372,0.0388,0.0412,0.0494,0.0575,0,0.97
case39,40217,526139,0.0106,0.1288,0.0109,0.0118,0.0117,0.0241,0.0249,0.0249,0.0257,0.0257,0,0.97
case9,14455,75801,0.0046,0.0111,0.0044,0.0053,0.0052,0.006,0.0068,0.0085,0.0085,0.0101,4,1.05
c-big,345242,1343126,0.1955,0.2312,0.196,0.2016,0.2107,0.1894,0.1903,0.1927,0.1976,0.2124,18,1.03
cbuckle,13682,345098,0.0111,0.0326,0.0109,0.0109,0.0109,0.0126,0.0134,0.0141,0.015,0.0151,4,1.02
ccc,49153,73728,0.0078,0.0258,0.0084,0.0085,0.0183,0.0268,0.0268,0.0268,0.0268,0.0265,0,0.93
cfd1,70657,949510,0.0258,0.0819,0.0249,0.0265,0.0306,0.0347,0.0379,0.0478,0.0601,0.0716,4,1.04
Chebyshev4,68122,5377761,0.0982,1.2484,0.1101,0.0994,0.1035,0.1821,0.1821,0.2002,0.3903,0.5975,0,0.99
circuit_4,80210,307604,0.0502,0.0618,0.0502,0.0502,0.0494,0.0428,0.0429,0.0552,0.0617,0.0617,18,1.17
circuit5M,5558327,59524291,5.8183,13.0439,6.0544,6.6323,6.6513,8.3138,8.0937,8.1112,9.65,9.825,0,0.96
circuit5M_dc,3523318,19194193,1.3941,3.1702,1.5075,1.6191,1.9242,2.1272,2.2561,2.3377,3.1862,3.1962,0,0.92
citationCiteseer,268496,1156647,0.139,0.1644,0.1387,0.146,0.1608,0.1649,0.1649,0.165,0.1649,0.165,4,1.0
cit-Patents,3774769,16518948,2.7788,2.995,2.994,3.1102,3.2707,3.0072,2.9857,2.9858,2.9935,2.9967,0,0.93
ckt11752_dc_1,49703,333029,0.0287,0.0388,0.029,0.0314,0.037,0.0248,0.0257,0.0297,0.033,0.0372,18,1.16
ckt11752_tr_0,49703,333029,0.028,0.0387,0.0289,0.0313,0.0363,0.0248,0.0265,0.0298,0.033,0.0371,18,1.13
cnr-2000,325558,3216152,0.1534,0.5456,0.1518,0.1722,0.1779,0.2083,0.2091,0.2108,0.2214,0.2321,4,1.01
CO,221120,3943588,0.1333,0.3072,0.1321,0.1461,0.1583,0.2542,0.2551,0.2565,0.2574,0.2648,4,1.01
coAuthorsCiteseer,227321,814134,0.0322,0.1315,0.033,0.0362,0.0485,0.0641,0.0797,0.0993,0.1076,0.1134,0,0.98
coAuthorsDBLP,299068,977676,0.0586,0.163,0.0609,0.0674,0.0674,0.0903,0.1116,0.1394,0.1494,0.1535,0,0.96
cond-mat-2003,31164,120029,0.0079,0.0214,0.0085,0.0084,0.0101,0.0133,0.0158,0.0191,0.0208,0.0215,0,0.94
cond-mat-2005,40422,175693,0.0112,0.0281,0.0109,0.0125,0.015,0.0191,0.0207,0.0248,0.0264,0.0281,4,1.03
conf5_4-8x8-05,49153,1916928,0.0336,0.5264,0.0371,0.037,0.0428,0.0543,0.0543,0.0543,0.0912,0.2313,0,0.91
conf5_4-8x8-10,49153,1916928,0.0338,0.5267,0.037,0.0371,0.0428,0.0543,0.0543,0.0543,0.0912,0.2321,0,0.91
conf5_4-8x8-15,49153,1916928,0.0337,0.5265,0.0371,0.0372,0.0429,0.0543,0.0543,0.0543,0.0911,0.2313,0,0.91
conf5_4-8x8-20,49153,1916928,0.0336,0.526,0.0371,0.0371,0.0429,0.0543,0.0543,0.0543,0.0912,0.2321,0,0.91
conf6_0-8x8-20,49153,1916928,0.0338,0.5262,0.0371,0.0371,0.0428,0.0543,0.0543,0.0543,0.0911,0.2313,0,0.91
conf6_0-8x8-30,49153,1916928,0.0338,0.526,0.0371,0.0371,0.0429,0.0543,0.0543,0.0543,0.0912,0.2312,0,0.91
conf6_0-8x8-80,49153,1916928,0.0338,0.5262,0.0371,0.0371,0.0429,0.0543,0.0543,0.0543,0.0912,0.2321,0,0.91
consph,83335,3046907,0.0401,0.761,0.0403,0.0436,0.0469,0.0527,0.0535,0.0579,0.0625,0.0904,0,1.0
cont-201,80596,239596,0.0135,0.0471,0.0134,0.0134,0.0428,0.0428,0.0428,0.0428,0.0477,0.0477,4,1.01
cont-300,180896,539396,0.0243,0.1025,0.0248,0.0248,0.0912,0.0912,0.0912,0.0911,0.1026,0.1026,0,0.98
coPapersCiteseer,434103,16036720,0.3258,3.7625,0.3379,0.3502,0.3731,0.4517,0.4667,0.4993,0.5946,0.7245,0,0.96
coPapersDBLP,540487,15245729,0.3821,3.2496,0.3956,0.4136,0.4464,0.5014,0.5246,0.5667,0.6491,0.7864,0,0.97
copter1,17223,114143,0.0076,0.0147,0.0076,0.0076,0.0077,0.0101,0.01,0.0109,0.015,0.015,0,1.0
CoupCons3D,416801,22322336,0.3053,5.0777,0.2876,0.3414,0.3593,0.4341,0.4346,0.4482,0.5428,0.9903,4,1.06
crankseg_1,52805,5333507,0.068,1.4609,0.0678,0.0724,0.0772,0.0994,0.1012,0.1066,0.1763,0.3607,4,1.0
crankseg_2,63839,7106348,0.0896,1.9749,0.0895,0.096,0.103,0.1339,0.137,0.1427,0.2428,0.5049,4,1.0
crplat2,18011,489478,0.0088,0.0616,0.0084,0.0084,0.0084,0.0126,0.0125,0.0134,0.0141,0.0174,4,1.05
crystk02,13966,491274,0.0095,0.1185,0.0092,0.0093,0.0093,0.0125,0.0125,0.0134,0.0134,0.0175,4,1.03
crystk03,24697,887937,0.0142,0.2124,0.0141,0.0142,0.0141,0.0167,0.0175,0.0174,0.0183,0.0272,4,1.01
crystm02,13966,168435,0.0084,0.0178,0.0084,0.0093,0.0093,0.0119,0.0134,0.0142,0.0174,0.0183,0,1.0
crystm03,24697,304233,0.0123,0.0291,0.0133,0.0141,0.0142,0.0175,0.0223,0.0223,0.0265,0.0297,0,0.92
ct2010,67579,168176,0.0134,0.0346,0.0134,0.0159,0.0216,0.0289,0.0347,0.0346,0.0347,0.0354,0,1.0
ct20stif,52330,1375396,0.0239,0.226,0.024,0.0239,0.0257,0.029,0.0313,0.0346,0.0405,0.0518,0,1.0
Cube_Coup_dt0,2164761,64685452,0.9846,8.7746,1.0303,1.1153,1.1585,1.3933,1.5396,1.6574,1.8364,2.5703,0,0.96
Cube_Coup_dt6,2164761,64685452,0.9847,8.6953,1.0256,1.1079,1.1575,1.3888,1.5361,1.66,1.8362,2.5709,0,0.96
CurlCurl_0,11084,62213,0.0048,0.0091,0.0043,0.0043,0.0051,0.006,0.006,0.006,0.0076,0.0093,4,1.12
CurlCurl_4,2380516,14448191,0.4494,2.0297,0.4768,0.5457,1.0272,1.1426,1.1427,1.1423,1.274,1.8896,0,0.94
cvxqp3,17501,69981,0.0062,0.0117,0.006,0.0059,0.006,0.0125,0.0125,0.0125,0.0125,0.0124,8,1.05
cyl6,13682,363961,0.0101,0.0309,0.01,0.0101,0.01,0.0109,0.0117,0.0133,0.0133,0.0141,4,1.01
darcy003,389875,1167685,0.0504,0.1853,0.055,0.0779,0.0952,0.1223,0.1714,0.2041,0.2041,0.2042,0,0.92
dawson5,51538,531157,0.0154,0.0528,0.0158,0.0158,0.0182,0.0215,0.0239,0.0289,0.0347,0.0404,0,0.97
dblp-2010,326187,807700,0.1429,0.1462,0.1354,0.1305,0.1289,0.0944,0.1068,0.1231,0.1296,0.1346,18,1.51
dc3,116836,766396,0.0733,0.1242,0.0813,0.0838,0.0887,0.1083,0.1084,0.1027,0.1133,0.1222,0,0.9
de2010,24116,58028,0.007,0.0183,0.0068,0.0076,0.0092,0.0174,0.0191,0.0191,0.0191,0.0191,4,1.03
debr,1048577,2097149,0.2473,0.731,0.2523,0.341,0.5925,0.5922,0.7311,0.7314,0.7313,0.7311,0,0.98
delaunay_n15,32769,98274,0.0074,0.0186,0.0068,0.0085,0.0093,0.0092,0.0101,0.0175,0.019,0.0191,4,1.09
delaunay_n16,65537,196575,0.0108,0.0342,0.0109,0.0141,0.0167,0.0174,0.0174,0.0306,0.0346,0.0347,0,0.99
delaunay_n17,131073,393176,0.0183,0.0645,0.0191,0.0264,0.0306,0.0306,0.0322,0.0575,0.065,0.0649,0,0.96
delaunay_n18,262145,786396,0.033,0.1259,0.0363,0.0511,0.0609,0.0616,0.065,0.1092,0.1263,0.1265,0,0.91
delaunay_n19,524289,1572823,0.0794,0.3338,0.0871,0.1161,0.1371,0.1394,0.1452,0.2878,0.3346,0.3346,0,0.91
delaunay_n20,1048577,3145686,0.1949,0.677,0.2245,0.3057,0.3582,0.3639,0.3829,0.6266,0.6785,0.6781,0,0.87
delaunay_n21,2097153,6291408,0.4178,1.365,0.4878,0.6411,0.7319,0.7402,0.7675,1.2948,1.3146,1.2772,0,0.86
delaunay_n22,4194305,12582869,0.8525,2.557,0.9944,1.323,1.4767,1.5233,1.6049,2.4481,2.6931,2.5524,0,0.86
denormal,89401,622812,0.0169,0.0594,0.0158,0.0166,0.0494,0.0494,0.0493,0.0494,0.0493,0.06,4,1.07
dictionary28,52653,89038,0.0088,0.0183,0.0088,0.0108,0.0141,0.0166,0.0183,0.0182,0.0183,0.0191,0,1.0
dielFilterV2clx,607233,12958252,0.3981,1.6972,0.4153,0.4432,0.5035,0.647,0.6893,0.7649,0.964,1.2092,0,0.96
dielFilterV2real,1157457,24848204,0.7203,3.3178,0.7138,0.7734,0.8944,1.2205,1.27,1.436,1.8449,2.1736,4,1.01
