dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,dur,density,speedup
barrier2-12,115626,3897557,0.2786,0.2778,0.2783,0.3673,0.4045,0.3085,0.2923,0.2836,0.2787,0.2781,0.0549,9,1.0
barrier2-2,113077,3805068,0.2708,0.2719,0.2719,0.3584,0.3943,0.301,0.2848,0.2751,0.2713,0.2712,0.0642,0,1.0
barrier2-3,113077,3805068,0.2707,0.2713,0.2715,0.3589,0.3932,0.3015,0.2848,0.2749,0.2715,0.2716,0.058,0,1.0
barrier2-4,113077,3805068,0.2707,0.2705,0.2716,0.3588,0.3937,0.3025,0.2848,0.2757,0.272,0.2715,0.0488,9,1.0
barrier2-9,115626,3897557,0.2773,0.2778,0.278,0.367,0.4045,0.3085,0.2922,0.2835,0.2783,0.2786,0.054,0,1.0
bauru5727,40367,145019,0.0217,0.0391,0.0219,0.0562,0.0522,0.0423,0.0399,0.039,0.039,0.039,0.009,0,0.99
bbmat,38745,1771722,0.0545,0.1086,0.0555,0.0922,0.0914,0.0906,0.0915,0.0833,0.1177,0.1218,0.0141,0,0.98
bcsstk17,10975,219812,0.0119,0.0184,0.0128,0.0178,0.0201,0.0219,0.0218,0.0211,0.022,0.0219,0.0029,0,0.93
bcsstk18,11949,80519,0.0099,0.0159,0.0112,0.021,0.021,0.0185,0.0169,0.0162,0.0153,0.0162,0.0028,0,0.88
bcsstk25,15440,133840,0.0113,0.02,0.0128,0.0243,0.0284,0.0268,0.0251,0.0227,0.0214,0.0202,0.0038,0,0.88
bcsstk29,13993,316740,0.0147,0.0234,0.0153,0.0203,0.0235,0.0243,0.0268,0.0258,0.0267,0.0268,0.0036,0,0.96
bcsstk30,28925,1036208,0.0352,0.0708,0.0358,0.0432,0.0497,0.0538,0.0595,0.0652,0.0676,0.0709,0.0089,0,0.98
bcsstk31,35589,608502,0.0276,0.0504,0.0284,0.0472,0.0603,0.0645,0.0612,0.057,0.0538,0.0538,0.0081,0,0.97
bcsstk32,44610,1029655,0.0368,0.0708,0.0374,0.0563,0.0669,0.0742,0.0792,0.0817,0.0824,0.0809,0.0108,0,0.98
bcsstk35,30238,740200,0.0266,0.0503,0.0275,0.039,0.044,0.0505,0.0522,0.057,0.0595,0.0587,0.0076,0,0.97
bcsstk36,23053,583096,0.0218,0.0389,0.0219,0.0308,0.0349,0.0382,0.0415,0.0447,0.0456,0.0464,0.0059,0,1.0
bcsstk37,25504,583240,0.0204,0.0405,0.0218,0.0316,0.0373,0.0407,0.0447,0.0472,0.0488,0.048,0.0065,0,0.94
