dataSet,num_nodes,num_edges,flash
Long_Coup_dt6,1470153,44279572,2.467
lowThrust_10,18261,116074,0.0169
lowThrust_11,18369,117002,0.0153
lowThrust_12,18459,117423,0.0155
lowThrust_13,18477,117580,0.0155
lowThrust_4,13563,84240,0.013
lowThrust_5,16263,103701,0.0142
lowThrust_6,16929,108376,0.0147
lowThrust_7,17379,110607,0.0149
lowThrust_8,17703,113139,0.0151
lowThrust_9,18045,114806,0.0151
lp1,534389,1088904,0.6148
luxembourg_osm,114600,119666,0.126
m14b,214766,1679018,0.3144
mario001,38435,114643,0.0196
mario002,389875,1167685,0.6172
mark3jac040sc,18290,113435,0.0165
mark3jac060sc,27450,170695,0.0227
me2010,69519,167738,0.0342
memplus,17759,126150,0.0155
mip1,66464,5209641,0.1702
ML_Laplace,377003,27689972,1.0811
mouse_gene,45102,14506196,1.7621
msc10848,10849,620313,0.0276
msc23052,23053,588933,0.0301
msdoor,415864,10328399,0.6443
m_t1,97579,4925574,0.2076
mult_dcop_01,25188,193276,0.0329
mult_dcop_02,25188,193276,0.0329
mult_dcop_03,25188,193216,0.0328
NACA0015,1039184,3114818,1.8739
nasasrb,54871,1366097,0.062
nd12k,36001,7128473,0.1933
nd24k,72001,14393817,0.408
nd6k,18001,3457658,0.0988
net100,29921,1031560,0.0773
net125,36721,1306960,0.0953
net150,43521,1582360,0.1148
net4-1,88344,1265035,0.1834
net50,16321,480760,0.0409
net75,23121,756160,0.0585
netherlands_osm,2216689,2441238,2.3617
nh2010,48838,117275,0.0244
NLR,4163764,12487976,8.0192
NotreDame_www,325730,929849,0.2562
nv2010,84539,208499,0.0719
ohne2,181344,11063545,0.8322
oilpan,73753,1835470,0.1113
olafu,16147,515651,0.0234
onetone2,36058,227628,0.0273
OPF_10000,43888,255799,0.0255
opt1,15450,973052,0.0397
p2p-Gnutella31,62587,147892,0.0345
parabolic_fem,525826,2100225,1.0578
patents,3774769,14970767,8.264
pattern1,19243,4671337,0.6625
pcrystk02,13966,491274,0.0211
pcrystk03,24697,887937,0.0345
pct20stif,52330,1375396,0.0535
pdb1HYS,36418,2190591,0.0649
pds10,16559,83108,0.016
PFlow_742,742794,18940627,1.1265
pkustk01,22045,500712,0.0288
pkustk02,10801,410400,0.0224
pkustk03,63337,1596876,0.0837
pkustk04,55591,2137125,0.1032
pkustk05,37165,1121154,0.0561
pkustk06,43165,1307466,0.0646
pkustk07,16861,1217832,0.0586
pkustk08,22210,1624440,0.0787
pkustk09,33961,808800,0.0414
pkustk10,80677,2194830,0.1307
pkustk11,87805,2652858,0.1572
pkustk12,94654,3803485,0.2206
pkustk13,94894,3355860,0.2042
pkustk14,151927,7494215,0.3629
pli,22696,686502,0.0406
PR02R,161071,8185136,0.3733
Pres_Poisson,14823,365313,0.0223
pwtk,217919,5926171,0.3219
qa8fk,66128,863353,0.073
qa8fm,66128,863353,0.0731
raefsky3,21201,1488768,0.0416
raefsky4,19780,674195,0.0319
rajat15,37262,443573,0.0497
rajat22,39900,197264,0.0287
rajat26,51033,249302,0.0352
rajat29,643995,4866270,1.2782
rajat30,643995,6175377,1.3889
ramage02,16831,1441591,0.0616
Reuters911,13333,148038,0.0281
rgg_n_2_15_s0,32769,160240,0.0282
rgg_n_2_22_s0,4194305,30359198,5.8175
ri2010,25182,62875,0.0151
rim,22561,1014951,0.0449
RM07R,381690,37464962,1.5796
rma10,46836,2374001,0.0878
roadNet-CA,1971282,2766607,2.284
roadNet-PA,1090921,1541898,1.2671
roadNet-TX,1393384,1921660,1.614
s3dkq4m2,90450,2455670,0.1372
s3dkt3m2,90450,1921955,0.1278
s4dkt3m2,90450,1921955,0.128
Serena,1391350,32961525,2.4478
shermanACb,18511,145149,0.022
ship_001,34921,2339575,0.0689
ship_003,121729,4103881,0.2041
shipsec1,140875,3977139,0.233
shipsec5,179861,5146478,0.2968
shipsec8,114920,3384159,0.1897
Si10H16,17078,446500,0.0429
Si34H36,97570,2626974,0.2394
Si41Ge41H72,185640,7598452,0.5444
Si5H12,19897,379247,0.0449
Si87H76,240370,5451000,0.5469
sinc15,11533,568526,0.0649
SiO,33402,675528,0.071
SiO2,155332,5719417,0.414
skirt,12599,104559,0.0122
smallworld,100001,499998,0.1123
sme3Dc,42931,3148656,0.4343
smt,25711,1889447,0.0757
soc-LiveJournal1,4847572,68993773,22.7747
soc-sign-Slashdot090221,82145,549202,0.0981
sparsine,50001,799494,0.1184
srb1,54925,1508538,0.0545
Stanford,281904,2312497,0.6505
std1_Jac2,21983,1248731,0.0624
std1_Jac3,21983,1455848,0.0687
stokes128,49667,295938,0.0278
stokes64,12547,74242,0.0096
struct3,53571,613632,0.0373
t2dah,11446,93781,0.0081
t2dah_a,11446,93781,0.008
t2dah_e,11446,93781,0.0081
t3dh,79172,2215638,0.1516
t3dh_a,79172,2215638,0.1514
t3dh_e,79172,2215638,0.1513
t3dl,20361,265113,0.0285
t3dl_a,20361,265113,0.0284
tandem_vtx,18455,135902,0.0189
ted_A,10606,424587,0.0215
ted_AB,10606,522387,0.0279
ted_AB_unscaled,10606,522387,0.0282
ted_A_unscaled,10606,424587,0.0217
ted_B_unscaled,10606,77592,0.0097
thread,29737,2249892,0.0835
tmt_sym,726714,2903837,0.8466
torso1,116159,8516500,0.2883
transient,178867,961790,0.3145
trdheim,22099,978711,0.0325
Trefethen_20000,20001,287233,0.0397
Trefethen_20000b,20000,287217,0.0397
troll,213454,6099282,0.3338
TSOPF_FS_b162_c1,10799,305732,0.0173
TSOPF_FS_b162_c3,30799,904612,0.0335
TSOPF_FS_b162_c4,40799,1204322,0.0422
TSOPF_FS_b300,29215,2203949,0.058
TSOPF_FS_b300_c1,29215,2203949,0.058
TSOPF_FS_b300_c2,56815,4391071,0.1108
TSOPF_FS_b300_c3,84415,6578753,0.1748
TSOPF_FS_b39_c19,76217,998359,0.0498
TSOPF_FS_b39_c30,120217,1575639,0.0974
TSOPF_FS_b39_c7,28217,368599,0.0208
TSOPF_FS_b9_c6,14455,75801,0.0092
TSOPF_RS_b162_c3,15375,610299,0.0249
TSOPF_RS_b162_c4,20375,812749,0.031
TSOPF_RS_b2052_c1,25627,6761100,0.1551
TSOPF_RS_b2383,38121,16171169,0.3482
TSOPF_RS_b2383_c1,38121,16171169,0.3485
TSOPF_RS_b300_c1,14539,1474325,0.0418
TSOPF_RS_b300_c2,28339,2943887,0.077
TSOPF_RS_b300_c3,42139,4413449,0.1192
TSOPF_RS_b39_c19,38099,684206,0.037
TSOPF_RS_b39_c30,60099,1079986,0.0573
TSOPF_RS_b39_c7,14099,252446,0.0162
TSOPF_RS_b678_c1,18697,4396289,0.1002
TSOPF_RS_b678_c2,35697,8781949,0.2063
tsyl201,20686,1237821,0.0524
tube1,21499,459277,0.02
tube2,21499,459277,0.0215
turon_m,189925,912345,0.2681
usroads,129165,165435,0.1438
usroads-48,126147,161950,0.1409
vanbody,47073,1191985,0.0529
venturiLevel3,4026820,8054237,4.9357
vibrobox,12329,177578,0.0213
viscorocks,37763,1162244,0.0441
vsp_barth5_1Ksep_50in_5Kout,32213,101805,0.0207
vsp_bcsstk30_500sep_10in_1Kout,58349,2016578,0.2937
vsp_befref_fxm_2_4_air02,14110,98224,0.012
vsp_bump2_e18_aa01_model1_crew1,56439,300801,0.0396
vsp_c-30_data_data,11024,62184,0.0067
vsp_c-60_data_cti_cs4,85831,241080,0.0324
vsp_finan512_scagr7-2c_rlfddd,139753,552020,0.1349
vsp_mod2_pgp2_slptsk,101365,389368,0.0812
vsp_model1_crew1_cr42_south31,45102,189976,0.0246
vsp_msc10848_300sep_100in_1Kout,21997,1221028,0.1699
vsp_p0291_seymourl_iiasa,10499,53868,0.0121
vsp_sctap1-2b_and_seymourl,40175,140831,0.0287
vsp_south31_slptsk,39669,189914,0.0269
vsp_vibrobox_scagr7-2c_rlfddd,77329,435586,0.0493
vt2010,32581,77799,0.0173
wathen100,30402,251001,0.019
wathen120,36442,301101,0.0224
web-Google,916429,5105039,1.9293
web-NotreDame,325730,1497134,0.3203
wikipedia-20051105,1634990,19753078,4.905
wikipedia-20060925,2983495,37269096,10.7814
wikipedia-20061104,3148441,39383235,11.5257
wikipedia-20070206,3566908,45030389,13.5029
wiki-Talk,2394386,5021410,2.3268
windscreen,22693,752541,0.0298
wing_nodal,10938,75488,0.0157
wy2010,86205,213793,0.0836
x104,108385,5138004,0.2125
Zd_Jac2,22836,1642833,0.0763
Zd_Jac3,22836,1916152,0.0843
Zd_Jac6,22836,1711983,0.0775
