dataSet,num_nodes1,num_edges1,time
144,144650,1074393,0.1671
2D_27628_bjtcai,27629,442898,0.0363
2D_54019_highK,54020,996414,0.0744
333SP,3712816,11108633,5.7301
3D_28984_Tetra,28985,599170,0.0537
3D_51448_3D,51449,1056610,0.0849
3Dspectralwave,680944,17165766,1.7561
3Dspectralwave2,292009,7307376,0.7428
3dtube,45331,1629474,0.1443
598a,110972,741934,0.1029
a0nsdsil,80017,200021,0.0286
a2nnsnsl,80017,196115,0.0282
a5esindl,60009,145004,0.0215
adaptive,6815745,13624320,8.9209
af_0_k101,503626,9027150,0.6871
af_1_k101,503626,9027150,0.6871
af_2_k101,503626,9027150,0.6863
af_3_k101,503626,9027150,0.6879
af_4_k101,503626,9027150,0.6867
af_5_k101,503626,9027150,0.6873
af_shell1,504856,9046865,0.6968
af_shell10,1508066,27090195,2.1124
af_shell2,504856,9046865,0.6954
af_shell3,504856,9046865,0.6953
af_shell4,504856,9046865,0.6968
af_shell5,504856,9046865,0.6961
af_shell6,504856,9046865,0.6955
af_shell7,504856,9046865,0.6968
af_shell8,504856,9046865,0.6962
af_shell9,504856,9046865,0.6968
ak2010,45293,108549,0.0168
Andrews,60001,410077,0.0532
AS365,3799276,11368076,6.9457
as-caida,31380,106762,0.0152
ASIC_680k,682863,3871773,1.3147
as-Skitter,1696416,11095298,2.2158
astro-ph,16707,121251,0.0148
audikw_1,943696,39297771,3.7979
auto,448696,3314611,0.6245
barrier2-1,113077,3805068,0.3825
barrier2-10,115626,3897557,0.3968
barrier2-11,115626,3897557,0.3954
barrier2-12,115626,3897557,0.3955
barrier2-2,113077,3805068,0.3827
barrier2-3,113077,3805068,0.385
barrier2-4,113077,3805068,0.3863
barrier2-9,115626,3897557,0.3955
bauru5727,40367,145019,0.0169
bbmat,38745,1771722,0.1502
bcsstk17,10975,219812,0.0192
bcsstk18,11949,80519,0.0093
bcsstk25,15440,133840,0.013
bcsstk29,13993,316740,0.0282
bcsstk30,28925,1036208,0.0869
bcsstk31,35589,608502,0.0535
bcsstk32,44610,1029655,0.0829
bcsstk35,30238,740200,0.0609
bcsstk36,23053,583096,0.0503
bcsstk37,25504,583240,0.0497
bcsstk39,46773,1068033,0.0821
bcsstm36,23053,166389,0.0133
belgium_osm,1441296,1549970,1.5352
BenElechi1,245875,6698185,0.5417
blockqp1,60013,340022,0.0256
bloweya,30005,80005,0.01
bloweybl,30004,70001,0.0109
bmw3_2,227363,5757996,0.4879
bmw7st_1,141348,3740507,0.3179
bmwcra_1,148771,5396386,0.4841
bone010,986704,36326514,3.3067
boneS01,127225,3421188,0.2947
