dataSet,num_nodes1,num_edges1,time
144,144650,1074393,0.3724
2D_27628_bjtcai,27629,442898,0.0543
2D_54019_highK,54020,996414,0.1341
333SP,3712816,11108633,11.6106
3D_28984_Tetra,28985,599170,0.0872
3D_51448_3D,51449,1056610,0.1665
3Dspectralwave,680944,17165766,2.8134
3Dspectralwave2,292009,7307376,1.2014
3dtube,45331,1629474,0.2408
598a,110972,741934,0.2792
a0nsdsil,80017,200021,0.5571
a2nnsnsl,80017,196115,0.5533
a5esindl,60009,145004,0.9288
adaptive,6815745,13624320,19.6367
af_0_k101,503626,9027150,1.4681
af_1_k101,503626,9027150,1.4643
af_2_k101,503626,9027150,1.4645
af_3_k101,503626,9027150,1.4647
af_4_k101,503626,9027150,1.4648
af_5_k101,503626,9027150,1.4681
af_shell1,504856,9046865,1.4774
af_shell10,1508066,27090195,4.4295
af_shell2,504856,9046865,1.4774
af_shell3,504856,9046865,1.4793
af_shell4,504856,9046865,1.4774
af_shell5,504856,9046865,1.4775
af_shell6,504856,9046865,1.4793
af_shell7,504856,9046865,1.4775
af_shell8,504856,9046865,1.4777
af_shell9,504856,9046865,1.4778
ak2010,45293,108549,0.0907
Andrews,60001,410077,0.154
AS365,3799276,11368076,13.9147
as-caida,31380,106762,0.1479
ASIC_680k,682863,3871773,38.2974
as-Skitter,1696416,11095298,9.2151
astro-ph,16707,121251,0.0377
audikw_1,943696,39297771,5.2511
auto,448696,3314611,1.2231
barrier2-1,113077,3805068,1.099
barrier2-10,115626,3897557,1.2269
barrier2-11,115626,3897557,1.2273
barrier2-12,115626,3897557,1.2285
barrier2-2,113077,3805068,1.0988
barrier2-3,113077,3805068,1.0988
barrier2-4,113077,3805068,1.1002
barrier2-9,115626,3897557,1.2278
bauru5727,40367,145019,0.0882
bbmat,38745,1771722,0.1908
bcsstk17,10975,219812,0.0279
bcsstk18,11949,80519,0.0169
bcsstk25,15440,133840,0.0226
bcsstk29,13993,316740,0.0386
bcsstk30,28925,1036208,0.1156
bcsstk31,35589,608502,0.0778
bcsstk32,44610,1029655,0.1198
bcsstk35,30238,740200,0.0843
bcsstk36,23053,583096,0.0668
bcsstk37,25504,583240,0.0671
bcsstk39,46773,1068033,0.1224
bcsstm36,23053,166389,0.0262
belgium_osm,1441296,1549970,3.3715
BenElechi1,245875,6698185,0.8394
blockqp1,60013,340022,1.5846
bloweya,30005,80005,0.0264
bloweybl,30004,70001,0.0271
bmw3_2,227363,5757996,0.7757
bmw7st_1,141348,3740507,0.4974
bmwcra_1,148771,5396386,0.6506
bone010,986704,36326514,4.218
boneS01,127225,3421188,0.4314
boneS10,914899,28191660,3.4752
boyd1,93280,652246,0.2246
boyd2,466317,890091,9.9528
brack2,62632,366559,0.1424
brainpc2,27608,96601,0.6606
bratu3d,27793,88627,0.0281
Bump_2911,2911420,65320659,9.2088
bundle1,10582,390741,0.1588
bundle_adj,513352,10360701,3.4033
c-42,10472,60378,0.0748
c-43,11126,67400,0.132
c-45,13207,93829,0.1254
c-46,14914,72655,0.0862
c-47,15344,113372,0.1159
c-48,18355,92217,0.0308
c-49,21133,89087,0.0337
c-50,22402,108013,0.1106
c-51,23197,113123,0.0562
c-52,23949,113332,0.0396
c-53,30236,201224,0.2398
c-54,31794,211743,0.1203
c-55,32781,218115,0.0602
c-56,35911,208405,0.0954
c-57,37834,221515,0.7758
c-58,37596,295076,0.2232
c-59,41283,260909,0.0886
c-60,43641,171109,0.0951
c-61,43619,176817,0.0954
c-62,41732,300537,0.2615
c-62ghs,41732,300537,0.2698
c-63,44235,239469,0.1011
c-64,51036,384438,0.7525
c-64b,51036,384438,0.751
c-65,48067,204297,0.1292
c-66,49990,274498,0.4618
c-66b,49990,274498,0.4617
c-67b,57976,294955,0.267
c-68,64811,315408,0.1501
c-69,67459,345714,0.1556
c-70,68925,363955,0.1608
c-71,76639,468096,0.1772
c-73,169423,724348,3.2262
c-73b,169423,724348,3.2305
ca-AstroPh,18773,198110,0.0601
ca-CondMat,23134,93497,0.0336
cage14,1505786,27130349,7.8368
cage15,5154860,99199551,35.3642
ca-HepPh,12009,118521,0.0456
caidaRouterLevel,192245,609066,0.5185
cant,62452,2034917,0.2207
case39,40217,526139,1.3891
case9,14455,75801,0.3498
c-big,345242,1343126,1.5534
cbuckle,13682,345098,0.0407
