dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,8,16,24,32,40,48,56,64,density,speedup
barrier2-9,115626,3897557,0.4491,0.6408,0.6178,0.6223,0.4451,0.4419,0.5064,0.5308,0.5838,0.6048,32,1.02
bauru5727,40367,145019,0.026,0.0317,0.024,0.0217,0.0265,0.0282,0.0315,0.0314,0.0315,0.0315,16,1.2
bbmat,38745,1771722,0.0836,0.3187,0.1002,0.0994,0.1068,0.1051,0.1035,0.1035,0.1043,0.1043,0,0.84
bcsstk17,10975,219812,0.0155,0.0319,0.0167,0.0158,0.0166,0.0166,0.0166,0.0184,0.0192,0.0208,0,0.98
bcsstk18,11949,80519,0.0141,0.0157,0.0134,0.0126,0.0126,0.0126,0.0143,0.0151,0.0158,0.0159,16,1.12
bcsstk25,15440,133840,0.0157,0.0214,0.0159,0.0167,0.0142,0.0151,0.0143,0.016,0.0176,0.0192,24,1.11
bcsstk29,13993,316740,0.0205,0.0425,0.02,0.0208,0.0201,0.0208,0.0217,0.0225,0.0233,0.0241,8,1.02
bcsstk30,28925,1036208,0.0481,0.179,0.0553,0.052,0.0568,0.0577,0.0577,0.0601,0.0659,0.0676,0,0.92
bcsstk31,35589,608502,0.0399,0.0799,0.0364,0.0421,0.0454,0.0463,0.0462,0.047,0.0486,0.0528,8,1.1
bcsstk32,44610,1029655,0.0496,0.1316,0.0544,0.0519,0.0552,0.056,0.0576,0.0593,0.0609,0.0626,0,0.96
bcsstk35,30238,740200,0.0362,0.0975,0.0381,0.0357,0.0363,0.0372,0.0373,0.0381,0.0405,0.0422,16,1.01
bcsstk36,23053,583096,0.0284,0.0749,0.0298,0.0274,0.029,0.0298,0.0298,0.0307,0.0323,0.0339,16,1.04
bcsstk37,25504,583240,0.0289,0.0748,0.0315,0.0307,0.0299,0.0302,0.0315,0.0323,0.0331,0.035,0,0.97
bcsstk39,46773,1068033,0.0564,0.1268,0.0528,0.0635,0.0708,0.0708,0.0708,0.0716,0.0756,0.0889,8,1.07
bcsstm36,23053,166389,0.0159,0.0261,0.016,0.0159,0.0168,0.0176,0.0184,0.0192,0.0217,0.0233,0,1.0
belgium_osm,1441296,1549970,0.9203,0.9611,0.9828,0.9603,0.9603,0.9599,0.9599,0.9604,0.9615,0.9646,0,0.96
BenElechi1,245875,6698185,0.2294,0.7443,0.2875,0.3107,0.3521,0.3664,0.3723,0.3745,0.3697,0.3772,0,0.8
blockqp1,60013,340022,0.0468,0.0536,0.047,0.0495,0.0453,0.0454,0.0453,0.0454,0.0446,0.0454,56,1.05
bloweya,30005,80005,0.0239,0.0224,0.0233,0.02,0.0233,0.0216,0.0216,0.0216,0.0216,0.0216,16,1.12
bloweybl,30004,70001,0.0244,0.0221,0.0232,0.02,0.0241,0.0216,0.0217,0.0217,0.0215,0.0216,16,1.1
bmw3_2,227363,5757996,0.2646,0.8828,0.2834,0.2976,0.3171,0.3319,0.3537,0.3733,0.4015,0.4196,0,0.93
bmw7st_1,141348,3740507,0.1672,0.5728,0.1707,0.1754,0.1812,0.1884,0.198,0.2105,0.2311,0.2397,0,0.98
bmwcra_1,148771,5396386,0.2391,0.929,0.2875,0.3255,0.3243,0.3288,0.3352,0.3519,0.3868,0.4062,0,0.83
bone010,986704,36326514,1.5041,6.6929,2.2079,2.1272,2.271,2.2742,2.2143,2.3565,2.3156,2.3882,0,0.71
boneS01,127225,3421188,0.1467,0.5439,0.1783,0.2006,0.1957,0.2003,0.2193,0.2267,0.2337,0.2454,0,0.82
boneS10,914899,28191660,1.1948,4.7116,1.7982,1.8532,1.806,1.8659,1.8517,1.9261,1.957,2.0091,0,0.66
boyd1,93280,652246,0.0893,0.1702,0.0888,0.1027,0.1019,0.1019,0.1149,0.1141,0.133,0.1338,8,1.01
boyd2,466317,890091,0.5088,0.4179,0.5237,0.5249,0.4122,0.4117,0.4171,0.4178,0.4177,0.4179,32,1.02
brack2,62632,366559,0.048,0.0537,0.0496,0.0519,0.0471,0.0479,0.0487,0.0536,0.0536,0.0537,24,1.02
brainpc2,27608,96601,0.0157,0.0201,0.0168,0.0184,0.0184,0.0184,0.0183,0.0183,0.02,0.02,0,0.93
bratu3d,27793,88627,0.0217,0.0156,0.02,0.0192,0.016,0.0151,0.0159,0.0151,0.0159,0.0151,32,1.03
Bump_2911,2911420,65320659,3.2604,7.4082,4.4922,4.6744,4.8009,4.7111,4.7955,4.8526,4.9565,5.7813,0,0.73
bundle1,10582,390741,0.0189,0.0599,0.02,0.0191,0.0184,0.0216,0.0217,0.0216,0.0241,0.0257,24,1.03
bundle_adj,513352,10360701,0.4178,1.2664,0.5296,0.564,0.6188,0.6787,0.6941,0.7299,0.7856,0.8119,0,0.79
c-42,10472,60378,0.0132,0.0166,0.0134,0.0103,0.0151,0.0151,0.0151,0.016,0.0151,0.0153,16,1.28
c-43,11126,67400,0.0123,0.016,0.0119,0.0102,0.0151,0.015,0.0151,0.0151,0.0152,0.0151,16,1.21
c-45,13207,93829,0.0131,0.0159,0.011,0.0101,0.0159,0.0155,0.0159,0.0159,0.0159,0.0151,16,1.3
c-46,14914,72655,0.0123,0.0191,0.0119,0.0126,0.0167,0.0175,0.0167,0.0176,0.0176,0.0184,8,1.03
c-47,15344,113372,0.0259,0.0279,0.0274,0.0241,0.0266,0.0257,0.0266,0.0266,0.0265,0.0266,16,1.07
c-48,18355,92217,0.0217,0.0223,0.0209,0.0159,0.0207,0.0208,0.02,0.02,0.0208,0.0216,16,1.36
c-49,21133,89087,0.0221,0.0243,0.0217,0.0167,0.0216,0.0225,0.0224,0.0232,0.0233,0.0232,16,1.32
c-50,22402,108013,0.024,0.0267,0.0233,0.0184,0.0233,0.0232,0.0233,0.0225,0.0233,0.0241,16,1.3
c-51,23197,113123,0.0242,0.0269,0.0241,0.0193,0.0241,0.0233,0.0233,0.024,0.0249,0.0257,16,1.25
c-52,23949,113332,0.0243,0.0278,0.0233,0.0192,0.0242,0.0241,0.0233,0.025,0.0257,0.0257,16,1.27
c-53,30236,201224,0.0262,0.0344,0.0266,0.0241,0.0282,0.0291,0.029,0.0291,0.0282,0.0282,16,1.09
c-54,31794,211743,0.0304,0.0386,0.0307,0.0258,0.0306,0.0315,0.0311,0.0315,0.0315,0.0315,16,1.18
c-55,32781,218115,0.0367,0.0475,0.0389,0.0348,0.0372,0.0373,0.0381,0.038,0.0397,0.0397,16,1.05
c-56,35911,208405,0.0342,0.04,0.0339,0.0301,0.0339,0.0332,0.0331,0.034,0.0347,0.0347,16,1.14
c-57,37834,221515,0.0256,0.0381,0.0266,0.0307,0.0314,0.0324,0.0323,0.0323,0.0323,0.0323,0,0.96
c-58,37596,295076,0.0525,0.0628,0.0585,0.0577,0.0536,0.0528,0.0569,0.057,0.0585,0.0585,0,0.99
c-59,41283,260909,0.0432,0.0557,0.0454,0.043,0.044,0.0429,0.0437,0.044,0.0446,0.0454,32,1.01
c-60,43641,171109,0.0378,0.0401,0.0372,0.0322,0.0372,0.0364,0.0364,0.0373,0.038,0.0392,16,1.17
c-61,43619,176817,0.0376,0.0419,0.0372,0.0339,0.038,0.0372,0.0372,0.0372,0.0388,0.0397,16,1.11
c-62,41732,300537,0.0507,0.0623,0.0552,0.0511,0.0479,0.0486,0.0513,0.0512,0.0528,0.0528,24,1.06
c-62ghs,41732,300537,0.05,0.0625,0.0536,0.0511,0.0479,0.0479,0.0515,0.052,0.052,0.0528,24,1.04
c-63,44235,239469,0.0407,0.0503,0.0421,0.0381,0.0413,0.0413,0.0413,0.0413,0.0421,0.0429,16,1.07
c-64,51036,384438,0.0376,0.0531,0.0396,0.0454,0.0454,0.0446,0.0437,0.0438,0.0438,0.0454,0,0.95
c-64b,51036,384438,0.0375,0.053,0.0404,0.0446,0.0455,0.0446,0.0437,0.0438,0.0438,0.0445,0,0.93
c-65,48067,204297,0.0402,0.0458,0.0397,0.0364,0.0404,0.0405,0.0405,0.0413,0.0413,0.0429,16,1.1
c-66,49990,274498,0.0449,0.0535,0.0455,0.0421,0.0437,0.0437,0.0438,0.0438,0.0446,0.0454,16,1.07
c-66b,49990,274498,0.0452,0.0535,0.0454,0.0421,0.0438,0.0438,0.0438,0.0445,0.0446,0.0454,16,1.07
c-67b,57976,294955,0.0453,0.0531,0.0431,0.0413,0.0446,0.0437,0.0447,0.0454,0.0463,0.0462,16,1.1
c-68,64811,315408,0.0573,0.0653,0.0594,0.0577,0.0561,0.0569,0.0578,0.0586,0.0593,0.061,24,1.02
c-69,67459,345714,0.058,0.0687,0.0561,0.0568,0.0577,0.0578,0.0584,0.0577,0.0585,0.0602,8,1.03
c-70,68925,363955,0.0617,0.073,0.0626,0.0601,0.0594,0.0594,0.0618,0.0617,0.0626,0.065,24,1.04
c-71,76639,468096,0.0767,0.0924,0.0806,0.0773,0.0716,0.0724,0.0749,0.0765,0.0774,0.0782,24,1.07
c-73,169423,724348,0.1069,0.1521,0.1194,0.1686,0.1581,0.1586,0.1595,0.158,0.1555,0.1523,0,0.9
c-73b,169423,724348,0.1087,0.1529,0.1175,0.1645,0.1589,0.1578,0.1604,0.1612,0.1565,0.1523,0,0.93
ca-AstroPh,18773,198110,0.0459,0.0391,0.0503,0.0486,0.038,0.0388,0.0388,0.0389,0.0388,0.0389,24,1.03
ca-CondMat,23134,93497,0.0253,0.0223,0.0249,0.0249,0.0224,0.0224,0.0225,0.0225,0.0224,0.0225,128,1.0
cage14,1505786,27130349,4.1959,4.0621,6.0389,6.053,4.7318,4.6632,4.4125,4.0706,4.0606,4.0342,64,1.01
cage15,5154860,99199551,18.6518,17.1481,22.3166,23.1646,20.5827,19.645,18.5869,17.2684,17.1445,17.1461,56,1.0
ca-HepPh,12009,118521,0.0278,0.0268,0.0322,0.0298,0.0249,0.0257,0.0265,0.0265,0.0265,0.0265,24,1.08
caidaRouterLevel,192245,609066,0.1406,0.1082,0.1583,0.1572,0.1067,0.1076,0.1083,0.1083,0.1157,0.1159,24,1.01
cant,62452,2034917,0.0973,0.3609,0.1142,0.1314,0.1248,0.1257,0.1256,0.1272,0.1289,0.1478,0,0.85
case39,40217,526139,0.0294,0.1035,0.038,0.0347,0.0347,0.0346,0.0333,0.0339,0.0339,0.0339,0,0.88
case9,14455,75801,0.0087,0.0121,0.011,0.011,0.0093,0.0086,0.0093,0.0101,0.0101,0.0102,32,1.01
c-big,345242,1343126,0.3596,0.3794,0.3758,0.3875,0.4333,0.4296,0.4232,0.3991,0.3823,0.3794,0,0.96
cbuckle,13682,345098,0.0197,0.042,0.0192,0.0192,0.02,0.0208,0.0208,0.0175,0.0183,0.0183,48,1.13
ccc,49153,73728,0.0199,0.0267,0.0233,0.0257,0.0265,0.0266,0.0265,0.0265,0.0265,0.0265,0,0.85
cfd1,70657,949510,0.0839,0.114,0.0986,0.1101,0.1018,0.1019,0.1002,0.101,0.106,0.1093,0,0.85
