dataSet,num_nodes1,num_edges1,time
144,144650,1074393,0.032
2D_27628_bjtcai,27629,442898,0.0089
2D_54019_highK,54020,996414,0.0175
333SP,3712816,11108633,1.4586
3D_28984_Tetra,28985,599170,0.0114
3D_51448_3D,51449,1056610,0.0185
3Dspectralwave,680944,17165766,0.4667
3Dspectralwave2,292009,7307376,0.2031
3dtube,45331,1629474,0.0278
598a,110972,741934,0.0245
a0nsdsil,80017,200021,0.0089
a2nnsnsl,80017,196115,0.0089
a5esindl,60009,145004,0.0071
adaptive,6815745,13624320,2.3825
af_0_k101,503626,9027150,0.2562
af_1_k101,503626,9027150,0.256
af_2_k101,503626,9027150,0.2561
af_3_k101,503626,9027150,0.2561
af_4_k101,503626,9027150,0.256
af_5_k101,503626,9027150,0.2561
af_shell1,504856,9046865,0.2567
af_shell10,1508066,27090195,0.7618
af_shell2,504856,9046865,0.2567
af_shell3,504856,9046865,0.2566
af_shell4,504856,9046865,0.2566
af_shell5,504856,9046865,0.2566
af_shell6,504856,9046865,0.2566
af_shell7,504856,9046865,0.2566
af_shell8,504856,9046865,0.2567
af_shell9,504856,9046865,0.2566
ak2010,45293,108549,0.0057
Andrews,60001,410077,0.015
AS365,3799276,11368076,1.775
as-caida,31380,106762,0.0051
ASIC_680k,682863,3871773,0.3044
as-Skitter,1696416,11095298,0.5738
astro-ph,16707,121251,0.0048
audikw_1,943696,39297771,0.9397
auto,448696,3314611,0.1585
barrier2-1,113077,3805068,0.0987
barrier2-10,115626,3897557,0.1009
barrier2-11,115626,3897557,0.1016
barrier2-12,115626,3897557,0.1016
barrier2-2,113077,3805068,0.099
barrier2-3,113077,3805068,0.0987
barrier2-4,113077,3805068,0.0987
barrier2-9,115626,3897557,0.1016
bauru5727,40367,145019,0.0057
bbmat,38745,1771722,0.0407
bcsstk17,10975,219812,0.0054
bcsstk18,11949,80519,0.0036
bcsstk25,15440,133840,0.0042
bcsstk29,13993,316740,0.007
bcsstk30,28925,1036208,0.0213
bcsstk31,35589,608502,0.0115
bcsstk32,44610,1029655,0.0181
bcsstk35,30238,740200,0.0135
bcsstk36,23053,583096,0.0111
bcsstk37,25504,583240,0.011
bcsstk39,46773,1068033,0.0186
bcsstm36,23053,166389,0.0045
belgium_osm,1441296,1549970,0.3985
BenElechi1,245875,6698185,0.1567
blockqp1,60013,340022,0.0092
bloweya,30005,80005,0.0041
bloweybl,30004,70001,0.0045
bmw3_2,227363,5757996,0.139
bmw7st_1,141348,3740507,0.0762
bmwcra_1,148771,5396386,0.1217
bone010,986704,36326514,0.7537
boneS01,127225,3421188,0.0555
boneS10,914899,28191660,0.6205
boyd1,93280,652246,0.0226
boyd2,466317,890091,0.0933
brack2,62632,366559,0.0099
brainpc2,27608,96601,0.0042
bratu3d,27793,88627,0.0044
Bump_2911,2911420,65320659,1.6383
bundle1,10582,390741,0.0082
bundle_adj,513352,10360701,0.2762
c-42,10472,60378,0.0033
c-43,11126,67400,0.0034
c-45,13207,93829,0.0038
c-46,14914,72655,0.0036
c-47,15344,113372,0.0048
c-48,18355,92217,0.0042
c-49,21133,89087,0.0044
c-50,22402,108013,0.0047
c-51,23197,113123,0.0048
c-52,23949,113332,0.0048
c-53,30236,201224,0.006
c-54,31794,211743,0.0065
c-55,32781,218115,0.0075
c-56,35911,208405,0.007
c-57,37834,221515,0.0064
c-58,37596,295076,0.0096
c-59,41283,260909,0.0085
c-60,43641,171109,0.0068
c-61,43619,176817,0.007
c-62,41732,300537,0.0104
c-62ghs,41732,300537,0.0103
c-63,44235,239469,0.0081
c-64,51036,384438,0.0093
c-64b,51036,384438,0.0093
c-65,48067,204297,0.0076
c-66,49990,274498,0.0084
c-66b,49990,274498,0.0084
c-67b,57976,294955,0.0085
c-68,64811,315408,0.0105
c-69,67459,345714,0.0105
c-70,68925,363955,0.011
c-71,76639,468096,0.0142
c-73,169423,724348,0.0195
c-73b,169423,724348,0.0195
ca-AstroPh,18773,198110,0.0077
ca-CondMat,23134,93497,0.0051
cage14,1505786,27130349,1.0041
cage15,5154860,99199551,4.7261
ca-HepPh,12009,118521,0.0055
caidaRouterLevel,192245,609066,0.0228
cant,62452,2034917,0.0337
case39,40217,526139,0.0107
case9,14455,75801,0.0033
c-big,345242,1343126,0.0933
cbuckle,13682,345098,0.0074
ccc,49153,73728,0.0055
cfd1,70657,949510,0.0187
Chebyshev4,68122,5377761,0.1434
circuit_4,80210,307604,0.0094
circuit5M,5558327,59524291,5.1394
circuit5M_dc,3523318,19194193,1.8179
citationCiteseer,268496,1156647,0.0414
cit-Patents,3774769,16518948,1.7983
ckt11752_dc_1,49703,333029,0.0093
ckt11752_tr_0,49703,333029,0.0093
cnr-2000,325558,3216152,0.1225
CO,221120,3943588,0.1143
coAuthorsCiteseer,227321,814134,0.0201
coAuthorsDBLP,299068,977676,0.0282
cond-mat-2003,31164,120029,0.0051
cond-mat-2005,40422,175693,0.0066
conf5_4-8x8-05,49153,1916928,0.0369
conf5_4-8x8-10,49153,1916928,0.0369
conf5_4-8x8-15,49153,1916928,0.0369
conf5_4-8x8-20,49153,1916928,0.0369
conf6_0-8x8-20,49153,1916928,0.0369
conf6_0-8x8-30,49153,1916928,0.0369
conf6_0-8x8-80,49153,1916928,0.0369
consph,83335,3046907,0.0497
cont-201,80596,239596,0.009
cont-300,180896,539396,0.0176
coPapersCiteseer,434103,16036720,0.3925
coPapersDBLP,540487,15245729,0.3985
copter1,17223,114143,0.0046
CoupCons3D,416801,22322336,0.5627
crankseg_1,52805,5333507,0.1334
crankseg_2,63839,7106348,0.1811
crplat2,18011,489478,0.0096
crystk02,13966,491274,0.0097
crystk03,24697,887937,0.0159
crystm02,13966,168435,0.0056
crystm03,24697,304233,0.0086
ct2010,67579,168176,0.0078
ct20stif,52330,1375396,0.0239
Cube_Coup_dt0,2164761,64685452,1.4378
Cube_Coup_dt6,2164761,64685452,1.4382
CurlCurl_0,11084,62213,0.0031
CurlCurl_4,2380516,14448191,0.8407
cvxqp3,17501,69981,0.0045
cyl6,13682,363961,0.0077
darcy003,389875,1167685,0.0719
dawson5,51538,531157,0.0108
dblp-2010,326187,807700,0.0243
dc3,116836,766396,0.0189
de2010,24116,58028,0.004
debr,1048577,2097149,0.3515
delaunay_n15,32769,98274,0.0043
delaunay_n16,65537,196575,0.0067
delaunay_n17,131073,393176,0.0113
delaunay_n18,262145,786396,0.0209
delaunay_n19,524289,1572823,0.1518
delaunay_n20,1048577,3145686,0.3131
delaunay_n21,2097153,6291408,0.6371
delaunay_n22,4194305,12582869,1.2739
denormal,89401,622812,0.0134
dictionary28,52653,89038,0.0049
dielFilterV2clx,607233,12958252,0.3471
