dataSet,num_nodes1,num_edges1,time
144,144650,1074393,0.1485
2D_27628_bjtcai,27629,442898,0.0329
2D_54019_highK,54020,996414,0.0818
333SP,3712816,11108633,3.4051
3D_28984_Tetra,28985,599170,0.0676
3D_51448_3D,51449,1056610,0.1966
3Dspectralwave,680944,17165766,1.2819
3Dspectralwave2,292009,7307376,0.5324
3dtube,45331,1629474,0.3381
598a,110972,741934,0.1151
a0nsdsil,80017,200021,0.7993
a2nnsnsl,80017,196115,0.774
a5esindl,60009,145004,1.4645
adaptive,6815745,13624320,5.8862
af_0_k101,503626,9027150,0.62
af_1_k101,503626,9027150,0.6221
af_2_k101,503626,9027150,0.6223
af_3_k101,503626,9027150,0.6211
af_4_k101,503626,9027150,0.6193
af_5_k101,503626,9027150,0.6191
af_shell1,504856,9046865,0.6233
af_shell10,1508066,27090195,1.9523
af_shell2,504856,9046865,0.6238
af_shell3,504856,9046865,0.6252
af_shell4,504856,9046865,0.6232
af_shell5,504856,9046865,0.6236
af_shell6,504856,9046865,0.6244
af_shell7,504856,9046865,0.6247
af_shell8,504856,9046865,0.6245
af_shell9,504856,9046865,0.6222
ak2010,45293,108549,0.0525
Andrews,60001,410077,0.0633
AS365,3799276,11368076,3.8683
as-caida,31380,106762,0.2472
ASIC_680k,682863,3871773,58.8932
as-Skitter,1696416,11095298,5.8264
astro-ph,16707,121251,0.0322
audikw_1,943696,39297771,2.5197
auto,448696,3314611,0.4957
barrier2-1,113077,3805068,1.1893
barrier2-10,115626,3897557,1.4008
barrier2-11,115626,3897557,1.4021
barrier2-12,115626,3897557,1.4014
barrier2-2,113077,3805068,1.1899
barrier2-3,113077,3805068,1.1892
barrier2-4,113077,3805068,1.1902
barrier2-9,115626,3897557,1.401
bauru5727,40367,145019,0.0324
bbmat,38745,1771722,0.1057
bcsstk17,10975,219812,0.0164
bcsstk18,11949,80519,0.01
bcsstk25,15440,133840,0.0132
bcsstk29,13993,316740,0.0217
bcsstk30,28925,1036208,0.0616
bcsstk31,35589,608502,0.0511
bcsstk32,44610,1029655,0.068
bcsstk35,30238,740200,0.0455
bcsstk36,23053,583096,0.036
bcsstk37,25504,583240,0.0361
bcsstk39,46773,1068033,0.0663
bcsstm36,23053,166389,0.0162
belgium_osm,1441296,1549970,1.0196
BenElechi1,245875,6698185,0.405
blockqp1,60013,340022,2.5774
bloweya,30005,80005,0.0135
bloweybl,30004,70001,0.0127
bmw3_2,227363,5757996,0.3691
bmw7st_1,141348,3740507,0.2441
bmwcra_1,148771,5396386,0.3389
bone010,986704,36326514,2.1957
boneS01,127225,3421188,0.2149
boneS10,914899,28191660,1.7688
boyd1,93280,652246,0.0761
boyd2,466317,890091,14.8589
brack2,62632,366559,0.0557
brainpc2,27608,96601,1.0977
bratu3d,27793,88627,0.0126
Bump_2911,2911420,65320659,4.5241
bundle1,10582,390741,0.1357
bundle_adj,513352,10360701,1.941
c-42,10472,60378,0.0935
c-43,11126,67400,0.1998
c-45,13207,93829,0.1713
c-46,14914,72655,0.1114
c-47,15344,113372,0.1697
c-48,18355,92217,0.02
c-49,21133,89087,0.0226
c-50,22402,108013,0.1578
c-51,23197,113123,0.0526
c-52,23949,113332,0.0259
c-53,30236,201224,0.3673
c-54,31794,211743,0.1666
c-55,32781,218115,0.0404
c-56,35911,208405,0.1337
c-57,37834,221515,1.0065
c-58,37596,295076,0.3617
c-59,41283,260909,0.0444
c-60,43641,171109,0.0383
c-61,43619,176817,0.0387
c-62,41732,300537,0.3544
c-62ghs,41732,300537,0.355
c-63,44235,239469,0.0468
c-64,51036,384438,0.9542
c-64b,51036,384438,0.9525
c-65,48067,204297,0.0789
c-66,49990,274498,0.6156
c-66b,49990,274498,0.6009
c-67b,57976,294955,0.2703
c-68,64811,315408,0.0649
c-69,67459,345714,0.0674
c-70,68925,363955,0.0669
c-71,76639,468096,0.0749
c-73,169423,724348,4.3573
c-73b,169423,724348,4.3128
ca-AstroPh,18773,198110,0.0381
ca-CondMat,23134,93497,0.0206
cage14,1505786,27130349,3.0883
cage15,5154860,99199551,12.3086
ca-HepPh,12009,118521,0.038
caidaRouterLevel,192245,609066,0.2562
cant,62452,2034917,0.1221
case39,40217,526139,2.0936
case9,14455,75801,0.5466
c-big,345242,1343126,1.237
cbuckle,13682,345098,0.0224
ccc,49153,73728,0.0341
cfd1,70657,949510,0.079
Chebyshev4,68122,5377761,0.2858
circuit_4,80210,307604,1.38
circuit5M,5558327,59524291,203.8488
circuit5M_dc,3523318,19194193,4.0803
citationCiteseer,268496,1156647,0.3105
cit-Patents,3774769,16518948,5.0284
ckt11752_dc_1,49703,333029,0.4232
ckt11752_tr_0,49703,333029,0.4238
cnr-2000,325558,3216152,2.3844
CO,221120,3943588,0.3156
coAuthorsCiteseer,227321,814134,0.3418
coAuthorsDBLP,299068,977676,0.2588
cond-mat-2003,31164,120029,0.0262
cond-mat-2005,40422,175693,0.0414
conf5_4-8x8-05,49153,1916928,0.1154
conf5_4-8x8-10,49153,1916928,0.1147
conf5_4-8x8-15,49153,1916928,0.1148
conf5_4-8x8-20,49153,1916928,0.1148
conf6_0-8x8-20,49153,1916928,0.1153
