dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,8,16,24,32,40,48,56,64,density,speedup
barrier2-4,113077,3805068,0.0747,0.0894,0.0815,0.0979,0.0879,0.0901,0.088,0.0863,0.0905,0.0922,0,0.92
barrier2-9,115626,3897557,0.0762,0.0914,0.0839,0.1003,0.0954,0.0986,0.0904,0.0921,0.0921,0.0946,0,0.91
bauru5727,40367,145019,0.0084,0.0221,0.0082,0.0102,0.0201,0.0224,0.0224,0.0225,0.0225,0.0224,8,1.02
bbmat,38745,1771722,0.015,0.0445,0.0167,0.0192,0.0306,0.0307,0.0307,0.0299,0.0282,0.0282,0,0.9
bcsstk17,10975,219812,0.005,0.008,0.0053,0.0053,0.0061,0.0069,0.007,0.0069,0.0077,0.0086,0,0.94
bcsstk18,11949,80519,0.0047,0.0081,0.0053,0.0061,0.0077,0.0085,0.0085,0.0086,0.0086,0.0086,0,0.89
bcsstk25,15440,133840,0.0052,0.0098,0.0053,0.007,0.0084,0.0093,0.0094,0.0094,0.0095,0.0103,0,0.98
bcsstk29,13993,316740,0.0055,0.0098,0.0054,0.0061,0.0062,0.007,0.007,0.0078,0.0085,0.0086,8,1.02
bcsstk30,28925,1036208,0.0102,0.0251,0.0111,0.0118,0.0136,0.0151,0.0168,0.0184,0.0184,0.0192,0,0.92
bcsstk31,35589,608502,0.0097,0.0208,0.0111,0.0127,0.0135,0.0168,0.0201,0.0208,0.0217,0.0201,0,0.87
bcsstk32,44610,1029655,0.0143,0.0267,0.015,0.0143,0.0176,0.02,0.0217,0.0233,0.0249,0.0258,0,1.0
bcsstk35,30238,740200,0.0102,0.0193,0.011,0.0118,0.0135,0.0152,0.0167,0.0176,0.0184,0.02,0,0.93
bcsstk36,23053,583096,0.0073,0.0149,0.0078,0.0078,0.0094,0.011,0.0119,0.0126,0.0127,0.0135,0,0.94
bcsstk37,25504,583240,0.008,0.0158,0.0078,0.0078,0.0094,0.011,0.0118,0.0127,0.0126,0.0135,8,1.03
bcsstk39,46773,1068033,0.0105,0.0259,0.011,0.0135,0.0143,0.0143,0.0168,0.0208,0.0242,0.0307,0,0.95
bcsstm36,23053,166389,0.0061,0.0085,0.0062,0.0069,0.007,0.0078,0.0077,0.0086,0.0078,0.0086,0,0.98
belgium_osm,1441296,1549970,0.1369,0.6896,0.1771,0.7132,0.7132,0.7133,0.7138,0.7134,0.7131,0.7132,0,0.77
BenElechi1,245875,6698185,0.0405,0.1252,0.043,0.0406,0.0577,0.0831,0.0834,0.0839,0.0839,0.0848,0,1.0
blockqp1,60013,340022,0.0368,0.0326,0.0365,0.0413,0.0323,0.0323,0.0324,0.0323,0.0323,0.0323,24,1.01
bloweya,30005,80005,0.0194,0.0172,0.02,0.0192,0.0143,0.0177,0.0176,0.0173,0.0179,0.0176,24,1.2
bloweybl,30004,70001,0.0194,0.0172,0.02,0.0192,0.0143,0.0175,0.0176,0.0175,0.0175,0.0176,24,1.2
bmw3_2,227363,5757996,0.1154,0.146,0.1084,0.1191,0.1308,0.1413,0.1249,0.1347,0.1307,0.1372,8,1.06
bmw7st_1,141348,3740507,0.0813,0.0929,0.0855,0.0913,0.0815,0.0872,0.0938,0.0986,0.1036,0.1085,0,1.0
bmwcra_1,148771,5396386,0.0588,0.1203,0.0626,0.0627,0.0716,0.0789,0.0881,0.0987,0.0847,0.0904,0,0.94
bone010,986704,36326514,0.3138,0.9041,0.3383,0.4141,0.428,0.4494,0.4893,0.5916,0.602,0.6174,0,0.93
boneS01,127225,3421188,0.0265,0.0901,0.029,0.0348,0.0405,0.0471,0.0528,0.0577,0.0635,0.0676,0,0.91
boneS10,914899,28191660,0.2605,0.712,0.2838,0.3349,0.369,0.4105,0.458,0.5057,0.5362,0.568,0,0.92
boyd1,93280,652246,0.06,0.0589,0.0602,0.0532,0.0526,0.0528,0.054,0.0541,0.0569,0.0565,24,1.12
boyd2,466317,890091,0.2625,0.2337,0.2732,0.256,0.2339,0.2339,0.2338,0.2339,0.2339,0.2339,128,1.0
brack2,62632,366559,0.015,0.0329,0.0168,0.0242,0.025,0.0298,0.0323,0.0331,0.0332,0.0332,0,0.89
brainpc2,27608,96601,0.0049,0.0158,0.0078,0.0135,0.0135,0.0135,0.0151,0.0151,0.016,0.0167,0,0.63
bratu3d,27793,88627,0.0047,0.0099,0.0053,0.0095,0.0103,0.0103,0.0102,0.0102,0.0102,0.0102,0,0.89
Bump_2911,2911420,65320659,0.7071,1.5167,0.7798,0.8969,1.0401,1.2935,1.677,1.7531,1.8087,1.9102,0,0.91
bundle1,10582,390741,0.0064,0.0107,0.007,0.007,0.0077,0.0078,0.0078,0.0086,0.0094,0.0094,0,0.91
bundle_adj,513352,10360701,0.1303,0.3077,0.1634,0.188,0.2257,0.2633,0.283,0.3027,0.2855,0.2969,0,0.8
c-42,10472,60378,0.0087,0.0075,0.0085,0.0086,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078,128,0.96
c-43,11126,67400,0.006,0.0077,0.0061,0.0077,0.0085,0.0086,0.0085,0.0087,0.0086,0.0086,0,0.98
c-45,13207,93829,0.0044,0.0088,0.0053,0.0085,0.0087,0.0094,0.0094,0.0094,0.0093,0.0094,0,0.83
c-46,14914,72655,0.006,0.0096,0.0062,0.0094,0.0102,0.0102,0.0101,0.0102,0.0102,0.0102,0,0.97
c-47,15344,113372,0.0119,0.0114,0.0119,0.0119,0.0118,0.0119,0.0119,0.0118,0.0119,0.0119,128,0.97
c-48,18355,92217,0.013,0.0115,0.0135,0.0134,0.0119,0.0118,0.0118,0.0118,0.0118,0.0119,128,0.97
