dataSet,rows_,columns_,nonzeros_,Sputnik_time,sputnik_gflops,ours_time,ours_gflops
144, 144649, 144649, 1074393, 75.129410, 1.830472, 0.057139,2406.794356
2D_27628_bjtcai, 27628, 27628, 442898, 2.954528, 9.593909, 0.011062,2562.325706
2D_54019_highK, 54019, 54019, 996414, 11.278337, 5.654247, 0.018330,3479.099257
333SP, 3712815, 3712815, 11108633, 0.000102, 13885791.285058, 1.799475,790.177577
3D_28984_Tetra, 28984, 28984, 599170, 3.251405, 11.793942, 0.013210,2902.955590
3D_51448_3D, 51448, 51448, 1056610, 10.229734, 6.610440, 0.019450,3476.834382
3Dspectralwave, 680943, 680943, 17165766, 1644.266357, 1.309786, 1.692666,1272.334951
3Dspectralwave2, 292008, 292008, 7307376, 303.819244, 3.017109, 0.706867,1296.786147
3dtube, 45330, 45330, 1629474, 7.966291, 25.817730, 0.118678,1733.015839
598a, 110971, 110971, 741934, 45.560013, 2.084450, 0.042192,2250.842616
a0nsdsil, 80016, 80016, 200021, 24.126055, 0.941811, 0.013619,1668.392931
a2nnsnsl, 80016, 80016, 196115, 23.960781, 0.927441, 0.013517,1644.043548
a5esindl, 60008, 60008, 145004, 13.652479, 1.195406, 0.010854,1503.561328
adaptive, 6815744, 6815744, 13624320, 0.000205, 8515200.021499, 2.474598,704.725673
af_0_k101, 503625, 503625, 9027150, 900.340637, 1.247576, 1.284710,874.316261
af_1_k101, 503625, 503625, 9027150, 900.962524, 1.246715, 1.284800,874.255322
af_2_k101, 503625, 503625, 9027150, 901.121704, 1.246494, 1.284784,874.266159
af_3_k101, 503625, 503625, 9027150, 901.224487, 1.246352, 1.284678,874.338069
af_4_k101, 503625, 503625, 9027150, 900.663940, 1.247128, 1.284374,874.544974
af_5_k101, 503625, 503625, 9027150, 901.292786, 1.246258, 1.284582,874.403369
af_shell1, 504855, 504855, 9046865, 905.330933, 1.243399, 1.286144,875.242606
af_shell10, 1508065, 1508065, 27090195, 8060.981445, 0.418191, 3.868979,871.296683
af_shell2, 504855, 504855, 9046865, 905.285767, 1.243462, 1.285939,875.381966
af_shell3, 504855, 504855, 9046865, 905.320618, 1.243414, 1.286656,874.894301
af_shell4, 504855, 504855, 9046865, 905.259766, 1.243497, 1.286042,875.312248
af_shell5, 504855, 504855, 9046865, 905.237427, 1.243528, 1.286550,874.966093
af_shell6, 504855, 504855, 9046865, 905.151489, 1.243646, 1.286637,874.907335
af_shell7, 504855, 504855, 9046865, 905.303345, 1.243437, 1.286374,875.085837
af_shell8, 504855, 504855, 9046865, 905.243164, 1.243520, 1.286451,875.033551
af_shell9, 504855, 504855, 9046865, 905.195923, 1.243585, 1.286246,875.172910
ak2010, 45292, 45292, 108549, 7.926989, 1.752781, 0.012902,1076.875009
Andrews, 60000, 60000, 410077, 13.909505, 3.497598, 0.027341,1779.386732
AS365, 3799275, 3799275, 11368076, 0.000205, 7105047.517939, 2.609357,557.652247
as-caida, 31379, 31379, 106762, 3.806208, 1.795164, 0.009114,749.733137
ASIC_680k, 682862, 682862, 3871773, 1654.534424, 0.149766, 0.222691,1112.722324
as-Skitter, 1696415, 1696415, 11095298, 10199.912109, 0.139236, 1.276826,1112.288259
astro-ph, 16706, 16706, 121251, 1.086022, 14.290799, 0.013299,1166.997118
audikw_1, 943695, 943695, 39297771, 3160.140869, 1.572626, 3.746951,1326.336755
auto, 448695, 448695, 3314611, 714.952515, 0.593424, 0.221901,1911.981453
barrier2-1, 113076, 113076, 3805068, 46.793526, 5.204232, 0.187603,1298.082083
barrier2-10, 115625, 115625, 3897557, 48.670723, 5.125127, 0.191901,1299.857248
barrier2-11, 115625, 115625, 3897557, 48.622593, 5.130201, 0.191898,1299.878970
barrier2-12, 115625, 115625, 3897557, 48.679123, 5.124243, 0.192077,1298.666185
barrier2-2, 113076, 113076, 3805068, 46.825043, 5.200729, 0.187597,1298.126379
barrier2-3, 113076, 113076, 3805068, 46.847385, 5.198249, 0.187696,1297.440259
barrier2-4, 113076, 113076, 3805068, 46.803841, 5.203085, 0.187494,1298.835356
barrier2-9, 115625, 115625, 3897557, 48.651367, 5.127166, 0.192000,1299.185696
bauru5727, 40366, 40366, 145019, 6.296765, 1.473966, 0.010413,891.327570
bbmat, 38744, 38744, 1771722, 5.832192, 19.442126, 0.047411,2391.633349
bcsstk17, 10974, 10974, 219812, 0.472883, 58.013483, 0.021798,1258.514353
bcsstk18, 11948, 11948, 80519, 0.557286, 17.121824, 0.007978,1196.069046
bcsstk25, 15439, 15439, 133840, 0.928768, 17.381547, 0.009715,1661.666630
bcsstk29, 13992, 13992, 316740, 0.769155, 51.546464, 0.030630,1294.375228
bcsstk30, 28924, 28924, 1036208, 3.259766, 40.120509, 0.070963,1842.976244
bcsstk31, 35588, 35588, 608502, 4.912742, 15.390717, 0.048845,1547.976958
bcsstk32, 44609, 44609, 1029655, 7.712630, 16.718144, 0.094710,1361.422474
bcsstk35, 30237, 30237, 740200, 3.546829, 26.167158, 0.069325,1338.776823
bcsstk36, 23052, 23052, 583096, 2.066819, 35.397852, 0.055398,1320.633119
bcsstk37, 25503, 25503, 583240, 2.525901, 28.909499, 0.054579,1337.918661
bcsstk39, 46772, 46772, 1068033, 8.466637, 15.793144, 0.113971,1173.233403
bcsstm36, 23052, 23052, 166389, 2.057421, 9.973062, 0.011981,1712.638842
belgium_osm, 1441295, 1441295, 1549970, 7363.139160, 0.026945, 0.280166,708.136850
BenElechi1, 245874, 245874, 6698185, 215.652756, 3.902717, 0.690074,1219.626083
blockqp1, 60012, 60012, 340022, 13.908564, 2.945100, 0.016384,2500.128969
bloweya, 30004, 30004, 80005, 3.480474, 2.758411, 0.008090,1186.780099
bloweybl, 30003, 30003, 70001, 3.480087, 2.206842, 0.007258,1058.201039
bmw3_2, 227362, 227362, 5757996, 184.447906, 3.916945, 0.583699,1237.747707
bmw7st_1, 141347, 141347, 3740507, 72.203568, 6.505754, 0.372960,1259.488133
bmwcra_1, 148770, 148770, 5396386, 80.939110, 8.416402, 0.463478,1469.790384
bone010, 986703, 986703, 36326514, 3453.466064, 1.328128, 3.094342,1482.268015
