dataSet,num_nodes,num_edges,dtc
filter3D,106438,1406808,0.4150272011756897
finance256,37377,167936,0.1006975993514061
Flan_1565,1564795,59485419,6.249574184417725
flickr,820879,9837214,3.460505723953247
foldoc,13357,120238,0.05369279906153679
Freescale1,3428756,18920347,14.330854415893555
fullb,199188,5953632,0.7705599665641785
fxm4_6,18893,258368,0.06488959491252899
G2_circuit,150103,438388,0.5152767896652222
G3_circuit,1585479,4623152,5.534207820892334
Ga10As10H30,113082,3114357,0.5106688141822815
Ga19As19H42,133124,4508981,0.6138879656791687
Ga3As3H12,61350,3016148,0.274944007396698
Ga41As41H72,268097,9378286,1.2224512100219727
GaAsH6,61350,1721579,0.25210878252983093
gas_sensor,66918,885141,0.21155838668346405
Ge87H76,112986,4002590,0.5229567885398865
Ge99H100,112986,4282190,0.5277696251869202
gearbox,153747,4617075,0.6535168290138245
Geo_1438,1437961,32297325,5.607903957366943
gridgena,48963,280523,0.1296384036540985
gsm_106857,589447,11174185,4.374425411224365
gupta1,31803,1098006,0.11353280395269394
gupta2,62065,2155175,0.22036480903625488
gupta3,16784,4670105,0.1264704018831253
gyro,17362,519260,0.06569920480251312
gyro_k,17362,519260,0.06604800373315811
gyro_m,17362,178896,0.06430719792842865
H2O,67025,1141880,0.26275840401649475
halfb,224618,6306219,0.8625151515007019
Hamrle3,1447361,5514242,5.170701026916504
hangGlider_4,15562,79088,0.07249920070171356
hangGlider_5,16012,82070,0.0727040022611618
helm2d03,392258,1567096,1.3515903949737549
helm3d01,32227,230335,0.12901440262794495
hi2010,25017,62063,0.09973759949207306
hollywood-2009,1139906,57515616,7.107789039611816
hood,220543,5494489,0.8482815623283386
Hook_1498,1498024,31207734,5.710038185119629
HTC_336_4438,226341,565431,0.7664639949798584
HTC_336_9129,226341,554881,0.7710720300674438
hugetric-00000,5824555,8733523,17.559484481811523
human_gene1,22284,12345963,0.7685152292251587
human_gene2,14341,9041364,0.4542463719844818
HV15R,2017170,283073458,11.3588228225708
ibm_matrix_2,51449,1056610,0.15589120984077454
igbt3,10939,234006,0.058265604078769684
in-2004,1382909,16917053,4.4348225593566895
inlet,11731,328323,0.05724160000681877
inline_1,503713,18660027,2.1318624019622803
italy_osm,6686494,7013978,20.36467170715332
jan99jac120sc,41375,260202,0.11670080572366714
juba40k,40338,144945,0.10895039886236191
k3plates,11108,378927,0.05621759966015816
kim1,38416,933195,0.12223360687494278
kkt_power,2063495,8130343,7.666995048522949
kron_g500-logn16,65537,2456398,0.43400001525878906
kron_g500-logn17,131073,5114375,0.9128864407539368
kron_g500-logn18,262145,10583222,1.8473984003067017
kron_g500-logn19,524289,21781478,3.94250226020813
kron_g500-logn20,1048577,44620272,8.472354888916016
laminar_duct3D,67174,3833077,0.31109121441841125
language,399131,1216334,1.4593024253845215
largebasis,440021,5560100,1.8294785022735596
ldoor,952204,23737339,3.583385467529297
lhr34,35153,764014,0.12537600100040436
lhr34c,35153,764014,0.12328960001468658
lhr71,70305,1528092,0.24115200340747833
lhr71c,70305,1528092,0.24481599032878876
li,22696,1350309,0.09566400200128555
ljournal-2008,5363261,79023142,27.702922821044922
Long_Coup_dt0,1470153,44279572,5.897727966308594
Long_Coup_dt6,1470153,44279572,5.898547172546387
lowThrust_10,18261,116074,0.08570880442857742
lowThrust_11,18369,117002,0.08632320165634155
lowThrust_12,18459,117423,0.08670400083065033
lowThrust_13,18477,117580,0.08744959533214569
lowThrust_4,13563,84240,0.06756799668073654
lowThrust_5,16263,103701,0.06901760399341583
lowThrust_6,16929,108376,0.07802879810333252
lowThrust_7,17379,110607,0.07946239411830902
lowThrust_8,17703,113139,0.08663039654493332
lowThrust_9,18045,114806,0.08529920130968094
lp1,534389,1088904,1.6558303833007812
luxembourg_osm,114600,119666,0.37528640031814575
m14b,214766,1679018,0.8388863801956177
mario001,38435,114643,0.1108991950750351
mario002,389875,1167685,1.403801679611206
mark3jac040sc,18290,113435,0.06461440026760101
mark3jac060sc,27450,170695,0.08110079914331436
me2010,69519,167738,0.21589119732379913
memplus,17759,126150,0.0639071986079216
mip1,66464,5209641,0.2687999904155731
ML_Laplace,377003,27689972,1.7101824283599854
mouse_gene,45102,14506196,1.3478015661239624
msc10848,10849,620313,0.06656000018119812
msc23052,23053,588933,0.08191999793052673
msdoor,415864,10328399,1.5878080129623413
m_t1,97579,4925574,0.40519681572914124
mult_dcop_01,25188,193276,0.0850943997502327
mult_dcop_02,25188,193276,0.08488960564136505
mult_dcop_03,25188,193216,0.08468480408191681
NACA0015,1039184,3114818,3.8589439392089844
nasasrb,54871,1366097,0.1636672019958496
nd12k,36001,7128473,0.199372798204422
nd24k,72001,14393817,0.43007999658584595
nd6k,18001,3457658,0.10383360087871552
net100,29921,1031560,0.18391039967536926
net125,36721,1306960,0.21821439266204834
net150,43521,1582360,0.2391040027141571
net4-1,88344,1265035,0.3552256226539612
net50,16321,480760,0.14209920167922974
net75,23121,756160,0.15120960772037506
netherlands_osm,2216689,2441238,6.796082973480225
nh2010,48838,117275,0.15800319612026215
NLR,4163764,12487976,15.769088745117188
NotreDame_www,325730,929849,0.7590911984443665
nv2010,84539,208499,0.3328736126422882
ohne2,181344,11063545,1.1214015483856201
oilpan,73753,1835470,0.24565760791301727
olafu,16147,515651,0.0629567950963974
onetone2,36058,227628,0.10035200417041779
OPF_10000,43888,255799,0.1200127974152565
opt1,15450,973052,0.07086079567670822
p2p-Gnutella31,62587,147892,0.15902718901634216
parabolic_fem,525826,2100225,1.984217643737793
patents,3774769,14970767,11.569253921508789
pattern1,19243,4671337,0.3988479971885681
pcrystk02,13966,491274,0.06430719792842865
pcrystk03,24697,887937,0.09308160096406937
pct20stif,52330,1375396,0.15940159559249878
pdb1HYS,36418,2190591,0.12892159819602966
pds10,16559,83108,0.05672960355877876
PFlow_742,742794,18940627,2.908057689666748
pkustk01,22045,500712,0.07618559896945953
pkustk02,10801,410400,0.06533120572566986
pkustk03,63337,1596876,0.1955839991569519
pkustk04,55591,2137125,0.22312960028648376
pkustk05,37165,1121154,0.12790720164775848
pkustk06,43165,1307466,0.1477632075548172
pkustk07,16861,1217832,0.08480320125818253
pkustk08,22210,1624440,0.10474560409784317
pkustk09,33961,808800,0.10772160440683365
pkustk10,80677,2194830,0.2892799973487854
pkustk11,87805,2652858,0.32542720437049866
pkustk12,94654,3803485,0.4185088276863098
pkustk13,94894,3355860,0.406006395816803
pkustk14,151927,7494215,0.6789215803146362
pli,22696,686502,0.0893952026963234
PR02R,161071,8185136,0.7221248149871826
Pres_Poisson,14823,365313,0.06919680535793304
pwtk,217919,5926171,0.8819583654403687
qa8fk,66128,863353,0.2276351898908615
qa8fm,66128,863353,0.2266112118959427
raefsky3,21201,1488768,0.08181759715080261
raefsky4,19780,674195,0.07731200009584427
rajat15,37262,443573,0.13424639403820038
rajat22,39900,197264,0.14131200313568115
rajat26,51033,249302,0.16998399794101715
ramage02,16831,1441591,0.09533439576625824
Reuters911,13333,148038,0.09246720373630524
rgg_n_2_15_s0,32769,160240,0.1119232028722763
rgg_n_2_22_s0,4194305,30359198,16.111515045166016
ri2010,25182,62875,0.11224000155925751
rim,22561,1014951,0.08181759715080261
RM07R,381690,37464962,2.0019168853759766
rma10,46836,2374001,0.1527712047100067
roadNet-CA,1971282,2766607,6.088601589202881
roadNet-PA,1090921,1541898,3.3764350414276123
roadNet-TX,1393384,1921660,4.292505741119385
s3dkq4m2,90450,2455670,0.32378238439559937
s3dkt3m2,90450,1921955,0.3157183825969696
s4dkt3m2,90450,1921955,0.3180543780326843
Serena,1391350,32961525,5.657395362854004
shermanACb,18511,145149,0.07055360078811646
ship_001,34921,2339575,0.13854721188545227
ship_003,121729,4103881,0.5040160417556763
shipsec1,140875,3977139,0.5679872035980225
shipsec5,179861,5146478,0.7178400158882141
shipsec8,114920,3384159,0.4337664246559143
Si10H16,17078,446500,0.08345599472522736
Si34H36,97570,2626974,0.4494592249393463
Si41Ge41H72,185640,7598452,0.867734432220459
Si5H12,19897,379247,0.08445440232753754
Si87H76,240370,5451000,1.0688320398330688
sinc15,11533,568526,0.10188800096511841
SiO,33402,675528,0.13855040073394775
SiO2,155332,5719417,0.7375040054321289
skirt,12599,104559,0.05816320329904556
smallworld,100001,499998,0.34222081303596497
sme3Dc,42931,3148656,0.4801536202430725
smt,25711,1889447,0.11008000373840332
soc-LiveJournal1,4847572,68993773,31.707239151000977
soc-sign-Slashdot090221,82145,549202,0.27883201837539673
sparsine,50001,799494,0.22414080798625946
srb1,54925,1508538,0.1616896092891693
Stanford,281904,2312497,1.2904351949691772
std1_Jac2,21983,1248731,0.1443839967250824
std1_Jac3,21983,1455848,0.12308479845523834
stokes128,49667,295938,0.1319936066865921
stokes64,12547,74242,0.05273600295186043
struct3,53571,613632,0.15093760192394257
t2dah,11446,93781,0.05273600295186043
t2dah_a,11446,93781,0.05294079706072807
t2dah_e,11446,93781,0.05212799832224846
t3dh,79172,2215638,0.305459201335907
t3dh_a,79172,2215638,0.3012607991695404
t3dh_e,79172,2215638,0.3013920187950134
t3dl,20361,265113,0.07013440132141113
t3dl_a,20361,265113,0.07034239917993546
tandem_vtx,18455,135902,0.07125759869813919
ted_A,10606,424587,0.06819839775562286
ted_AB,10606,522387,0.062463998794555664
ted_AB_unscaled,10606,522387,0.06215040013194084
ted_A_unscaled,10606,424587,0.06778879463672638
ted_B_unscaled,10606,77592,0.06368960440158844
thread,29737,2249892,0.11684159934520721
tmt_sym,726714,2903837,2.484633684158325
torso1,116159,8516500,0.5107711553573608
transient,178867,961790,0.6534143686294556
trdheim,22099,978711,0.07663039863109589
Trefethen_20000,20001,287233,0.08355839550495148
Trefethen_20000b,20000,287217,0.08642560243606567
troll,213454,6099282,0.8430496454238892
TSOPF_FS_b162_c1,10799,305732,0.049561597406864166
TSOPF_FS_b162_c3,30799,904612,0.07741440087556839
TSOPF_FS_b162_c4,40799,1204322,0.0979968011379242
TSOPF_FS_b300,29215,2203949,0.10577919334173203
TSOPF_FS_b300_c1,29215,2203949,0.10393600165843964
TSOPF_FS_b300_c2,56815,4391071,0.16230399906635284
TSOPF_FS_b300_c3,84415,6578753,0.2705408036708832
TSOPF_FS_b39_c19,76217,998359,0.16476160287857056
TSOPF_FS_b39_c30,120217,1575639,0.28569599986076355
TSOPF_FS_b39_c7,28217,368599,0.0730815976858139
TSOPF_FS_b9_c6,14455,75801,0.053359996527433395
TSOPF_RS_b162_c3,15375,610299,0.06009920313954353
TSOPF_RS_b162_c4,20375,812749,0.07096319645643234
TSOPF_RS_b2052_c1,25627,6761100,0.15749119222164154
TSOPF_RS_b2383,38121,16171169,0.29041919112205505
TSOPF_RS_b2383_c1,38121,16171169,0.29153281450271606
TSOPF_RS_b300_c1,14539,1474325,0.08007679879665375
TSOPF_RS_b300_c2,28339,2943887,0.11960320174694061
TSOPF_RS_b300_c3,42139,4413449,0.1635328084230423
TSOPF_RS_b39_c19,38099,684206,0.11666560173034668
TSOPF_RS_b39_c30,60099,1079986,0.18472960591316223
TSOPF_RS_b39_c7,14099,252446,0.056115198880434036
TSOPF_RS_b678_c1,18697,4396289,0.11745280027389526
TSOPF_RS_b678_c2,35697,8781949,0.21913599967956543
tsyl201,20686,1237821,0.11018240451812744
tube1,21499,459277,0.08150719851255417
tube2,21499,459277,0.08693759888410568
turon_m,189925,912345,0.666592001914978
usroads,129165,165435,0.4154016077518463
usroads-48,126147,161950,0.40314561128616333
vanbody,47073,1191985,0.1477632075548172
venturiLevel3,4026820,8054237,12.959744453430176
vibrobox,12329,177578,0.057548798620700836
viscorocks,37763,1162244,0.11909119784832001
vsp_barth5_1Ksep_50in_5Kout,32213,101805,0.12697599828243256
vsp_bcsstk30_500sep_10in_1Kout,58349,2016578,0.397926390171051
vsp_befref_fxm_2_4_air02,14110,98224,0.08775679767131805
vsp_bump2_e18_aa01_model1_crew1,56439,300801,0.2514944076538086
vsp_c-30_data_data,11024,62184,0.051814399659633636
vsp_c-60_data_cti_cs4,85831,241080,0.17766401171684265
vsp_finan512_scagr7-2c_rlfddd,139753,552020,0.4383743703365326
vsp_mod2_pgp2_slptsk,101365,389368,0.3585279881954193
vsp_model1_crew1_cr42_south31,45102,189976,0.13086719810962677
vsp_msc10848_300sep_100in_1Kout,21997,1221028,0.2099200040102005
vsp_p0291_seymourl_iiasa,10499,53868,0.06625279784202576
vsp_sctap1-2b_and_seymourl,40175,140831,0.14139200747013092
vsp_south31_slptsk,39669,189914,0.12873920798301697
vsp_vibrobox_scagr7-2c_rlfddd,77329,435586,0.22261759638786316
vt2010,32581,77799,0.10476479679346085
wathen100,30402,251001,0.08673279732465744
wathen120,36442,301101,0.10074559599161148
web-Google,916429,5105039,3.846349000930786
web-NotreDame,325730,1497134,0.8605695962905884
wikipedia-20051105,1634990,19753078,8.406864166259766
wikipedia-20060925,2983495,37269096,16.742399215698242
wikipedia-20061104,3148441,39383235,17.780012130737305
wikipedia-20070206,3566908,45030389,20.48952293395996
windscreen,22693,752541,0.09625600278377533
wing_nodal,10938,75488,0.0770048052072525
wy2010,86205,213793,0.31569918990135193
x104,108385,5138004,0.4638720154762268
Zd_Jac2,22836,1642833,0.1438719928264618
Zd_Jac3,22836,1916152,0.13854721188545227
Zd_Jac6,22836,1711983,0.13178880512714386
