dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,8,16,24,32,40,48,56,64,density,speedup
144,144650,1074393,0.0605,0.0719,0.0667,0.0833,0.0749,0.0742,0.0725,0.0724,0.0725,0.0724,0,0.91
2D_27628_bjtcai,27629,442898,0.0115,0.017,0.0118,0.0119,0.011,0.0118,0.0135,0.0184,0.0176,0.0176,24,1.05
2D_54019_highK,54020,996414,0.0337,0.0338,0.0348,0.0372,0.0201,0.0209,0.0233,0.0307,0.0315,0.0339,24,1.68
333SP,3712816,11108633,1.3535,2.1448,1.6816,2.0461,2.4108,2.4091,2.4089,2.4094,2.409,2.4084,0,0.8
3D_28984_Tetra,28985,599170,0.0199,0.021,0.02,0.0209,0.0217,0.0242,0.0177,0.0208,0.02,0.02,40,1.12
3D_51448_3D,51449,1056610,0.0325,0.035,0.034,0.0356,0.0225,0.0274,0.034,0.0356,0.034,0.0331,24,1.44
3Dspectralwave,680944,17165766,0.4885,0.8114,0.5938,0.6797,0.6269,0.6382,0.6811,0.7219,0.8046,0.8387,0,0.82
3Dspectralwave2,292009,7307376,0.2103,0.3468,0.251,0.2882,0.2578,0.2611,0.2814,0.2956,0.3283,0.351,0,0.84
3dtube,45331,1629474,0.0303,0.0705,0.0307,0.0315,0.0356,0.0372,0.0376,0.0446,0.034,0.0373,0,0.99
598a,110972,741934,0.0394,0.0552,0.0529,0.0635,0.0553,0.0561,0.0561,0.0561,0.0561,0.0561,0,0.74
a0nsdsil,80017,200021,0.0391,0.0351,0.0398,0.0405,0.0357,0.0356,0.0356,0.0358,0.0358,0.0356,128,0.99
a2nnsnsl,80017,196115,0.0392,0.035,0.0389,0.0421,0.0356,0.0356,0.0356,0.0356,0.0356,0.0356,128,0.98
a5esindl,60009,145004,0.0308,0.0274,0.0307,0.0315,0.0274,0.0274,0.0275,0.0282,0.0283,0.0282,128,1.0
adaptive,6815745,13624320,1.8396,3.268,1.7513,2.4223,3.8692,3.9771,3.9069,3.9766,3.9045,3.9768,8,1.05
af_0_k101,503626,9027150,0.1224,0.286,0.1289,0.1286,0.1283,0.1467,0.1619,0.2178,0.3303,0.331,0,0.95
af_1_k101,503626,9027150,0.1241,0.3073,0.129,0.1278,0.1278,0.1465,0.1623,0.2176,0.3309,0.3309,0,0.97
af_2_k101,503626,9027150,0.1243,0.3073,0.1295,0.1281,0.1291,0.1465,0.1621,0.2177,0.3305,0.331,0,0.97
af_3_k101,503626,9027150,0.1243,0.3072,0.129,0.1282,0.1286,0.1463,0.1619,0.2179,0.3308,0.3306,0,0.97
af_4_k101,503626,9027150,0.1242,0.3075,0.1295,0.1283,0.1291,0.1463,0.1618,0.2175,0.3304,0.33,0,0.97
af_5_k101,503626,9027150,0.1242,0.3073,0.1293,0.1284,0.1289,0.1461,0.1619,0.2179,0.3305,0.3312,0,0.97
af_shell1,504856,9046865,0.1441,0.3081,0.1413,0.1288,0.1298,0.1443,0.1702,0.2198,0.332,0.3323,16,1.12
af_shell10,1508066,27090195,0.3727,0.9147,0.3748,0.4184,0.4204,0.4937,0.5514,0.6961,0.9965,0.997,0,0.99
af_shell2,504856,9046865,0.138,0.308,0.1412,0.1293,0.1298,0.1435,0.1703,0.2192,0.3322,0.3334,16,1.07
af_shell3,504856,9046865,0.138,0.308,0.1416,0.129,0.1303,0.1438,0.1702,0.2192,0.3319,0.3323,16,1.07
af_shell4,504856,9046865,0.138,0.3082,0.1413,0.1292,0.1297,0.1438,0.1697,0.2194,0.332,0.3323,16,1.07
af_shell5,504856,9046865,0.1381,0.3082,0.1413,0.1294,0.1295,0.1435,0.1698,0.2197,0.3321,0.3326,16,1.07
af_shell6,504856,9046865,0.1381,0.3081,0.1417,0.1289,0.1294,0.1436,0.1704,0.2197,0.332,0.3327,16,1.07
af_shell7,504856,9046865,0.138,0.3082,0.1414,0.129,0.1302,0.1444,0.1699,0.2192,0.3319,0.3326,16,1.07
af_shell8,504856,9046865,0.138,0.3081,0.1415,0.1289,0.1299,0.144,0.1696,0.2198,0.3322,0.3324,16,1.07
af_shell9,504856,9046865,0.138,0.3082,0.1414,0.1293,0.1298,0.1442,0.1702,0.2193,0.332,0.3324,16,1.07
ak2010,45293,108549,0.0225,0.0196,0.0207,0.0233,0.0201,0.02,0.02,0.0199,0.02,0.0199,128,0.98
Andrews,60001,410077,0.025,0.0324,0.0273,0.0363,0.0331,0.0331,0.0331,0.033,0.0331,0.0331,0,0.92
AS365,3799276,11368076,2.0493,2.5701,2.5962,3.1075,2.8784,2.8703,2.8702,2.8698,2.8709,2.8704,0,0.79
as-caida,31380,106762,0.0209,0.0166,0.0207,0.0191,0.017,0.0178,0.0179,0.0178,0.0178,0.0178,128,0.98
ASIC_680k,682863,3871773,0.4894,0.4465,0.5077,0.5236,0.265,0.4847,0.4845,0.4856,0.4838,0.4847,24,1.68
as-Skitter,1696416,11095298,1.062,0.9847,1.1378,1.2389,1.294,1.2321,1.2006,1.176,1.1535,1.1481,128,0.87
astro-ph,16707,121251,0.0073,0.0102,0.0077,0.0085,0.0094,0.0094,0.0094,0.0102,0.0101,0.0102,0,0.95
audikw_1,943696,39297771,0.6358,1.9333,0.697,0.7583,0.7819,0.8327,0.8989,0.9763,1.0555,1.1138,0,0.91
auto,448696,3314611,0.1688,0.2161,0.2127,0.265,0.2431,0.2455,0.2469,0.2447,0.2453,0.2446,0,0.79
barrier2-1,113077,3805068,0.1225,0.1807,0.1355,0.1478,0.1281,0.1298,0.1577,0.1683,0.1879,0.1953,0,0.96
barrier2-10,115626,3897557,0.1247,0.1868,0.1379,0.151,0.1297,0.133,0.1625,0.1732,0.1929,0.2002,0,0.96
barrier2-11,115626,3897557,0.1246,0.1866,0.138,0.151,0.1298,0.1331,0.1625,0.1732,0.1929,0.2002,0,0.96
barrier2-12,115626,3897557,0.1245,0.1866,0.138,0.151,0.1298,0.1331,0.1625,0.1731,0.1929,0.2003,0,0.96
barrier2-2,113077,3805068,0.1222,0.1805,0.1355,0.1477,0.1282,0.1298,0.1577,0.1683,0.188,0.1954,0,0.95
barrier2-3,113077,3805068,0.1221,0.1806,0.135,0.1477,0.1282,0.1306,0.1576,0.1683,0.1872,0.1953,0,0.95
barrier2-4,113077,3805068,0.1224,0.1807,0.1355,0.1478,0.1282,0.1307,0.1577,0.1683,0.1872,0.1954,0,0.95
barrier2-9,115626,3897557,0.1244,0.1867,0.1382,0.151,0.1298,0.1331,0.1619,0.1732,0.193,0.2002,0,0.96
bauru5727,40367,145019,0.009,0.0222,0.0095,0.0102,0.0201,0.0225,0.0224,0.0224,0.0224,0.0232,0,0.95
bbmat,38745,1771722,0.0249,0.0761,0.0258,0.0307,0.038,0.038,0.0372,0.0363,0.034,0.034,0,0.97
bcsstk17,10975,219812,0.0063,0.0096,0.0061,0.0069,0.007,0.0077,0.0077,0.0077,0.0077,0.0086,8,1.03
bcsstk18,11949,80519,0.0054,0.0082,0.0061,0.0069,0.0077,0.0086,0.0086,0.0085,0.0086,0.0086,0,0.89
bcsstk25,15440,133840,0.0063,0.0099,0.0062,0.0077,0.0086,0.0094,0.0094,0.0094,0.0102,0.0103,8,1.02
bcsstk29,13993,316740,0.0073,0.0126,0.0078,0.0077,0.0078,0.0078,0.0085,0.0085,0.0086,0.0093,0,0.95
bcsstk30,28925,1036208,0.0156,0.0466,0.0152,0.016,0.0167,0.0184,0.0192,0.02,0.0201,0.0217,8,1.03
bcsstk31,35589,608502,0.0136,0.0228,0.0135,0.0143,0.016,0.0184,0.0209,0.0216,0.0217,0.0209,8,1.01
bcsstk32,44610,1029655,0.0166,0.036,0.0168,0.0176,0.0193,0.0216,0.0234,0.0241,0.0249,0.0257,0,0.99
bcsstk35,30238,740200,0.0126,0.0263,0.0127,0.0126,0.0135,0.0151,0.0168,0.0175,0.0184,0.0201,0,1.0
bcsstk36,23053,583096,0.0097,0.0209,0.0102,0.0102,0.0102,0.0119,0.0119,0.0127,0.0135,0.0136,0,0.95
bcsstk37,25504,583240,0.0104,0.021,0.0095,0.0103,0.0111,0.0126,0.0135,0.0135,0.0143,0.0143,8,1.09
bcsstk39,46773,1068033,0.018,0.0356,0.0177,0.02,0.0201,0.0201,0.0217,0.0241,0.0275,0.0307,8,1.02
bcsstm36,23053,166389,0.0066,0.0087,0.007,0.0078,0.007,0.0078,0.0077,0.0077,0.0086,0.0094,0,0.94
belgium_osm,1441296,1549970,0.2322,0.6894,0.2717,0.7255,0.7263,0.7263,0.7259,0.7257,0.726,0.7254,0,0.85
BenElechi1,245875,6698185,0.0706,0.2135,0.0725,0.0741,0.0848,0.1094,0.1101,0.111,0.1102,0.111,0,0.97
blockqp1,60013,340022,0.0375,0.0343,0.0372,0.0422,0.034,0.0339,0.034,0.034,0.034,0.0341,32,1.01
