dataSet,num_nodes,num_edges,tcgnn
144,144650,1074393,0.6603
2D_27628_bjtcai,27629,442898,0.1033
2D_54019_highK,54020,996414,0.5122
333SP,3712816,11108633,1000000000
3D_28984_Tetra,28985,599170,2.5928
3D_51448_3D,51449,1056610,4.0734
3Dspectralwave,680944,17165766,1000000000
3Dspectralwave2,292009,7307376,1000000000
3dtube,45331,1629474,0.8967
598a,110972,741934,0.4446
a0nsdsil,80017,200021,4.2384
a2nnsnsl,80017,196115,3.8352
a5esindl,60009,145004,1.224
adaptive,6815745,13624320,1000000000
af_0_k101,503626,9027150,1000000000
af_1_k101,503626,9027150,1000000000
af_2_k101,503626,9027150,1000000000
af_3_k101,503626,9027150,1000000000
af_4_k101,503626,9027150,1000000000
af_5_k101,503626,9027150,1000000000
af_shell1,504856,9046865,1000000000
af_shell10,1508066,27090195,1000000000
af_shell2,504856,9046865,1000000000
af_shell3,504856,9046865,1000000000
af_shell4,504856,9046865,1000000000
af_shell5,504856,9046865,1000000000
af_shell6,504856,9046865,1000000000
af_shell7,504856,9046865,1000000000
af_shell8,504856,9046865,1000000000
af_shell9,504856,9046865,1000000000
ak2010,45293,108549,0.1078
Andrews,60001,410077,0.2406
AS365,3799276,11368076,1000000000
as-caida,31380,106762,0.6287
ASIC_680k,682863,3871773,9819.1348
as-Skitter,1696416,11095298,1000000000
astro-ph,16707,121251,0.0595
audikw_1,943696,39297771,1000000000
auto,448696,3314611,1.9844
barrier2-1,113077,3805068,4.8411
barrier2-10,115626,3897557,8.2086
barrier2-11,115626,3897557,8.1291
barrier2-12,115626,3897557,8.1891
barrier2-2,113077,3805068,4.8966
barrier2-3,113077,3805068,4.8888
barrier2-4,113077,3805068,4.865
barrier2-9,115626,3897557,8.1753
bauru5727,40367,145019,0.0693
bbmat,38745,1771722,0.2387
bcsstk17,10975,219812,0.0434
bcsstk18,11949,80519,0.0327
bcsstk25,15440,133840,0.0362
bcsstk29,13993,316740,0.0503
bcsstk30,28925,1036208,0.1434
bcsstk31,35589,608502,0.1007
bcsstk32,44610,1029655,0.1375
bcsstk35,30238,740200,0.1018
bcsstk36,23053,583096,0.0763
bcsstk39,46773,1068033,0.1336
bcsstm36,23053,166389,0.0402
belgium_osm,1441296,1549970,1000000000
BenElechi1,245875,6698185,1000000000
blockqp1,60013,340022,105.5725
bloweya,30005,80005,3.6074
bloweybl,30004,70001,3.6649
bmw3_2,227363,5757996,1000000000
bmw7st_1,141348,3740507,0.7091
bmwcra_1,148771,5396386,1000000000
bone010,986704,36326514,1000000000
boneS01,127225,3421188,0.5561
boneS10,914899,28191660,1000000000
boyd2,466317,890091,67.361
brack2,62632,366559,0.1415
brainpc2,27608,96601,0.0352
bratu3d,27793,88627,0.0475
Bump_2911,2911420,65320659,1000000000
bundle1,10582,390741,0.0805
