dataSet,num_nodes,num_edges,spmm_tcu_ori,spmm_tcu_part,spmm_tcu_binary,spmm_tcu
rajat25,87191,607235,3.4084,0.1109,3.6314,0.11
lung2,109461,492564,0.0997,0.1045,0.0995,0.1052
lhr71,70305,1528092,0.1234,0.1251,0.1137,0.117
wing,62033,121544,0.0489,0.0517,0.0494,0.0524
lowThrust_8,17703,113139,0.0235,0.024,0.0215,0.0222
caidaRouterLevel,192245,609066,0.17,0.1766,0.1651,0.1725
venkat25,62425,1717792,0.1432,0.1446,0.1292,0.132
apache2,715177,2766523,0.6308,0.6648,0.6214,0.6612
barrier2-4,113077,3805068,1.3233,0.5498,1.2508,0.4813
spal_004,321697,46168124,11.8759,11.5544,11.3992,11.6027
ljournal-2008,5363261,79023142,14.2941,14.4422,13.7155,13.9295
sc205-2r,62424,123239,0.0387,0.0405,0.0395,0.0409
333SP,3712816,11108633,3.8247,3.918,3.8588,3.9583
3Dspectralwave2,292009,7307376,0.9329,0.9442,0.7848,0.8118
copter1,17223,114143,0.022,0.0223,0.0198,0.0205
epb3,84618,463625,0.076,0.0809,0.0772,0.0819
sme3Db,29068,2081063,0.4717,0.3998,0.4103,0.3358
CurlCurl_1,226452,1349261,0.1969,0.2062,0.1981,0.2088
bcsstk37,25504,583240,0.0397,0.0403,0.0367,0.0382
skirt,12599,104559,0.0177,0.0181,0.0166,0.0173
Ga19As19H42,133124,4508981,0.4889,0.4845,0.4202,0.414
epb2,25229,175027,0.0261,0.0272,0.0244,0.0255
rail_20209,20210,79721,0.0199,0.019,0.0169,0.0177
net75,23121,756160,0.1133,0.0828,0.1064,0.0714
barrier2-9,115626,3897557,1.601,0.5613,1.46,0.49
HV15R,2017170,283073458,14.0599,14.8311,12.5306,13.2824
hood,220543,5494489,0.3055,0.3116,0.29,0.3003
TSOPF_RS_b2052_c1,25627,6761100,0.2475,0.2153,0.2362,0.1886
boneS10,914899,28191660,1.5761,1.5946,1.4252,1.4642
patents,3774769,14970767,5.2803,5.0663,5.3195,5.1143
mark3jac100,45770,285215,0.0602,0.0613,0.0569,0.0594
af_3_k101,503626,9027150,0.523,0.5425,0.511,0.5371
delaunay_n19,524289,1572823,0.3849,0.4025,0.3909,0.4093
c-60,43641,171109,0.2446,0.049,0.2416,0.0481
af_5_k101,503626,9027150,0.5228,0.5423,0.511,0.5371
bundle1,10582,390741,0.0333,0.0281,0.0332,0.0263
c-47,15344,113372,0.0503,0.0301,0.055,0.0273
shar_te2-b2,200201,600600,0.1357,0.1466,0.1353,0.1486
Hamrle3,1447361,5514242,1.3177,1.3636,1.3267,1.3751
astro-ph,16707,121251,0.0249,0.0247,0.0225,0.0223
aug3dcqp,35544,77829,0.0282,0.0305,0.0269,0.0295
denormal,89401,622812,0.0883,0.0929,0.0873,0.0928
nj2010,169589,414956,0.1317,0.1387,0.1317,0.1391
Delor64K,1785346,652140,0.1307,0.1327,0.1222,0.1247
vsp_finan512_scagr7-2c_rlfddd,139753,552020,0.1164,0.1219,0.1148,0.1209
HTC_336_4438,226341,565431,0.2093,0.2092,0.2087,0.2095
thread,29737,2249892,0.1416,0.121,0.1353,0.1095
soc-sign-Slashdot081106,77358,516575,0.1422,0.1288,0.1313,0.1165
ASIC_680ks,682713,2329176,0.616,0.5815,0.6099,0.5783
spmsrtls,29996,129971,0.0183,0.0192,0.0165,0.0177
3D_28984_Tetra,28985,599170,0.6589,0.067,0.7217,0.0607
lowThrust_11,18369,117002,0.0242,0.0246,0.022,0.0228
ibm_matrix_2,51449,1056610,1.0825,0.1067,1.1162,0.0999
ct2010,67579,168176,0.0579,0.0609,0.058,0.0611
ga2010,291087,709028,0.2226,0.234,0.2222,0.2344
