dataSet,num_nodes,num_edges,spmm_tcu_ori,spmm_tcu_part,spmm_tcu_binary,spmm_tcu
pds-100,514578,1096002,0.2695,0.2636,0.2536,0.2646
c-49,21133,89087,0.1505,0.0354,0.1477,0.0381
ex19,12006,259879,0.0289,0.0287,0.0325,0.0322
vsp_model1_crew1_cr42_south31,45102,189976,0.0364,0.0372,0.037,0.038
Trefethen_20000,20001,287233,0.0455,0.0455,0.0509,0.0509
lhr71c,70305,1528092,0.1187,0.1181,0.1173,0.1202
ch7-9-b3,105841,423360,0.0885,0.0958,0.0958,0.0994
thermal1,82655,328556,0.0753,0.0781,0.0717,0.0781
ccc,49153,73728,0.024,0.031,0.0275,0.0315
c-62,41732,300537,0.4559,0.0586,0.468,0.0629
vsp_bcsstk30_500sep_10in_1Kout,58349,2016578,0.4193,0.3706,0.4339,0.3943
pkustk11,87805,2652858,0.182,0.176,0.1787,0.1766
ch7-8-b4,141121,705600,0.1397,0.147,0.1444,0.1496
IMDB,896309,3782463,1.007,0.881,0.9288,0.882
in-2004,1382909,16917053,1.4998,1.2882,1.3798,1.2789
lhr14c,14271,307858,0.027,0.0266,0.0294,0.0295
rgg_n_2_21_s0,2097153,14487995,3.0692,3.0497,3.0856,3.128
lhr11,10965,233741,0.0227,0.0228,0.0249,0.0246
case9,14455,75801,0.0115,0.0118,0.0123,0.0124
TSOPF_RS_b162_c3,15375,610299,0.0322,0.0325,0.0338,0.034
Zd_Jac2,22836,1642833,0.1701,0.1048,0.183,0.1158
degme,659416,8127528,96.2497,1.1651,85.2697,1.1925
c-73,169423,724348,0.1376,0.1538,0.1383,0.1552
ABACUS_shell_ud,23413,218484,0.0391,0.0395,0.0427,0.043
Ga10As10H30,113082,3114357,0.3226,0.3227,0.336,0.3383
cant,62452,2034917,0.1193,0.1189,0.118,0.1194
memplus,17759,126150,0.0862,0.0303,0.0813,0.0297
scfxm1-2b,33048,111052,0.0256,0.0259,0.0284,0.0287
gearbox,153747,4617075,0.2778,0.2766,0.2769,0.2789
brack2,62632,366559,0.0689,0.0748,0.0682,0.0748
cage10,11398,150645,0.0343,0.0339,0.037,0.0371
Serena,1391350,32961525,2.2714,2.2585,2.2128,2.2417
rajat26,51033,249302,0.5555,0.0721,0.4999,0.0701
stormG2_1000,1377307,3459881,0.7286,0.7227,0.6959,0.7238
3D_51448_3D,51449,1056610,1.0918,0.118,0.9788,0.1201
IG5-15,11988,323509,0.0714,0.0579,0.0727,0.0651
TF16,19322,216173,0.0522,0.0504,0.0565,0.0553
cont-300,180896,539396,0.1219,0.1388,0.1213,0.1412
ship_003,121729,4103881,0.2222,0.2222,0.2228,0.2235
nasasrb,54871,1366097,0.0946,0.0955,0.0932,0.0955
a5esindl,60009,145004,0.4505,0.0503,0.4499,0.0536
kron_g500-logn20,1048577,44620272,16.393,8.212,15.4901,8.3696
std1_Jac2,21983,1248731,0.1454,0.086,0.1662,0.0963
mult_dcop_02,25188,193276,2.1217,0.049,2.0998,0.053
tn2010,240117,596983,0.1844,0.1966,0.1791,0.1983
vsp_bump2_e18_aa01_model1_crew1,56439,300801,0.053,0.0611,0.0599,0.0629
trans4,116836,766396,18.716,0.1408,16.3223,0.1392
ted_A,10606,424587,0.0267,0.0264,0.0306,0.0308
ABACUS_shell_md,23413,218484,0.0391,0.0394,0.0428,0.0428
invextr1_new,30413,1793881,0.172,0.1602,0.1785,0.1683
ramage02,16831,1441591,0.0808,0.0767,0.0887,0.0856
bcsstm36,23053,166389,0.0222,0.0227,0.0245,0.0246
circuit5M_dc,3523318,19194193,3.5133,3.6941,3.3119,3.6682
Zhao1,33862,166453,0.0355,0.0365,0.0404,0.0408
as-caida,31380,106762,0.287,0.04,0.2694,0.0425
c-64b,51036,384438,0.0561,0.0702,0.0599,0.0679
rgg_n_2_15_s0,32769,160240,0.0357,0.0367,0.0396,0.0403
lowThrust_12,18459,117423,0.0203,0.0204,0.0236,0.024
image_interp,240001,711683,0.1614,0.1817,0.1605,0.1833
dawson5,51538,531157,0.0606,0.0695,0.0643,0.0697
la2010,204448,490317,0.156,0.1666,0.151,0.1675
cnr-2000,325558,3216152,0.4512,0.3163,0.464,0.3166
circuit_4,80210,307604,0.9257,0.1015,0.8833,0.1009
enron,69245,276143,0.2331,0.0728,0.22,0.0734
c-67,57976,294955,0.0825,0.0736,0.0833,0.0729
ncvxqp5,62501,237483,0.0563,0.0646,0.0607,0.0655
g7jac160,47431,656616,0.0981,0.1088,0.1042,0.1102
ns3Da,20415,1679599,0.3727,0.2661,0.3767,0.2884
EternityII_E,262145,1503732,8.8048,0.3159,7.8959,0.3127
OPF_10000,43888,255799,0.0329,0.0402,0.0367,0.0407
144,144650,1074393,0.2211,0.2234,0.2209,0.2278
g7jac200sc,59311,837936,0.13,0.1322,0.1325,0.1345
GL7d15,460262,6080381,1.2453,1.2369,1.2371,1.2562
ch7-9-b4,317521,1587600,0.3138,0.3277,0.3224,0.3332
fe_ocean,143438,409593,0.1069,0.1159,0.1082,0.1171
amazon-2008,735324,5158388,0.7874,0.8091,0.7466,0.8027
olesnik0,88264,402623,0.0704,0.0808,0.0711,0.0807
cfd2,123441,1605669,0.1696,0.1708,0.1675,0.1714
rel9,9888049,23667183,5.075,4.821,5.0662,4.829
conf6_0-8x8-30,49153,1916928,0.1357,0.1364,0.1381,0.1396
ia2010,216008,510585,0.1607,0.1722,0.1559,0.1738
hugetric-00000,5824555,8733523,3.2347,3.7204,3.0979,3.7239
cyl6,13682,363961,0.0859,0.0378,0.0861,0.0408
PFlow_742,742794,18940627,1.0896,1.1009,1.0837,1.1013
ch7-9-b5,423361,2540160,0.4892,0.4993,0.4899,0.5067
flower_8_4,125362,375266,0.0908,0.0898,0.087,0.0901
luxembourg_osm,114600,119666,0.0559,0.0687,0.0561,0.0691
3Dspectralwave,680944,17165766,1.8986,1.8891,1.9662,1.9562
tube2,21499,459277,0.0281,0.0283,0.0307,0.031
smt,25711,1889447,0.0891,0.0925,0.0974,0.0978
gupta1,31803,1098006,0.0792,0.0816,0.0878,0.0881
NACA0015,1039184,3114818,0.8818,0.9503,0.8401,0.9508
laminar_duct3D,67174,3833077,0.2008,0.2016,0.2059,0.2065
Andrews,60001,410077,0.0944,0.0983,0.0993,0.1018
sgpf5y6,312541,831976,0.2322,0.2409,0.2283,0.2451
nd6k,18001,3457658,0.1645,0.1272,0.1584,0.1332
va2010,285763,701064,0.2182,0.2334,0.2131,0.2349
lowThrust_4,13563,84240,0.0163,0.0166,0.0183,0.0185
pkustk08,22210,1624440,0.1409,0.0984,0.1542,0.1108
pds-60,336422,719557,0.1818,0.1773,0.1716,0.1783
wikipedia-20070206,3566908,45030389,9.849,9.2494,9.3204,9.2863
Emilia_923,923137,20964171,1.4686,1.4702,1.4702,1.4795
para-4,153227,5326228,1.2625,0.6407,1.1859,0.6555
crankseg_1,52805,5333507,0.2833,0.2545,0.2896,0.2639
lpl1,32461,180248,0.0892,0.0464,0.0896,0.0488
lowThrust_13,18477,117580,0.0206,0.0205,0.0238,0.0242
wi2010,253097,604702,0.1887,0.2028,0.1838,0.2039
RFdevice,74105,365580,0.1791,0.1136,0.1813,0.1149
cage14,1505786,27130349,4.6069,4.5186,4.6032,4.614
pkustk12,94654,3803485,1.1361,0.243,1.0204,0.2482
c-67b,57976,294955,0.0815,0.0741,0.0823,0.0727
nlpkkt80,1062401,14883536,1.519,1.5854,1.5288,1.5999
g7jac060,17731,203316,0.0454,0.0439,0.0475,0.0482
gridgena,48963,280523,0.035,0.0465,0.0387,0.0457
g7jac120,35551,475296,0.0742,0.0793,0.0817,0.0828
ex11,16615,1096948,0.0569,0.0567,0.0618,0.0622
cond-mat-2003,31164,120029,0.025,0.0258,0.0281,0.0285
kneser_10_4_1,349652,992252,0.2757,0.2967,0.2722,0.2984
ks2010,238601,560899,0.1766,0.1905,0.172,0.1912
ca-HepPh,12009,118521,0.071,0.0387,0.0728,0.0446
pcrystk03,24697,887937,0.0458,0.0461,0.0509,0.0507
cvxbqp1,50001,199984,0.0476,0.056,0.0529,0.0569
af_shell10,1508066,27090195,1.5544,1.6018,1.5034,1.5788
pkustk07,16861,1217832,0.1177,0.0741,0.123,0.087
rajat28,87191,607235,3.464,0.1233,3.3627,0.1231
psse2,28635,115262,0.023,0.0234,0.0249,0.0256
Freescale2,2999350,23042677,7.4863,3.9536,6.5472,3.9789
Si41Ge41H72,185640,7598452,0.6467,0.631,0.6566,0.6569
Chebyshev4,68122,5377761,8.9918,0.3794,8.8481,0.3922
ch7-8-b5,141121,846720,0.1686,0.172,0.168,0.1741
circuit5M,5558327,59524291,225.7897,8.7262,186.9066,8.6797
soc-sign-Slashdot090216,81872,545671,0.1414,0.1331,0.1363,0.1372
LeGresley_87936,87937,593276,0.1197,0.1224,0.1165,0.1226
pds-70,390006,833465,0.2074,0.2025,0.1964,0.2031
F1,343792,13590452,0.9162,0.8613,0.8854,0.8518
xenon1,48601,1181120,0.1047,0.1071,0.1062,0.1089
apache1,80801,311492,0.0778,0.0812,0.0769,0.0821
hcircuit,105677,513072,0.4425,0.1006,0.3834,0.1001
torso2,115968,1033473,0.1212,0.1254,0.1154,0.123
pkustk04,55591,2137125,0.645,0.1444,0.5289,0.1464
vanbody,47073,1191985,0.0726,0.0789,0.0736,0.0784
barrier2-3,113077,3805068,1.448,0.4736,1.3184,0.4901
cage13,445316,7479343,1.2424,1.2284,1.2626,1.2653
dbir2,45878,1158159,0.6976,0.1192,0.6474,0.1307
std1_Jac3_db,21983,531826,0.0615,0.0531,0.0695,0.0602
Long_Coup_dt6,1470153,44279572,2.7014,2.7169,2.7063,2.7217
Lin,256001,1011200,0.2319,0.2447,0.2336,0.2488
tx2010,914232,2228136,0.6656,0.7178,0.6498,0.7217
light_in_tissue,29283,406084,0.0439,0.0444,0.0488,0.049
TSOPF_RS_b39_c7,14099,252446,0.0194,0.0195,0.0215,0.0218
nh2010,48838,117275,0.0344,0.0432,0.0384,0.0436
barrier2-11,115626,3897557,1.6945,0.4846,1.5878,0.5011
dielFilterV2clx,607233,12958252,1.2545,1.251,1.2704,1.2733
pfinan512,74753,335872,0.0745,0.0789,0.0741,0.0794
eu-2005,862665,19235140,1.9017,1.4578,1.8391,1.4791
ML_Laplace,377003,27689972,1.1841,1.1783,1.2146,1.205
Ga3As3H12,61350,3016148,0.3186,0.2279,0.3161,0.2352
g7jac080sc,23671,293976,0.0524,0.0521,0.0575,0.0573
IG5-18,47895,1790490,0.2833,0.2806,0.3003,0.2963
Dubcova1,16130,134569,0.0205,0.0209,0.0224,0.0228
fome20,108176,232647,0.0679,0.0678,0.0652,0.0682
cont11_l,1961395,5382999,1.242,1.345,1.2074,1.3533
bloweybl,30004,70001,0.6718,0.03,0.7618,0.0309
TSOPF_FS_b162_c3,30799,904612,0.0425,0.0431,0.0453,0.0454
fem_filter,74063,1731206,0.2379,0.1664,0.2418,0.1698
c-59,41283,260909,0.2945,0.0574,0.2961,0.0601
Ga41As41H72,268097,9378286,0.8401,0.8446,0.8784,0.8793
oh2010,365345,884120,0.2692,0.2901,0.2626,0.2916
c-58,37596,295076,0.471,0.0568,0.4725,0.0661
Flan_1565,1564795,59485419,2.9675,2.9701,2.9917,2.9932
Wordnet3,82671,132964,0.0385,0.0541,0.0423,0.0541
lhr17,17577,381975,0.0313,0.0314,0.0348,0.0346
trdheim,22099,978711,0.0408,0.0405,0.0451,0.046
amazon0312,400728,3200440,0.5983,0.5981,0.571,0.5966
crystm02,13966,168435,0.026,0.0261,0.0292,0.0293
StocF-1465,1465138,11235263,1.6504,1.7022,1.627,1.7002
onetone1,36058,341088,0.0507,0.0534,0.0563,0.0572
rajat29,643995,4866270,71.3028,0.7801,62.2522,0.7758
auto,448696,3314611,0.6882,0.6865,0.6702,0.692
mark3jac060,27450,170695,0.033,0.0334,0.0363,0.0368
GL7d14,171376,1831183,0.353,0.3562,0.3756,0.3753
engine,143572,2424822,0.2578,0.2398,0.2459,0.2379
kron_g500-logn19,524289,21781478,11.4029,3.8796,10.9215,4.0067
world,67148,198883,0.2899,0.0661,0.2779,0.0673
cont-201,80596,239596,0.0516,0.0636,0.0542,0.0638
c-52,23949,113332,0.1605,0.0369,0.1606,0.0401
bcircuit,68903,375558,0.0685,0.0725,0.0664,0.0721
bbmat,38745,1771722,0.0987,0.1028,0.1032,0.1043
pa2010,421546,1029231,0.3102,0.3341,0.3031,0.3361
gupta2,62065,2155175,0.1565,0.1597,0.1664,0.1665
Zd_Jac6_db,22836,663643,0.0678,0.0645,0.0814,0.0711
mark3jac120sc,54930,342475,0.061,0.0711,0.0651,0.0714
EAT_SR,23220,325589,0.072,0.0715,0.0788,0.0787
dixmaanl,60001,179999,0.043,0.0527,0.0471,0.0534
af23560,23561,484256,0.0385,0.039,0.0425,0.0427
ch8-8-b4,376321,1881600,0.3694,0.3858,0.3799,0.3927
south31,36322,112398,0.0294,0.0294,0.0309,0.0312
c-48,18355,92217,0.0928,0.0334,0.0927,0.0359
msc10848,10849,620313,0.0557,0.0412,0.0576,0.0464
n4c6-b8,198896,1790055,0.324,0.327,0.3314,0.3356
Ge99H100,112986,4282190,0.3835,0.3789,0.3959,0.3934
c-43,11126,67400,0.0283,0.0273,0.0278,0.0283
citationCiteseer,268496,1156647,0.4333,0.3323,0.4065,0.3346
TSOPF_FS_b39_c30,120217,1575639,0.108,0.1114,0.1085,0.111
onetone2,36058,227628,0.0349,0.0372,0.0393,0.0401
Hook_1498,1498024,31207734,2.1166,2.1332,2.0982,2.1253
blockqp1,60013,340022,4.2057,0.0655,3.71,0.0627
ch7-7-b5,52921,211680,0.0409,0.0452,0.0456,0.0475
mario001,38435,114643,0.026,0.0272,0.0302,0.0303
net125,36721,1306960,0.1462,0.1262,0.1653,0.131
igbt3,10939,234006,0.0382,0.0382,0.0414,0.0415
vsp_msc10848_300sep_100in_1Kout,21997,1221028,0.2828,0.2165,0.3053,0.238
crashbasis,160001,1750416,0.2328,0.2331,0.2167,0.2273
ecology2,1000000,2997995,0.7279,0.8256,0.7468,0.8331
matrix_9,103431,2121550,1.3722,0.201,1.1893,0.2037
webbase-1M,1000006,3105536,0.9322,0.7692,0.8133,0.7734
lowThrust_7,17379,110607,0.0195,0.0196,0.023,0.0235
HEP-th-new,27771,352807,0.119,0.0777,0.1237,0.0844
turon_m,189925,912345,0.1644,0.1732,0.1574,0.1726
rajat22,39900,197264,0.3004,0.055,0.3096,0.0559
viscorocks,37763,1162244,0.0625,0.0694,0.0679,0.0688
ri2010,25182,62875,0.023,0.0253,0.0249,0.0257
Maragal_8,75078,1308415,1.3169,0.1794,1.1531,0.1878
onera_dual,85568,252384,0.0663,0.0721,0.0645,0.0723
Dubcova3,146690,1891669,0.1717,0.1754,0.1639,0.1728
vsp_c-60_data_cti_cs4,85831,241080,0.2819,0.0592,0.263,0.0585
Dubcova2,65026,547625,0.0742,0.0801,0.0752,0.0798
fome21,216351,465294,0.1246,0.1213,0.1179,0.1223
cbuckle,13682,345098,0.0629,0.0352,0.0661,0.0381
coPapersCiteseer,434103,16036720,0.7791,0.7862,0.7766,0.7899
coAuthorsDBLP,299068,977676,0.2045,0.2268,0.2003,0.2272
D6-6,120577,146880,0.043,0.0566,0.0478,0.0569
darcy003,389875,1167685,0.3015,0.3302,0.2906,0.3305
c-55,32781,218115,0.2762,0.0454,0.2839,0.0528
rajat16,94295,641159,3.6865,0.1248,3.3324,0.1249
para-8,155925,5416358,1.5593,0.6496,1.4006,0.6641
bone010,986704,36326514,1.7602,1.7622,1.769,1.7719
mono_500Hz,169411,5036288,0.6749,0.6097,0.6779,0.6202
kron_g500-logn16,65537,2456398,1.3467,0.4242,1.3439,0.4503
Ill_Stokes,20897,191368,0.0412,0.0414,0.0462,0.0462
bfly,49153,98304,0.0298,0.0389,0.0337,0.0396
fxm4_6,18893,258368,0.0447,0.0404,0.0481,0.0447
vsp_befref_fxm_2_4_air02,14110,98224,0.0221,0.0215,0.0201,0.0208
s3dkq4m2,90450,2455670,0.1192,0.1208,0.1166,0.1192
bauru5727,40367,145019,0.0319,0.036,0.0353,0.0379
foldoc,13357,120238,0.029,0.0282,0.0262,0.0266
flickr,820879,9837214,2.1783,1.8764,2.1005,1.9239
n4c6-b10,186559,1456422,0.2685,0.2678,0.2714,0.2736
SiO,33402,675528,0.1096,0.0866,0.112,0.0916
lhr17c,17577,381975,0.0313,0.0317,0.0348,0.0349
n4c6-b5,51814,310878,0.0559,0.06,0.0628,0.0637
tsyl201,20686,1237821,0.0821,0.0699,0.0886,0.0786
ldoor,952204,23737339,1.243,1.2567,1.2106,1.2392
graphics,29494,117954,0.0164,0.0171,0.0182,0.0188
soc-Epinions1,75889,508837,0.3236,0.1389,0.2773,0.1417
rgg_n_2_20_s0,1048577,6891620,1.4814,1.4715,1.4827,1.5062
boyd1,93280,652246,13.1325,0.1022,11.3102,0.1023
std1_Jac2_db,21983,498771,0.0608,0.0516,0.0687,0.0582
net50,16321,480760,0.0762,0.053,0.0873,0.0634
olafu,16147,515651,0.0299,0.0301,0.0327,0.0327
kron_g500-logn17,131073,5114375,4.3116,0.8789,4.0958,0.9244
ted_A_unscaled,10606,424587,0.0267,0.0264,0.0304,0.0308
Maragal_7,46846,1200537,1.6559,0.1583,1.4171,0.1662
struct3,53571,613632,0.0581,0.0657,0.0598,0.0648
atmosmodm,1489753,10319760,2.0103,2.0034,1.9097,2.0109
rajat15,37262,443573,0.3311,0.0778,0.3296,0.0804
venkat01,62425,1717792,0.1355,0.1343,0.1357,0.1367
neos,515906,1526794,0.375,0.4111,0.3724,0.4126
Cube_Coup_dt0,2164761,64685452,3.7744,3.8026,3.779,3.799
Fault_639,638803,14626683,0.9838,0.986,0.982,0.9892
Si34H36,97570,2626974,0.2847,0.2796,0.2936,0.2915
Stanford,281904,2312497,6.3014,0.5598,5.6407,0.5648
wy2010,86205,213793,0.0818,0.0866,0.0789,0.0859
scagr7-2r,46680,120141,0.0261,0.0277,0.0293,0.03
m_t1,97579,4925574,0.2398,0.2284,0.24,0.2316
ohne2,181344,11063545,1.353,0.9177,1.2646,0.9392
tandem_vtx,18455,135902,0.0254,0.0257,0.0275,0.0277
Rucci1,1977886,7791168,1.0159,1.1915,1.0605,1.1965
PR02R,161071,8185136,0.435,0.4348,0.4466,0.4446
fe_tooth,78137,452591,0.084,0.0889,0.082,0.0892
gyro_m,17362,178896,0.0321,0.0322,0.0354,0.0355
c-73b,169423,724348,0.1376,0.1543,0.1393,0.1544
sc2010,181909,446580,0.1437,0.1534,0.1399,0.154
bloweya,30005,80005,0.9348,0.0329,0.9121,0.0335
a2nnsnsl,80017,196115,1.0331,0.07,1.0166,0.0691
lhr10c,10673,232633,0.0232,0.0234,0.0245,0.0247
GL7d17,1548651,25978098,6.087,5.7182,5.6378,5.7278
dbir1,45776,1077025,0.5762,0.1104,0.5402,0.1221
me2010,69519,167738,0.0604,0.0701,0.0588,0.0696
largebasis,440021,5560100,0.5555,0.5655,0.5147,0.5546
c-70,68925,363955,0.5142,0.0922,0.4948,0.0929
p2p-Gnutella31,62587,147892,0.0488,0.061,0.0522,0.0614
mk12-b3,51976,207900,0.0421,0.0452,0.0481,0.0488
vsp_mod2_pgp2_slptsk,101365,389368,0.1416,0.1,0.1329,0.1002
mark3jac060sc,27450,170695,0.0332,0.0334,0.0362,0.0364
av41092,41093,1683902,0.3162,0.1639,0.2748,0.1671
filter3D,106438,1406808,0.1906,0.1893,0.1909,0.1928
dc2,116836,766396,18.745,0.1402,16.2837,0.1394
n4c6-b9,198896,1865580,0.3404,0.3413,0.3455,0.3488
ut2010,115407,286033,0.0957,0.1016,0.0931,0.1016
bcsstk30,28925,1036208,0.0617,0.0666,0.0676,0.068
cit-HepPh,34547,421578,0.1021,0.094,0.1092,0.102
e40r0100,17282,553562,0.0531,0.0524,0.0577,0.0577
fome13,97841,285056,0.1003,0.0953,0.0943,0.0957
ship_001,34921,2339575,0.1091,0.1087,0.109,0.1092
af_shell5,504856,9046865,0.5271,0.5416,0.5085,0.5338
SiO2,155332,5719417,0.6348,0.4799,0.6247,0.4979
Chevron2,90250,803173,0.0933,0.0963,0.0883,0.0944
c-50,22402,108013,0.1395,0.0349,0.1453,0.0369
g7jac180sc,53371,747276,0.1199,0.1231,0.121,0.1251
c-big,345242,1343126,3.2,0.3134,2.8589,0.3119
ncvxbqp1,50001,199984,0.0478,0.056,0.0527,0.057
iChem_Jacobian,274088,4137369,0.5225,0.5182,0.5159,0.5209
Zd_Jac6,22836,1711983,0.1589,0.107,0.1859,0.1167
pwtk,217919,5926171,0.2875,0.2921,0.2834,0.2894
pltexpa,70365,143059,0.0364,0.0387,0.0405,0.0417
web-Stanford,281904,2312497,0.5178,0.5144,0.5104,0.5218
garon2,13536,390607,0.0509,0.051,0.0538,0.0537
TSOPF_RS_b162_c4,20375,812749,0.0387,0.039,0.0428,0.043
g7jac100,29611,384636,0.0631,0.0632,0.0697,0.0695
atmosmodd,1270433,8814880,1.5652,1.5951,1.5807,1.6205
shallow_water1,81921,204800,0.0584,0.0647,0.0554,0.065
poisson3Db,85624,2374949,0.3994,0.3994,0.421,0.4208
human_gene1,22284,12345963,1.9077,1.1772,2.0078,1.2479
cont1_l,1921597,7031999,1.5668,1.6876,1.526,1.7018
Si10H16,17078,446500,0.06,0.0583,0.0661,0.0654
tmt_sym,726714,2903837,0.5583,0.6033,0.5439,0.6055
cat_ears_4_4,44449,132888,0.0301,0.0305,0.0335,0.0333
nv2010,84539,208499,0.0703,0.0764,0.0685,0.0766
G3_circuit,1585479,4623152,1.1752,1.3116,1.1687,1.322
mip1,66464,5209641,0.2023,0.189,0.2088,0.1903
delaunay_n15,32769,98274,0.0213,0.0221,0.0237,0.0245
conf5_4-8x8-05,49153,1916928,0.1361,0.136,0.1374,0.1391
c-63,44235,239469,0.3248,0.062,0.3311,0.0623
web-BerkStan,685231,7600595,0.7128,0.7302,0.704,0.7301
mri1,147457,589824,0.0881,0.0882,0.0837,0.0881
hangGlider_5,16012,82070,0.6074,0.0289,0.593,0.0298
pkustk01,22045,500712,0.046,0.0452,0.049,0.0495
nd24k,72001,14393817,0.5343,0.4752,0.5554,0.4883
ok2010,269119,637074,0.2019,0.2163,0.1971,0.2178
c-71,76639,468096,0.7995,0.1051,0.7978,0.1067
s4dkt3m2,90450,1921955,0.1089,0.1104,0.1054,0.1087
af_0_k101,503626,9027150,0.5217,0.5361,0.5035,0.5296
rgg_n_2_19_s0,524289,3269766,0.719,0.7094,0.709,0.7244
pkustk02,10801,410400,0.0392,0.0343,0.0401,0.0378
mult_dcop_01,25188,193276,2.191,0.0487,2.1091,0.0527
debr,1048577,2097149,0.6713,0.7981,0.6535,0.7941
nlpkkt120,3542401,50194096,5.0973,5.3145,5.1008,5.3485
lhr14,14271,307858,0.0264,0.0268,0.0297,0.0296
xenon2,157465,3866688,0.3266,0.3251,0.3293,0.3304
thermal2,1228046,4904179,0.9951,1.049,0.9637,1.05
bratu3d,27793,88627,0.0206,0.0206,0.023,0.023
soc-sign-epinions,131829,841372,0.4281,0.2104,0.4093,0.2148
ecology1,1000001,2998000,0.7238,0.844,0.7551,0.8495
belgium_osm,1441296,1549970,0.6761,0.8256,0.6739,0.8297
Ge87H76,112986,4002590,0.3719,0.3654,0.3818,0.3797
ca-AstroPh,18773,198110,0.0717,0.0523,0.0746,0.0589
rajat10,30203,80202,0.0209,0.0218,0.0236,0.0243
GL7d21,1437548,18174775,4.4792,3.983,4.1078,3.9689
c-72,84065,395811,0.7034,0.1059,0.6567,0.1046
g7jac140,41491,565956,0.0861,0.0955,0.0931,0.0978
ABACUS_shell_hd,23413,218484,0.039,0.0394,0.0429,0.0429
gyro_k,17362,519260,0.036,0.0359,0.0394,0.0396
vsp_c-30_data_data,11024,62184,0.0102,0.0106,0.0109,0.0111
c-65,48067,204297,0.3238,0.0651,0.3254,0.0659
chem_master1,40402,201201,0.0352,0.0413,0.0397,0.0419
jan99jac100,34455,215862,0.0362,0.0375,0.0406,0.0413
soc-LiveJournal1,4847572,68993773,13.2508,12.9177,12.4077,12.879
Transport,1602112,23500731,2.67,2.6429,2.5624,2.6147
lp_osa_60,243247,1408073,37.0642,0.2278,30.7578,0.2335
mark3jac100sc,45770,285215,0.05,0.0593,0.055,0.0583
n4c6-b11,132403,830820,0.1579,0.1577,0.1597,0.1614
dielFilterV3clx,420409,16653308,1.2621,1.2334,1.2891,1.2631
rgg_n_2_16_s0,65537,342127,0.0821,0.084,0.0814,0.0848
lhr34c,35153,764014,0.0547,0.0582,0.0609,0.0615
vsp_south31_slptsk,39669,189914,0.0363,0.0379,0.0396,0.0414
conf5_4-8x8-20,49153,1916928,0.136,0.1365,0.1376,0.1396
raefsky3,21201,1488768,0.0485,0.0486,0.054,0.0542
dictionary28,52653,89038,0.028,0.0353,0.0316,0.0363
wa2010,195575,473716,0.1543,0.1641,0.1504,0.1652
parabolic_fem,525826,2100225,0.4665,0.5036,0.4451,0.5036
para-6,155925,5416358,1.5578,0.65,1.4084,0.6659
vsp_p0291_seymourl_iiasa,10499,53868,0.0573,0.0284,0.0554,0.0288
g7jac180,53371,747276,0.1192,0.1235,0.1217,0.1264
email-Enron,36693,183831,0.0367,0.0356,0.0374,0.038
fl2010,484482,1173147,0.3572,0.3842,0.3494,0.3869
TSOPF_RS_b2383,38121,16171169,0.4932,0.4008,0.4846,0.414
ckt11752_tr_0,49703,333029,0.2941,0.0564,0.2799,0.0559
hollywood-2009,1139906,57515616,6.3856,5.7924,6.3918,5.9688
bundle_adj,513352,10360701,0.5394,0.5614,0.5538,0.5742
rajat30,643995,6175377,69.3293,0.8908,61.8455,0.8915
bayer01,57736,277774,0.0509,0.0599,0.0541,0.06
juba40k,40338,144945,0.0311,0.0354,0.0345,0.0374
cz10228,10229,102876,0.0192,0.0196,0.0211,0.0214
dc1,116836,766396,18.729,0.1407,16.3244,0.1393
shar_te2-b3,200201,800800,0.1956,0.2016,0.1899,0.2049
rajat25,87191,607235,3.4798,0.1228,3.3971,0.1229
lung2,109461,492564,0.099,0.1031,0.0962,0.1035
lhr71,70305,1528092,0.1187,0.1184,0.1181,0.1197
wing,62033,121544,0.037,0.0494,0.0411,0.0499
lowThrust_8,17703,113139,0.0198,0.0199,0.0231,0.0235
caidaRouterLevel,192245,609066,0.1584,0.1716,0.1587,0.1728
venkat25,62425,1717792,0.1354,0.1341,0.1358,0.1365
apache2,715177,2766523,0.633,0.6685,0.6328,0.6783
barrier2-4,113077,3805068,1.447,0.4741,1.325,0.4899
spal_004,321697,46168124,11.9695,8.1678,10.9598,8.4769
ljournal-2008,5363261,79023142,12.454,12.0478,11.869,12.0893
sc205-2r,62424,123239,0.0271,0.0307,0.0304,0.0324
333SP,3712816,11108633,2.9588,3.2312,2.87,3.2383
3Dspectralwave2,292009,7307376,0.8186,0.8157,0.8496,0.845
copter1,17223,114143,0.0203,0.0208,0.0225,0.0235
epb3,84618,463625,0.073,0.077,0.4079,0.0756
sme3Db,29068,2081063,0.4308,0.3326,0.4141,0.3557
CurlCurl_1,226452,1349261,0.1967,0.2067,0.1898,0.2054
bcsstk37,25504,583240,0.0343,0.0355,0.0381,0.0381
skirt,12599,104559,0.0171,0.0173,0.0183,0.0183
Ga19As19H42,133124,4508981,0.4315,0.4144,0.4423,0.4307
epb2,25229,175027,0.0242,0.0241,0.0249,0.0253
rail_20209,20210,79721,0.0172,0.0178,0.0193,0.0197
net75,23121,756160,0.0944,0.0767,0.1131,0.0861
barrier2-9,115626,3897557,1.6924,0.4854,1.5869,0.5002
