dataSet,num_nodes,num_edges,spmm_tcu_ori,spmm_tcu_part,spmm_tcu_binary,spmm_tcu
inline_1,503713,18660027,1.3889,1.1018,1.371,1.1083
Franz11,47105,329728,0.0643,0.0695,0.072,0.0734
scircuit,170999,958936,0.2113,0.175,0.189,0.174
route,43020,206782,1.8594,0.041,1.7213,0.0452
watson_2,677225,1846391,0.4756,0.4334,0.4684,0.4371
ch8-8-b5,564481,3386880,0.6436,0.6568,0.6477,0.6692
H2O,67025,1141880,0.1647,0.164,0.17,0.1708
ca-CondMat,23134,93497,0.0476,0.0414,0.0492,0.0434
TSOPF_FS_b9_c6,14455,75801,0.0116,0.0118,0.0124,0.0125
mac_econ_fwd500,206501,1273389,0.2397,0.2408,0.2351,0.243
OPF_3754,15436,86854,0.0225,0.0222,0.0236,0.024
Bump_2911,2911420,65320659,4.1632,4.2467,4.1024,4.1933
Chevron4,711451,6376412,0.6878,0.7178,0.6519,0.702
appu,14001,1853104,0.3592,0.3148,0.3978,0.3424
mc2depi,525826,2100225,0.473,0.5029,0.4785,0.5131
ted_AB_unscaled,10606,522387,0.037,0.0367,0.0407,0.0405
al2010,252267,615241,0.1953,0.2086,0.1908,0.2099
rma10,46836,2374001,0.1228,0.1241,0.1219,0.1244
pds10,16559,83108,0.0277,0.0274,0.0287,0.0292
conf5_4-8x8-15,49153,1916928,0.1359,0.1365,0.1381,0.1398
conf5_4-8x8-10,49153,1916928,0.1361,0.1366,0.1381,0.1397
rajat20,86917,605045,3.7434,0.1208,3.3992,0.1222
fe_rotor,99618,662431,0.1193,0.1206,0.1174,0.1216
obstclae,40001,118804,0.0277,0.0319,0.0319,0.0338
scfxm1-2r,65944,221388,0.0449,0.0529,0.0489,0.0531
mt2010,132289,319334,0.1042,0.1112,0.1014,0.1119
stat96v3,1113781,3317736,0.8737,0.3435,0.7927,0.3347
wikipedia-20051105,1634990,19753078,4.0963,3.9035,3.9491,3.9333
nc2010,288988,708310,0.218,0.2338,0.2128,0.2351
trans5,116836,766396,18.708,0.1403,16.3148,0.1394
vsp_sctap1-2b_and_seymourl,40175,140831,0.1079,0.0522,0.0991,0.0558
watson_1,386993,1055093,0.2436,0.2466,0.2385,0.2479
vfem,93477,1434636,0.1527,0.1526,0.1509,0.1531
bmw7st_1,141348,3740507,0.2572,0.2223,0.261,0.2222
ch7-8-b3,58801,235200,0.048,0.0533,0.0549,0.0566
TSOPF_RS_b300_c3,42139,4413449,0.1442,0.1423,0.1553,0.1513
language,399131,1216334,2.0372,0.3438,1.7756,0.344
t3dl_a,20361,265113,0.0361,0.036,0.04,0.0399
wheel_601,902104,2170814,0.7785,0.7171,0.7466,0.7225
rgg_n_2_22_s0,4194305,30359198,6.3621,6.3363,6.4225,6.4958
Cube_Coup_dt6,2164761,64685452,3.7745,3.8003,3.779,3.799
thermomech_dK,204317,2846228,0.3936,0.389,0.3801,0.3889
Zhao2,33862,166453,0.0355,0.0366,0.0413,0.0407
cvxqp3,17501,69981,0.0188,0.0195,0.0209,0.0213
Reuters911,13333,148038,0.2179,0.0428,0.2157,0.049
stat96v2,957433,2852184,0.7792,0.301,0.7002,0.2933
IG5-17,30163,1035008,0.1658,0.1602,0.1799,0.1762
dbic1,226318,1081843,0.6738,0.2319,0.5873,0.2372
nmos3,18589,386594,0.0561,0.0554,0.0598,0.0598
pct20stif,52330,1375396,0.1121,0.1032,0.1068,0.1029
web-NotreDame,325730,1497134,0.7486,0.2415,0.6342,0.2404
bcsstk36,23053,583096,0.0361,0.0362,0.0398,0.0399
n4c6-b7,163216,1305720,0.2373,0.2429,0.2455,0.2486
NLR,4163764,12487976,3.5515,3.8362,3.376,3.8371
mark3jac080,36610,227955,0.0412,0.0437,0.0453,0.0463
tandem_dual,94070,277281,0.0734,0.0791,0.0709,0.0792
gsm_106857,589447,11174185,2.0077,1.9082,1.8747,1.895
k3plates,11108,378927,0.0253,0.0254,0.0274,0.0276
ak2010,45293,108549,0.0611,0.0524,0.0625,0.0546
c-51,23197,113123,0.1599,0.0371,0.1579,0.0401
ch8-8-b3,117601,470400,0.0988,0.106,0.1061,0.1097
af_4_k101,503626,9027150,0.522,0.5361,0.5045,0.5293
mixtank_new,29958,1995041,0.184,0.1885,0.1986,0.1998
delaunay_n21,2097153,6291408,1.3864,1.5331,1.3426,1.5351
bcsstk39,46773,1068033,0.0675,0.0743,0.0706,0.0736
sinc18,16429,973826,0.133,0.1267,0.143,0.1411
ford1,18729,60152,0.0189,0.0191,0.0202,0.0205
bcsstk18,11949,80519,0.0173,0.0174,0.0189,0.019
gyro,17362,519260,0.0361,0.0359,0.0393,0.0399
boneS01,127225,3421188,0.2,0.2,0.1988,0.2007
c-64,51036,384438,0.0555,0.0697,0.0599,0.0685
TSOPF_RS_b300_c1,14539,1474325,0.0536,0.0514,0.0618,0.0583
sinc15,11533,568526,0.08,0.0799,0.0919,0.0904
stokes64,12547,74242,0.0137,0.0142,0.0154,0.0159
rail_79841,79842,316881,0.0675,0.0715,0.065,0.0716
bodyy5,18590,73935,0.0161,0.0166,0.0178,0.0183
az2010,241667,598047,0.1859,0.1998,0.1817,0.2005
598a,110972,741934,0.1692,0.173,0.1695,0.1757
wiki-Talk,2394386,5021410,17.8863,1.1923,14.7302,1.1907
il2010,451555,1082232,0.3301,0.3572,0.3227,0.3592
torso3,259157,4429042,0.5275,0.5252,0.5379,0.5395
kron_g500-logn18,262145,10583222,4.5307,1.84,4.417,1.925
audikw_1,943696,39297771,2.2391,2.2285,2.2366,2.2389
t2dah,11446,93781,0.0119,0.0122,0.0131,0.0135
majorbasis,160001,1750416,0.2328,0.2331,0.2169,0.2273
NotreDame_www,325730,929849,0.1819,0.1792,0.1757,0.1793
wing_nodal,10938,75488,0.023,0.0231,0.0255,0.0257
lhr11c,10965,233741,0.0226,0.023,0.0245,0.0248
nd12k,36001,7128473,0.319,0.2457,0.3296,0.2549
ins2,309413,1530448,39.8986,0.3784,35.9175,0.3816
pkustk14,151927,7494215,0.4416,0.414,0.4448,0.4209
Maragal_6,21256,537694,0.7321,0.0707,0.6925,0.0768
d_pretok,182731,885416,0.1594,0.1676,0.1528,0.167
shyy161,76481,329762,0.0715,0.0765,0.0707,0.0767
t2dah_a,11446,93781,0.0118,0.0123,0.013,0.0134
airfoil_2d,14215,259688,0.0449,0.0447,0.0505,0.0501
para-5,155925,5416358,1.5647,0.6496,1.4,0.6666
water_tank,60741,2035281,0.1673,0.1666,0.1713,0.1707
bcsstk32,44610,1029655,0.0701,0.0789,0.0709,0.0763
ex35,19717,228208,0.0302,0.0305,0.034,0.0341
Zd_Jac3_db,22836,713907,0.0761,0.066,0.0868,0.0742
rajat17,94295,641159,3.713,0.1254,3.2886,0.1254
Si87H76,240370,5451000,0.6358,0.6348,0.6635,0.6611
HTC_336_9129,226341,554881,0.1591,0.183,0.1575,0.183
conf6_0-8x8-80,49153,1916928,0.1361,0.1364,0.1384,0.1397
ncvxqp3,75001,274982,0.0666,0.0742,0.07,0.0747
mouse_gene,45102,14506196,2.6136,1.8847,2.68,2.0047
thermomech_TC,102159,406858,0.1091,0.1132,0.1083,0.1146
vibrobox,12329,177578,0.0399,0.0373,0.042,0.0395
Chevron3,381382,3413113,0.3755,0.389,0.3547,0.3838
minsurfo,40807,122214,0.0288,0.0335,0.0328,0.035
mk12-b4,62371,311850,0.0633,0.0707,0.067,0.0716
lowThrust_6,16929,108376,0.0193,0.0194,0.0228,0.0232
relat9,12360061,38955420,7.8192,8.0214,7.8216,8.0546
preferentialAttachment,100001,499985,0.1092,0.1155,0.114,0.1167
md2010,145248,350189,0.113,0.121,0.1103,0.1219
RM07R,381690,37464962,1.7692,1.7708,1.8236,1.8138
barrier2-12,115626,3897557,1.6889,0.4844,1.5922,0.5004
matrix-new_3,125330,2678750,4.1486,0.2401,3.6046,0.2425
TF17,48631,586218,0.1136,0.1174,0.1213,0.1239
helm2d03,392258,1567096,0.3086,0.3336,0.2973,0.3327
jan99jac120sc,41375,260202,0.0427,0.0474,0.0476,0.0494
nsct,37564,697738,0.1701,0.06,0.1575,0.0688
lp1,534389,1088904,0.3375,0.3872,0.3245,0.3906
barrier2-10,115626,3897557,1.6945,0.4847,1.5883,0.5003
bcsstk17,10975,219812,0.0218,0.0223,0.0233,0.0237
coAuthorsCiteseer,227321,814134,0.1509,0.1678,0.1471,0.1681
channel-500x100x100-b050,4802001,42681372,6.0879,6.1305,5.9961,6.1743
g7jac050sc,14761,157990,0.0413,0.0402,0.0425,0.0432
venkat50,62425,1717792,0.1356,0.1347,0.1359,0.1369
GL7d24,105055,593892,0.4018,0.1351,0.3892,0.1374
ted_B,10606,77592,0.012,0.0123,0.0183,0.0136
Raj1,263744,1302464,6.9382,0.2564,5.7246,0.2564
af_shell7,504856,9046865,0.5275,0.5415,0.5081,0.5335
dblp-2010,326187,807700,0.1939,0.2235,0.1894,0.2231
