dataSet,num_nodes,num_edges,openMP,GPU
delaunay_n17,131073,393176,117.88,2.35
c-46,14914,72655,33.53,1.69
smallworld,100001,499998,96.24,2.45
bcsstk31,35589,608502,51.16,3.06
c-54,31794,211743,52.48,4.4
Si5H12,19897,379247,42.25,5.74
lowThrust_10,18261,116074,40.15,1.6
CoupCons3D,416801,22322336,440.51,28.33
shipsec5,179861,5146478,199.51,9.01
pli,22696,686502,41.61,3.34
roadNet-CA,1971282,2766607,1642.29,7.56
msc23052,23053,588933,49.22,4.59
li,22696,1350309,41.82,4.22
crplat2,18011,489478,35.91,2.88
halfb,224618,6306219,210.83,9.92
c-66b,49990,274498,59.0,6.6
af_shell8,504856,9046865,451.98,11.58
qa8fm,66128,863353,75.38,2.9
pcrystk02,13966,491274,29.77,2.97
af_1_k101,503626,9027150,420.61,11.82
oilpan,73753,1835470,85.93,4.48
TSOPF_RS_b300_c2,28339,2943887,54.25,7.99
c-56,35911,208405,51.75,4.46
lhr34,35153,764014,50.89,3.57
delaunay_n22,4194305,12582869,4079.75,15.9
delaunay_n20,1048577,3145686,1247.81,5.57
mult_dcop_03,25188,193216,56.99,43.92
cond-mat-2005,40422,175693,68.05,2.52
wikipedia-20061104,3148441,39383235,3493.52,44.47
c-57,37834,221515,118.47,2.4
brainpc2,27608,96601,48.29,1.48
x104,108385,5138004,116.57,10.15
de2010,24116,58028,40.19,1.63
netherlands_osm,2216689,2441238,1681.84,5.96
CurlCurl_0,11084,62213,32.77,1.68
kim1,38416,933195,56.3,3.38
CurlCurl_4,2380516,14448191,2423.01,16.35
TSOPF_RS_b2383_c1,38121,16171169,172.03,39.26
case39,40217,526139,58.96,2.97
usroads,129165,165435,137.18,1.95
3dtube,45331,1629474,59.26,27.67
italy_osm,6686494,7013978,5232.65,13.22
fcondp2,201823,5748069,289.65,9.12
consph,83335,3046907,115.14,6.14
GaAsH6,61350,1721579,80.96,23.62
m14b,214766,1679018,241.85,4.01
BenElechi1,245875,6698185,227.99,9.95
wikipedia-20060925,2983495,37269096,3616.8,43.58
c-68,64811,315408,261.13,6.66
lowThrust_9,18045,114806,37.83,1.85
G2_circuit,150103,438388,172.59,2.25
CO,221120,3943588,246.58,6.43
net100,29921,1031560,54.0,4.53
TSOPF_RS_b678_c2,35697,8781949,130.03,21.14
c-62ghs,41732,300537,64.86,10.22
pkustk09,33961,808800,51.35,3.63
c-49,21133,89087,42.39,3.7
ex19,12006,259879,28.13,2.07
vsp_model1_crew1_cr42_south31,45102,189976,55.81,2.2
Trefethen_20000,20001,287233,37.89,2.35
lhr71c,70305,1528092,84.61,4.47
ccc,49153,73728,72.25,1.52
c-62,41732,300537,57.06,10.37
vsp_bcsstk30_500sep_10in_1Kout,58349,2016578,88.07,4.53
pkustk11,87805,2652858,107.43,7.1
in-2004,1382909,16917053,1308.91,46.17
case9,14455,75801,31.29,2.06
TSOPF_RS_b162_c3,15375,610299,32.07,3.81
Zd_Jac2,22836,1642833,49.33,19.92
c-73,169423,724348,156.26,2.91
Ga10As10H30,113082,3114357,122.46,11.29
cant,62452,2034917,76.19,4.5
memplus,17759,126150,38.62,5.03
gearbox,153747,4617075,164.63,8.1
brack2,62632,366559,70.89,2.54
Serena,1391350,32961525,1363.55,37.02
rajat26,51033,249302,64.93,11.57
3D_51448_3D,51449,1056610,60.97,18.46
cont-300,180896,539396,170.21,2.69
ship_003,121729,4103881,131.84,7.45
nasasrb,54871,1366097,67.98,4.19
a5esindl,60009,145004,73.74,10.19
kron_g500-logn20,1048577,44620272,1414.06,179.25
std1_Jac2,21983,1248731,56.47,19.06
mult_dcop_02,25188,193276,57.78,43.99
vsp_bump2_e18_aa01_model1_crew1,56439,300801,64.59,2.44
ted_A,10606,424587,24.42,4.03
ramage02,16831,1441591,39.67,5.57
bcsstm36,23053,166389,43.25,2.67
circuit5M_dc,3523318,19194193,3398.67,19.9
as-caida,31380,106762,150.06,6.94
c-64b,51036,384438,65.77,2.86
rgg_n_2_15_s0,32769,160240,50.37,1.9
lowThrust_12,18459,117423,32.87,1.94
dawson5,51538,531157,63.67,2.88
cnr-2000,325558,3216152,258.91,20.25
circuit_4,80210,307604,83.36,13.8
enron,69245,276143,69.07,8.57
OPF_10000,43888,255799,58.42,2.52
144,144650,1074393,125.59,2.88
conf6_0-8x8-30,49153,1916928,66.71,4.31
hugetric-00000,5824555,8733523,4998.04,13.46
cyl6,13682,363961,88.73,3.33
PFlow_742,742794,18940627,678.77,22.43
